Samples,geneID,value,cell_line,Responder,Baseline,GSE_ID,cytokines,count,pvalue,label,cell
MOC1e2plusifng_798_LZ5733_S18_R1_001,Cldn4,6.95328661384113,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.245664628686199,NA,MOC1
MOC1plusifng_696_LZ5733_S4_R1_001,Cldn4,6.92659874807779,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.245664628686199,NA,MOC1
MOC1e2plusifng_665_LZ5733_S16_R1_001,Cldn4,6.92130832069584,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.245664628686199,NA,MOC1
MOC1e2plusifng_900_LZ5733_S17_R1_001,Cldn4,6.87027296372716,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.245664628686199,NA,MOC1
MOC1plusifng_660_LZ5733_S6_R1_001,Cldn4,6.82237512736704,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.245664628686199,NA,MOC1
MOC1plusifng_587_LZ5733_S5_R1_001,Cldn4,6.78948691719594,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.245664628686199,NA,MOC1
MOC1e1plusifng_408_LZ5733_S12_R1_001,Cldn4,5.56679460915675,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.245664628686199,NA,MOC1
MOC1e1plusifng_643_LZ5733_S11_R1_001,Cldn4,5.53547716871208,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.245664628686199,NA,MOC1
MOC1e1plusifng_600__LZ5733_S10_R1_001,Cldn4,5.47494826156296,MOC1_RU31562203_LZ5733(n=18),no,0,RU31562203_LZ5733,IFNg,18,0.245664628686199,NA,MOC1
MOC1_ifng_1021_LZ5733_S2_R1_001,Cldn4,6.10251788585587,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1_ifng_480_LZ5733_S3_R1_001,Cldn4,6.30892056022952,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1_ifng_510_LZ5733_S1_R1_001,Cldn4,6.31856169905524,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1e1_ifng_514_LZ5733_S8_R1_001,Cldn4,4.97649098873671,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1e1_ifng_588_LZ5733_S9_R1_001,Cldn4,5.13298857711111,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1e1_ifng_600__LZ5733_S7_R1_001,Cldn4,5.08197961322481,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1e2_ifng_431_LZ5733_S14_R1_001,Cldn4,6.81425939421444,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1e2_ifng_613_LZ5733_S13_R1_001,Cldn4,6.76672700965683,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
MOC1e2_ifng_682_LZ5733_S15_R1_001,Cldn4,6.68297169695108,MOC1_RU31562203_LZ5733(n=18),no,1,RU31562203_LZ5733,Baseline,18,NA,NA,MOC1
Manguso_C38_clone4_IFNg_rep3_e12,Cldn4,0.0660082991437758,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,0.10058529095948,NA,MC38
Manguso_C38_clone3_IFNg_rep3_c12,Cldn4,0.053153862002929,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,0.10058529095948,NA,MC38
Manguso_C38_clone7_IFNg_rep3_g12,Cldn4,0.0276656183318716,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,0.10058529095948,NA,MC38
Manguso_C38_clone3_IFNg_rep1_c10,Cldn4,0,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,0.10058529095948,NA,MC38
Manguso_C38_clone3_IFNg_rep2_c11,Cldn4,0,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,0.10058529095948,NA,MC38
Manguso_C38_clone4_IFNg_rep1_e10,Cldn4,0,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,0.10058529095948,NA,MC38
Manguso_C38_clone4_IFNg_rep2_e11,Cldn4,0,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,0.10058529095948,NA,MC38
Manguso_C38_clone7_IFNg_rep1_g10,Cldn4,0,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,0.10058529095948,NA,MC38
Manguso_C38_clone7_IFNg_rep2_g11,Cldn4,0,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,0.10058529095948,NA,MC38
Manguso_C38_parental_IFNg_rep1_a10,Cldn4,0,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,0.10058529095948,NA,MC38
Manguso_C38_parental_IFNg_rep2_a11,Cldn4,0,MC38_RTM28723893(n=24),no,0,RTM28723893,IFNg,24,0.10058529095948,NA,MC38
