ligand	receptor	classification	directionality	is_ppi	source	version	pair_origin	pathway
IFNA1	IFNAR1+IFNAR2	Signaling by Interferon	Ligand-Receptor	True	PMID:9208871	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	IFN
IFNA2	IFNAR1+IFNAR2	Signaling by Interferon	Ligand-Receptor	True	PDB:3se3	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	IFN
IFNB1	IFNAR1	curated_overlay	Ligand-Receptor	True	config/gene_sets.yaml	overlay	curated_overlay	IFN
IFNB1	IFNAR1+IFNAR2	Signaling by Interferon	Ligand-Receptor	True	PMID:9208871	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	IFN
IFNB1	IFNAR2	curated_overlay	Ligand-Receptor	True	config/gene_sets.yaml	overlay	curated_overlay	IFN
IFNG	IFNGR1	curated_overlay	Ligand-Receptor	True	config/gene_sets.yaml	overlay	curated_overlay	IFN
IFNG	IFNGR1+IFNGR2	Signaling by Interferon	Ligand-Receptor	True	PMID:9208871	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	IFN
IFNG	IFNGR2	curated_overlay	Ligand-Receptor	True	config/gene_sets.yaml	overlay	curated_overlay	IFN
IFNL1	IFNLR1+IL10RB	Signaling by Interferon	Ligand-Receptor	True	PMID:9208871	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	IFN
IFNL2	IFNLR1+IL10RB	Signaling by Interferon	Ligand-Receptor	True	PMID:9208871	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	IFN
IFNL3	IFNLR1+IL10RB	Signaling by Interferon	Ligand-Receptor	True	5t5w;PDB	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	IFN
CD93	IFNGR1		Ligand-Receptor	True	Shilts screen - VALIDATED	CellPhoneDBcore4.1	cellphonedb_v5_interactors	IFN_partial
IFNA10	IFNAR1+IFNAR2	Signaling by Interferon	Ligand-Receptor	True	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	IFN_partial
IFNA14	IFNAR1+IFNAR2	Signaling by Interferon	Ligand-Receptor	True	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	IFN_partial
IFNA16	IFNAR1+IFNAR2	Signaling by Interferon	Ligand-Receptor	True	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	IFN_partial
IFNA17	IFNAR1+IFNAR2	Signaling by Interferon	Ligand-Receptor	True	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	IFN_partial
IFNA21	IFNAR1+IFNAR2	Signaling by Interferon	Ligand-Receptor	True	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	IFN_partial
IFNA4	IFNAR1+IFNAR2	Signaling by Interferon	Ligand-Receptor	True	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	IFN_partial
IFNA5	IFNAR1+IFNAR2	Signaling by Interferon	Ligand-Receptor	True	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	IFN_partial
IFNA6	IFNAR1+IFNAR2	Signaling by Interferon	Ligand-Receptor	True	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	IFN_partial
IFNA7	IFNAR1+IFNAR2	Signaling by Interferon	Ligand-Receptor	True	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	IFN_partial
IFNA8	IFNAR1+IFNAR2	Signaling by Interferon	Ligand-Receptor	True	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	IFN_partial
IFNE	IFNAR1+IFNAR2	Signaling by Interferon	Ligand-Receptor	True	PMID:9208871	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	IFN_partial
IFNK	IFNAR1+IFNAR2	Signaling by Interferon	Ligand-Receptor	True	PMID:9208871	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	IFN_partial
IFNW1	IFNAR1+IFNAR2	Signaling by Interferon	Ligand-Receptor	True	PMID:9208871	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	IFN_partial
IL10	IL10RA+IL10RB	Signaling by Interleukin	Ligand-Receptor	True	PDB:1j7v_partially	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	IFN_partial
IL22	IL10RB+IL22RA1	Signaling by Interleukin	Ligand-Receptor	True	3dgPDB:$4	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	IFN_partial
IL26	IL10RB+IL20RA	Signaling by Interleukin	Ligand-Receptor	True	PMID:25421700	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	IFN_partial
HLA-A	CD8A	curated_overlay	Ligand-Receptor	True	config/gene_sets.yaml	overlay	curated_overlay	MHC_I
HLA-A	CD8B	curated_overlay	Ligand-Receptor	True	config/gene_sets.yaml	overlay	curated_overlay	MHC_I
HLA-A	KIR3DL1	Signaling by HLA	Ligand-Receptor	True	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	MHC_I
HLA-B	CD8A	curated_overlay	Ligand-Receptor	True	config/gene_sets.yaml	overlay	curated_overlay	MHC_I
HLA-B	CD8B	curated_overlay	Ligand-Receptor	True	config/gene_sets.yaml	overlay	curated_overlay	MHC_I
HLA-B	KIR3DL2	Signaling by HLA	Ligand-Receptor	True	uniprot	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	MHC_I
HLA-C	CD8A	curated_overlay	Ligand-Receptor	True	config/gene_sets.yaml	overlay	curated_overlay	MHC_I
HLA-C	CD8B	curated_overlay	Ligand-Receptor	True	config/gene_sets.yaml	overlay	curated_overlay	MHC_I
HLA-C	KIR2DL1	Signaling by HLA	Ligand-Receptor	True	PMID:28484462	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	MHC_I
HLA-C	KIR2DL3	Signaling by HLA	Ligand-Receptor	True	PMID:28484462	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	MHC_I
HLA-E	KLRC1	Signaling by HLA	Ligand-Receptor	True	Induces_NK_Cell_Inhibition._Reviewed_in_PMID:24223577	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	MHC_I
HLA-E	KLRC1+KLRD1	Signaling by HLA	Ligand-Receptor	True	PMID:28484462	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	MHC_I
HLA-E	KLRC2	Signaling by HLA	Ligand-Receptor	True	activating_interaction._uniprot_&_PMID:26697006	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	MHC_I
HLA-E	KLRC2+KLRD1	Signaling by HLA	Ligand-Receptor	True	PMID:28484462	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	MHC_I
HLA-E	KLRC3+KLRD1	Signaling by HLA	Ligand-Receptor	True	PMID:28484462	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	MHC_I
HLA-E	KLRD1	curated_overlay	Ligand-Receptor	True	config/gene_sets.yaml	overlay	curated_overlay	MHC_I
HLA-E	KLRK1	Signaling by HLA	Ligand-Receptor	True	Induces_NK_Cell_Activation._Reviewed_in_PMID:24223577	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	MHC_I
HLA-F	KIR3DL1	Signaling by HLA	Ligand-Receptor	True	PMID:27455421	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	MHC_I
HLA-F	KIR3DL2	Signaling by HLA	Ligand-Receptor	True	PMID:27455421	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	MHC_I
HLA-F	LILRB1	Signaling by HLA	Ligand-Receptor	True	PMID:11169396	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	MHC_I
HLA-F	LILRB2	Signaling by HLA	Ligand-Receptor	True	PMID:11169396	CellPhoneDBcore<=4.1	cellphonedb_v5_interactors	MHC_I
