score	n	events	hr	p	method	score_short	family	p_adj	rejected_0.05
TACSTD2	27	21		0.42965018365532515	logrank_median_split	TACSTD2	other	0.7201520393829755	False
CLDN4	27	21		0.703732997394527	logrank_median_split	CLDN4	other	0.973425713815207	False
TACSTD2_CLDN4_mean	27	21		0.21368730493714688	logrank_median_split	TACSTD2_CLDN4_mean	other	0.550225150267821	False
ssgsea:IFNG_Ayers6	27	21		0.02683451551144229	logrank_median_split	IFNG_Ayers6	inflamed	0.1655634571805521	False
ssgsea:IFNG_Ayers_preliminary10	27	21		0.038950392696749214	logrank_median_split	IFNG_Ayers_preliminary10	inflamed	0.1655634571805521	False
ssgsea:ExpandedImmune_Ayers18	27	21		0.06044678171739925	logrank_median_split	ExpandedImmune_Ayers18	inflamed	0.1860850673742347	False
ssgsea:TcellInflamed_GEP18	27	21		0.04343529006409767	logrank_median_split	TcellInflamed_GEP18	inflamed	0.1655634571805521	False
ssgsea:CD8_Teffector_Mariathasan	27	21		0.038950392696749214	logrank_median_split	CD8_Teffector_Mariathasan	inflamed	0.1655634571805521	False
ssgsea:Cytolytic_CYT_Rooney	27	21		0.09233474356189163	logrank_median_split	Cytolytic_CYT_Rooney	other	0.39064699199261843	False
ssgsea:TLS_12chemokine_Coppola	27	21		0.13154980193458407	logrank_median_split	TLS_12chemokine_Coppola	inflamed	0.2132477060088877	False
ssgsea:TLS_Cabrita9	27	21		0.5131002268627864	logrank_median_split	TLS_Cabrita9	inflamed	0.6117733474133222	False
ssgsea:TLS_Cabrita9_noY	27	21		0.7651098441724327	logrank_median_split	TLS_Cabrita9_noY	inflamed	0.8178760403222557	False
ssgsea:Bcell_follicular	27	21		0.15346556058840238	logrank_median_split	Bcell_follicular	inflamed	0.2132477060088877	False
ssgsea:MHC_class_I	27	21		0.38602362277967606	logrank_median_split	MHC_class_I	other	0.7008586817204914	False
ssgsea:Immunoproteasome	27	21		0.767762020181182	logrank_median_split	Immunoproteasome	other	0.973425713815207	False
