dataset	class	feature	coef	n_contacts
GSE123902	at2_like	score_at2	0.742642830344227	3090
GSE123902	at2_like	score_barrier_wo_cldn4	-0.7201333932863421	3090
GSE123902	at2_like	score_cycle	-0.4038498188103489	3090
GSE123902	barrier_cldn4_high	score_at2	-0.10698939634389991	3090
GSE123902	barrier_cldn4_high	score_barrier_wo_cldn4	1.6110169001463723	3090
GSE123902	barrier_cldn4_high	score_cycle	0.20411968593282295	3090
GSE123902	cycle_cldn4_low	score_at2	-0.49210807514741317	3090
GSE123902	cycle_cldn4_low	score_barrier_wo_cldn4	-0.8393308979430778	3090
GSE123902	cycle_cldn4_low	score_cycle	0.8970757893020258	3090
GSE123902	intermediate	score_at2	-0.1435453588529113	3090
GSE123902	intermediate	score_barrier_wo_cldn4	-0.051552608916948656	3090
GSE123902	intermediate	score_cycle	-0.6973456564245005	3090
GSE131907	at2_like	score_at2	0.6178892095553065	6533
GSE131907	at2_like	score_barrier_wo_cldn4	-0.19331978181048684	6533
GSE131907	at2_like	score_cycle	-1.4456907535674017	6533
GSE131907	barrier_cldn4_high	score_at2	-0.3334715667593495	6533
GSE131907	barrier_cldn4_high	score_barrier_wo_cldn4	0.8604292067661747	6533
GSE131907	barrier_cldn4_high	score_cycle	-0.4831275049739259	6533
GSE131907	cycle_cldn4_low	score_at2	-0.31642360911642736	6533
GSE131907	cycle_cldn4_low	score_barrier_wo_cldn4	-0.6047573608758637	6533
GSE131907	cycle_cldn4_low	score_cycle	2.3096884438267646	6533
GSE131907	intermediate	score_at2	0.032005966320465935	6533
GSE131907	intermediate	score_barrier_wo_cldn4	-0.062352064079819323	6533
GSE131907	intermediate	score_cycle	-0.38087018528544475	6533
GSE205335	at2_like	score_at2	0.36557897417004015	7552
GSE205335	at2_like	score_barrier_wo_cldn4	0.082544514115399	7552
GSE205335	at2_like	score_cycle	-0.36464090170100705	7552
GSE205335	barrier_cldn4_high	score_at2	0.12570749430937936	7552
GSE205335	barrier_cldn4_high	score_barrier_wo_cldn4	1.359820391604713	7552
GSE205335	barrier_cldn4_high	score_cycle	-0.5249499988304017	7552
GSE205335	cycle_cldn4_low	score_at2	-0.21361880131910152	7552
GSE205335	cycle_cldn4_low	score_barrier_wo_cldn4	-1.2509805368750162	7552
GSE205335	cycle_cldn4_low	score_cycle	1.1122638963750058	7552
GSE205335	intermediate	score_at2	-0.27766766716032076	7552
GSE205335	intermediate	score_barrier_wo_cldn4	-0.1913843688450987	7552
GSE205335	intermediate	score_cycle	-0.2226729958436024	7552
GSE189357	at2_like	score_at2	0.45796809324422555	3600
GSE189357	at2_like	score_barrier_wo_cldn4	-0.31636948215879884	3600
GSE189357	at2_like	score_cycle	0.022710124588103595	3600
GSE189357	barrier_cldn4_high	score_at2	0.08114918596846164	3600
GSE189357	barrier_cldn4_high	score_barrier_wo_cldn4	1.6946790321903564	3600
GSE189357	barrier_cldn4_high	score_cycle	-0.13455614943341426	3600
GSE189357	cycle_cldn4_low	score_at2	-0.541546711857631	3600
GSE189357	cycle_cldn4_low	score_barrier_wo_cldn4	-1.187952026859761	3600
GSE189357	cycle_cldn4_low	score_cycle	0.5292640393110876	3600
GSE189357	intermediate	score_at2	0.002429432644922725	3600
GSE189357	intermediate	score_barrier_wo_cldn4	-0.1903575231718011	3600
GSE189357	intermediate	score_cycle	-0.41741801446577637	3600
