cohort	subset	n	method	size	n_genes_present	endpoint	adjustment	rho	p	inverse_p_lt_0.05	n_immune8
GSE282774	all pN2 LUAD	58	z-mean	10	10	CD8A	none	-0.2492617203098884	0.05917393265827758	False	8
GSE282774	all pN2 LUAD	58	z-mean	10	10	CD8A	ESTIMATE StromalScore	-0.15193593866602453	0.25921736599993245	False	8
GSE282774	all pN2 LUAD	58	z-mean	10	10	CD8A	ESTIMATEScore	0.09615586729680485	0.4767566198936621	False	8
GSE282774	all pN2 LUAD	58	z-mean	10	10	ImmuneScore	none	-0.32554061952074814	0.012645248121739314	True	8
GSE282774	all pN2 LUAD	58	z-mean	10	10	ImmuneScore	ESTIMATE StromalScore	-0.20117972572497936	0.13345565106470242	False	8
GSE282774	all pN2 LUAD	58	z-mean	10	10	ImmuneScore	ESTIMATEScore	0.07319091887693191	0.5884636754710885	False	8
GSE282774	all pN2 LUAD	58	ssGSEA	10	10	CD8A	none	-0.5771810018726936	2.1071475070050964e-06	True	8
GSE282774	all pN2 LUAD	58	ssGSEA	10	10	CD8A	ESTIMATE StromalScore	-0.534003378890968	1.8861902954964642e-05	True	8
GSE282774	all pN2 LUAD	58	ssGSEA	10	10	CD8A	ESTIMATEScore	-0.31760630259806616	0.016064505209497943	True	8
GSE282774	all pN2 LUAD	58	ssGSEA	10	10	ImmuneScore	none	-0.6290258082377189	1.2361091110631415e-07	True	8
GSE282774	all pN2 LUAD	58	ssGSEA	10	10	ImmuneScore	ESTIMATE StromalScore	-0.5602254731798342	5.855428038747597e-06	True	8
GSE282774	all pN2 LUAD	58	ssGSEA	10	10	ImmuneScore	ESTIMATEScore	-0.32070422763826745	0.01500553598362223	True	8
GSE282774	all pN2 LUAD	58	z-mean	20	20	CD8A	none	-0.2764242649271451	0.035687087175498816	True	8
GSE282774	all pN2 LUAD	58	z-mean	20	20	CD8A	ESTIMATE StromalScore	-0.18490826461535922	0.16851049388576048	False	8
GSE282774	all pN2 LUAD	58	z-mean	20	20	CD8A	ESTIMATEScore	0.04537190522165876	0.7375240302698842	False	8
GSE282774	all pN2 LUAD	58	z-mean	20	20	ImmuneScore	none	-0.34787289673628846	0.007455461317292329	True	8
GSE282774	all pN2 LUAD	58	z-mean	20	20	ImmuneScore	ESTIMATE StromalScore	-0.22991411237722442	0.08534362203857089	False	8
GSE282774	all pN2 LUAD	58	z-mean	20	20	ImmuneScore	ESTIMATEScore	0.02307453539178626	0.8647175783820633	False	8
GSE282774	all pN2 LUAD	58	ssGSEA	20	20	CD8A	none	-0.5917005047711592	1.0008489050058505e-06	True	8
GSE282774	all pN2 LUAD	58	ssGSEA	20	20	CD8A	ESTIMATE StromalScore	-0.549948263600382	9.370922409332286e-06	True	8
GSE282774	all pN2 LUAD	58	ssGSEA	20	20	CD8A	ESTIMATEScore	-0.362171573979694	0.005632844548362502	True	8
GSE282774	all pN2 LUAD	58	ssGSEA	20	20	ImmuneScore	none	-0.6568950136885171	2.1441341092709436e-08	True	8
GSE282774	all pN2 LUAD	58	ssGSEA	20	20	ImmuneScore	ESTIMATE StromalScore	-0.5963958367578492	9.80660149903491e-07	True	8
GSE282774	all pN2 LUAD	58	ssGSEA	20	20	ImmuneScore	ESTIMATEScore	-0.401846379265498	0.001945671018398061	True	8
GSE282774	all pN2 LUAD	58	z-mean	30	30	CD8A	none	-0.3124769289038438	0.016936429196941622	True	8
GSE282774	all pN2 LUAD	58	z-mean	30	30	CD8A	ESTIMATE StromalScore	-0.23046025983654622	0.08458346941202195	False	8
GSE282774	all pN2 LUAD	58	z-mean	30	30	CD8A	ESTIMATEScore	-0.050818758682470835	0.7073512423378069	False	8
GSE282774	all pN2 LUAD	58	z-mean	30	30	ImmuneScore	none	-0.35556307484081334	0.006161261010630408	True	8
GSE282774	all pN2 LUAD	58	z-mean	30	30	ImmuneScore	ESTIMATE StromalScore	-0.24512247805669204	0.06609457591259559	False	8
GSE282774	all pN2 LUAD	58	z-mean	30	30	ImmuneScore	ESTIMATEScore	-0.047293164803831333	0.726833535924817	False	8
GSE282774	all pN2 LUAD	58	ssGSEA	30	30	CD8A	none	-0.5673987944114391	3.411288228120132e-06	True	8
GSE282774	all pN2 LUAD	58	ssGSEA	30	30	CD8A	ESTIMATE StromalScore	-0.5239475758638842	2.880130674176478e-05	True	8
GSE282774	all pN2 LUAD	58	ssGSEA	30	30	CD8A	ESTIMATEScore	-0.40458005405104036	0.0017994679972936055	True	8
GSE282774	all pN2 LUAD	58	ssGSEA	30	30	ImmuneScore	none	-0.586145375126888	1.3363710752225721e-06	True	8
GSE282774	all pN2 LUAD	58	ssGSEA	30	30	ImmuneScore	ESTIMATE StromalScore	-0.5231152687401043	2.9810369805256788e-05	True	8
GSE282774	all pN2 LUAD	58	ssGSEA	30	30	ImmuneScore	ESTIMATEScore	-0.40066882556926836	0.002011851349634845	True	8
GSE282774	all pN2 LUAD	58	z-mean	50	50	CD8A	none	-0.29088224450824446	0.026745633097685555	True	8
GSE282774	all pN2 LUAD	58	z-mean	50	50	CD8A	ESTIMATE StromalScore	-0.20287568002312079	0.1301445252917258	False	8
GSE282774	all pN2 LUAD	58	z-mean	50	50	CD8A	ESTIMATEScore	-0.025649155781875335	0.8497888784825427	False	8
GSE282774	all pN2 LUAD	58	z-mean	50	50	ImmuneScore	none	-0.34584268971669385	0.007834392177488277	True	8
GSE282774	all pN2 LUAD	58	z-mean	50	50	ImmuneScore	ESTIMATE StromalScore	-0.22935891022209698	0.08612187155945593	False	8
GSE282774	all pN2 LUAD	58	z-mean	50	50	ImmuneScore	ESTIMATEScore	-0.038626752394301744	0.7754363767861788	False	8
GSE282774	all pN2 LUAD	58	ssGSEA	50	50	CD8A	none	-0.602036422088711	5.759699213381043e-07	True	8
GSE282774	all pN2 LUAD	58	ssGSEA	50	50	CD8A	ESTIMATE StromalScore	-0.5632465435999743	5.084175504606287e-06	True	8
GSE282774	all pN2 LUAD	58	ssGSEA	50	50	CD8A	ESTIMATEScore	-0.4584185467092617	0.00033569745046002023	True	8
GSE282774	all pN2 LUAD	58	ssGSEA	50	50	ImmuneScore	none	-0.6220123658063922	1.8699352506408674e-07	True	8
GSE282774	all pN2 LUAD	58	ssGSEA	50	50	ImmuneScore	ESTIMATE StromalScore	-0.5660493001592442	4.454230188013784e-06	True	8
GSE282774	all pN2 LUAD	58	ssGSEA	50	50	ImmuneScore	ESTIMATEScore	-0.46411668595596317	0.000276389720394348	True	8
GSE282774	all pN2 LUAD	58	z-mean	100	100	CD8A	none	-0.2599360158729553	0.04877693764912391	True	8
GSE282774	all pN2 LUAD	58	z-mean	100	100	CD8A	ESTIMATE StromalScore	-0.17243343498607958	0.19962022586354589	False	8
GSE282774	all pN2 LUAD	58	z-mean	100	100	CD8A	ESTIMATEScore	-0.004446183883100982	0.9738146106025327	False	8
GSE282774	all pN2 LUAD	58	z-mean	100	100	ImmuneScore	none	-0.32707865514165313	0.012207809402286563	True	8
GSE282774	all pN2 LUAD	58	z-mean	100	100	ImmuneScore	ESTIMATE StromalScore	-0.21452237101537883	0.10905744763192762	False	8
GSE282774	all pN2 LUAD	58	z-mean	100	100	ImmuneScore	ESTIMATEScore	-0.03751179376570923	0.7817563267418408	False	8
GSE282774	all pN2 LUAD	58	ssGSEA	100	100	CD8A	none	-0.5669373695311913	3.488368771918935e-06	True	8
GSE282774	all pN2 LUAD	58	ssGSEA	100	100	CD8A	ESTIMATE StromalScore	-0.5274320512203308	2.491002569721928e-05	True	8
