dataset	contrast	gene_set	human_symbol	assayed_symbol	log2FC	pvalue	FDR	n	note
GSE50927	baseline KO vs WT	IFN_ISG	ADAR	Adar	0.221657554	0.138016113	0.687704255	2.0	submitter edgeR; whole mouse lung
GSE50927	baseline KO vs WT	IFN_ISG	BST2	Bst2	0.442283218	0.004688664	0.10006632	2.0	submitter edgeR; whole mouse lung
GSE50927	baseline KO vs WT	IFN_ISG	CMPK2	Cmpk2	0.209050053	0.270340167	0.903648486	2.0	submitter edgeR; whole mouse lung
GSE50927	baseline KO vs WT	IFN_ISG	CXCL10	Cxcl10	2.542898441	0.004257013	0.093900892	2.0	submitter edgeR; whole mouse lung
GSE50927	baseline KO vs WT	IFN_ISG	CXCL11	Cxcl11	5.044394119	0.010305774	0.167807069	2.0	submitter edgeR; whole mouse lung
GSE50927	baseline KO vs WT	IFN_ISG	CXCL9	Cxcl9	2.883303775	0.002282902	0.06232753	2.0	submitter edgeR; whole mouse lung
GSE50927	baseline KO vs WT	IFN_ISG	DDX58	Ddx58	0.159132744	0.273179783	0.907447441	2.0	submitter edgeR; whole mouse lung
GSE50927	baseline KO vs WT	IFN_ISG	DHX58	Dhx58	0.427253449	0.117277206	0.644104695	2.0	submitter edgeR; whole mouse lung
GSE50927	baseline KO vs WT	IFN_ISG	EIF2AK2	Eif2ak2	-0.140057489	0.410928389	1.0	2.0	submitter edgeR; whole mouse lung
GSE50927	baseline KO vs WT	IFN_ISG	IFI27	Ifi27l2a	0.6236121	0.016289737	0.219629205	2.0	submitter edgeR; whole mouse lung
GSE50927	baseline KO vs WT	IFN_ISG	IFI35	Ifi35	0.286246407	0.052181182	0.421508208	2.0	submitter edgeR; whole mouse lung
GSE50927	baseline KO vs WT	IFN_ISG	IFI44	Ifi44	0.749481166	0.000843269	0.031234037	2.0	submitter edgeR; whole mouse lung
GSE50927	baseline KO vs WT	IFN_ISG	IFI44L	Ifi44l	0.498119241	0.297090644	0.942741585	2.0	submitter edgeR; whole mouse lung
GSE50927	baseline KO vs WT	IFN_ISG	IFI6	Ifi6	NA	NA	NA	NA	not assayed or below expression filter
GSE50927	baseline KO vs WT	IFN_ISG	IFIH1	Ifih1	0.055694069	0.700934367	1.0	2.0	submitter edgeR; whole mouse lung
GSE50927	baseline KO vs WT	IFN_ISG	IFIT1	Ifit1	0.57577684	0.000719541	0.02824166	2.0	submitter edgeR; whole mouse lung
GSE50927	baseline KO vs WT	IFN_ISG	IFIT2	Ifit2	-0.369023039	0.012872714	0.19255841	2.0	submitter edgeR; whole mouse lung
GSE50927	baseline KO vs WT	IFN_ISG	IFIT3	Ifit3	-0.206965942	0.315638468	0.967196558	2.0	submitter edgeR; whole mouse lung
GSE50927	baseline KO vs WT	IFN_ISG	IFITM1	Ifitm1	0.528215404	0.000281624	0.014365759	2.0	submitter edgeR; whole mouse lung
GSE50927	baseline KO vs WT	IFN_ISG	IFITM2	Ifitm2	0.293262885	0.039618678	0.369611412	2.0	submitter edgeR; whole mouse lung
GSE50927	baseline KO vs WT	IFN_ISG	IFITM3	Ifitm3	0.471150083	0.000856338	0.031556571	2.0	submitter edgeR; whole mouse lung
