source	query_or_url	checked_2026-09-21	open_matrix
Dokkyo pathology lab site	https://dept.dokkyomed.ac.jp/dep-m/pathology/	citation only; no download or GitHub link	no
researchmap paper	https://researchmap.jp/ayakore0303/published_papers/51267947	DOI 10.1016/j.bbrc.2025.152710 only	no
researchmap 資料公開	https://researchmap.jp/ayakore0303/資料公開	no listed files	no
Dokkyo repository	https://dmu.repo.nii.ac.jp/records/2000795	DJMS-52-2-34.pdf, 1 page, conference abstract K-4; no accession	no
KAKEN JP18K15958	https://kaken.nii.ac.jp/grant/KAKENHI-PROJECT-18K15958/	final report 2022-01-27 describes CLDN4 in SCLC; no repository URL	no
KAKEN JP21K08164	https://kaken.nii.ac.jp/grant/KAKENHI-PROJECT-21K08164/	no RNA-seq accession in the project page	no
Dryad	q=10.1016/j.bbrc.2025.152710; q=H1688; q=Yazawa CLDN4	0 datasets	no
Dryad near miss	doi:10.5061/dryad.47d7wm3pc	CLDN4 keyword hit is unrelated lung epithelium	no
Dryad near miss	doi:10.5061/dryad.m6f93	Kashiwagi keyword hit is Xenopus strains, not this author	no
Zenodo	doi:10.1016/j.bbrc.2025.152710	no record tied to this DOI	no
Figshare	Kashiwagi CLDN4	0 articles	no
GitHub users	dokkyomed; fmu-chiba; hidchiba	0 users	no
GitHub repo near miss	https://github.com/poojascis/CLDN4_Data	nsSNV and UTR SNV tables, not H1688 RNA-seq	no
Elsevier	PII S0006291X25014263 mmc1-mmc5; Crossref relation	no supplement file; relation empty; Unpaywall closed	no
WeChat Sogou exact	CLDN4 H1688 SAA1 RNA-seq 柏木	no articles	no
WeChat Sogou broad	CLDN4 小细胞肺癌 SAA1	two unrelated posts (cell therapy; RET investment)	no
CNCB GSA	Kashiwagi; H1688 CLDN4; SAA1 H1688	0	no
DDBJ	keywords Kashiwagi	0 bioproject/GEA/SRA-study	no
DDBJ H1688	keywords H1688	PRJNA1275993 KLF9 KD; PRJNA730017 FOXM1 KD; PRJNA757981 drug treatment. Not CLDN4 KO	no
