subset	eligible	method	alpha	size	purity	endpoint	meta_rho	meta_p	meta_i2	meta_model	meta_n	meta_k	meta_ci_low	meta_ci_high	geo_rho	geo_p	geo_i2	geo_model	geo_n	abs_meta	abs_geo
all	True	z-mean	0.25	5	none	CD8A	-0.23641048905445305	0.0038667095640816094	0.5738417755083078	DL random	420	4	-0.38375576912633835	-0.07732601942913991	-0.18129917576517957	0.06186424960026992	0.44082716751036194	DL random	251	0.23641048905445305	0.18129917576517957
all	True	z-mean	0.25	5	none	ImmuneScore	-0.2820016508290057	0.004211238226220574	0.7091710860570538	DL random	420	4	-0.452915922433111	-0.09109476746892003	-0.23826443115093054	0.05387510074845582	0.6457262307612269	DL random	251	0.2820016508290057	0.23826443115093054
all	True	z-mean	0.25	6	none	CD8A	-0.25953489973300853	0.002922145939152333	0.626163006574584	DL random	420	4	-0.414099085507263	-0.09042302759050086	-0.1805702134438467	0.020315156578754955	0.21239069230945337	DL random	251	0.25953489973300853	0.1805702134438467
all	True	z-mean	0.25	6	none	ImmuneScore	-0.30829411226019765	0.0039187308372293506	0.7560779076315426	DL random	420	4	-0.4893250205690079	-0.10179225940642211	-0.23934584604074421	0.03270863778729092	0.5738328308533752	DL random	251	0.30829411226019765	0.23934584604074421
all	True	z-mean	0.25	7	none	CD8A	-0.28634808918390536	0.00026522907502110854	0.5469613258729792	DL random	420	4	-0.42427527013952293	-0.13543553044868822	-0.20966207422836505	0.0009307326562480077	0.0	fixed	251	0.28634808918390536	0.20966207422836505
all	True	z-mean	0.25	7	none	ImmuneScore	-0.33954761238194814	0.0004618568889598887	0.7073462685363915	DL random	420	4	-0.5016228679708076	-0.15444402015052122	-0.2711982683762668	0.006486077233661015	0.47819228068389585	DL random	251	0.33954761238194814	0.2711982683762668
all	True	z-mean	0.25	8	none	CD8A	-0.316801703370539	6.592584178622104e-05	0.5619282012334059	DL random	420	4	-0.4536048051490758	-0.16541242703736095	-0.24408173778193712	0.0007582837708163573	0.1460493283769209	DL random	251	0.316801703370539	0.24408173778193712
all	True	z-mean	0.25	8	none	ImmuneScore	-0.3714506973678424	0.0003254190113684144	0.7471706595155321	DL random	420	4	-0.5390642623774895	-0.1755372191557067	-0.32060124566929415	0.007627723884106224	0.6377024968547194	DL random	251	0.3714506973678424	0.32060124566929415
all	True	z-mean	0.25	9	none	CD8A	-0.3302730272076598	7.050686476272526e-07	0.3994481995416584	DL random	420	4	-0.44522333613801024	-0.20461316787195466	-0.2687332452582288	3.8730886704478475e-05	0.04111156804815369	DL random	251	0.3302730272076598	0.2687332452582288
all	True	z-mean	0.25	9	none	ImmuneScore	-0.39183670723043423	8.290554679086533e-05	0.7305196003349139	DL random	420	4	-0.551208214797514	-0.20487983430672163	-0.3656519771836397	0.006171924945866202	0.7113798243945806	DL random	251	0.39183670723043423	0.3656519771836397
all	True	z-mean	0.25	10	none	CD8A	-0.34839227470539147	1.928745809116571e-07	0.40937269760443595	DL random	420	4	-0.46251367254247244	-0.22291478388538624	-0.2790364837709487	8.233383939091295e-06	0.0	fixed	251	0.34839227470539147	0.2790364837709487
all	True	z-mean	0.25	10	none	ImmuneScore	-0.3942574870360806	3.824841469424852e-05	0.7088542583652274	DL random	420	4	-0.5477989230447502	-0.2150222817100397	-0.3470097700749025	0.0020264693782974653	0.5940673887414464	DL random	251	0.3942574870360806	0.3470097700749025
all	True	z-mean	0.25	11	none	CD8A	-0.34116836576937726	1.2877596107036729e-05	0.55434008555746	DL random	420	4	-0.4739131957000581	-0.19326191090619124	-0.2585955134981117	3.850837307865235e-05	0.0	fixed	251	0.34116836576937726	0.2585955134981117
all	True	z-mean	0.25	11	none	ImmuneScore	-0.38970584868995684	0.00010415037248872224	0.7348580422255291	DL random	420	4	-0.5506116072406373	-0.2008784124286502	-0.32218355737775883	0.0016497994457105908	0.5123510487395181	DL random	251	0.38970584868995684	0.32218355737775883
