program	block	expect	n	median_before	median_after	median_delta	mean_delta	n_kd_like	frac_kd_like	wilcoxon_p	median_perm_p	n_perm_p_lt_0.05	median_delta_control	wilcoxon_p_cldn4_minus_control
IFN	ALL	up	61	0.2802785706459051	0.2786244384020798	-0.003223334580479043	-0.0036135531677244244	7	0.11475409836065574	1.958536098662138e-09	0.024390243902439025	42	-0.00453677031329883	0.027195269553073817
IFN	GSE123902	up	12	0.28351924555288255	0.28122570318297	-0.0014595710902195337	-0.0017977334119278637	0	0.0	0.00048828125	0.13414634146341464	6	-0.003534284211410341	0.02099609375
IFN	GSE131907	up	19	0.28218921238380346	0.2780523904292163	-0.004908639934330473	-0.005887933742048232	0	0.0	3.814697265625e-06	0.024390243902439025	18	-0.0060248042316200035	0.6794281005859375
IFN	GSE205335	up	21	0.25425622059485237	0.2522385694297508	-0.004038989587121657	-0.0038212311304990985	3	0.14285714285714285	0.00029277801513671875	0.024390243902439025	14	-0.004372314751712643	0.7079343795776367
IFN	GSE189357	up	9	0.2802785706459051	0.28166593641797943	-0.0005944806714338767	-0.0007485941609620034	4	0.4444444444444444	0.65234375	0.07317073170731707	4	-0.004632735552992704	0.0546875
IFN	ALL_drop_GSE205335_nonADC	up	53	0.28412184797791823	0.28166593641797943	-0.0032803991881523438	-0.0035792185870646438	7	0.1320754716981132	2.9184969884403958e-08	0.024390243902439025	37	-0.00453677031329883	0.04886816144868859
MHC_I_APM	ALL	up	60	0.8005579355659664	0.7890111996956528	-0.008931691139243962	-0.011494608634669841	12	0.2	5.321343589359556e-08	0.024390243902439025	40	-0.011131263177063613	0.5411909414957812
MHC_I_APM	GSE123902	up	12	0.9317039547352483	0.9283399587717005	-0.004830451911300217	-0.003983775789749619	3	0.25	0.01220703125	0.0975609756097561	5	-0.007498734249881244	0.1513671875
MHC_I_APM	GSE131907	up	19	0.7996420726967179	0.7748480579893611	-0.017145274966528824	-0.018792147497582744	1	0.05263157894736842	7.62939453125e-06	0.024390243902439025	17	-0.014033353067931499	0.6225624084472656
MHC_I_APM	GSE205335	up	20	0.7718925823452434	0.7566205586582312	-0.012540262477043762	-0.014682871535064168	3	0.15	0.000133514404296875	0.024390243902439025	14	-0.010431518885506006	0.36827659606933594
MHC_I_APM	GSE189357	up	9	0.7412219574985072	0.740332522423908	0.0020922140916399593	0.0009818916169067153	5	0.5555555555555556	0.734375	0.21951219512195122	4	-0.012528941051458064	0.0390625
MHC_I_APM	ALL_drop_GSE205335_nonADC	up	53	0.8114494485039077	0.797187356064732	-0.009001985605072624	-0.01137321080564194	11	0.20754716981132076	6.978013310028531e-07	0.024390243902439025	34	-0.010896170310030304	0.5740134473463965
chemokine	ALL	up	59	0.09841087568863874	0.10071905427633945	0.00022233981056129785	0.0008281110483640584	32	0.5423728813559322	0.2639513805686854	0.21951219512195122	17	-0.0013758693662391404	0.5260612556906483
chemokine	GSE123902	up	12	0.10743124269036718	0.10799916248851515	0.0009082393017618964	0.0013889941472348226	9	0.75	0.01611328125	0.4024390243902439	1	0.004402937604660499	0.30126953125
chemokine	GSE131907	up	17	0.11057371678098585	0.10433659309149146	-0.0017146601942029224	-0.0018177078114298912	4	0.23529411764705882	0.02667236328125	0.07317073170731707	8	-0.0002723668872210887	0.088653564453125
chemokine	GSE205335	up	21	0.07154288243700338	0.0713611009083662	0.0009455250609262485	0.0017906693447337192	12	0.5714285714285714	0.22898578643798828	0.2682926829268293	5	-0.002084137034605501	0.06464958190917969
chemokine	GSE189357	up	9	0.11394830771355642	0.11701996747078205	0.0024644074658762465	0.002831955404617958	7	0.7777777777777778	0.0390625	0.1951219512195122	3	-0.004545204624444766	0.02734375
chemokine	ALL_drop_GSE205335_nonADC	up	51	0.10453627671126799	0.10262227090626941	0.00046730528541586303	0.0010422369935029754	30	0.5882352941176471	0.13860450428488436	0.1951219512195122	16	-0.0013758693662391404	0.43657033963391956
barrier_ligands	ALL	down	61	0.337128966441093	0.3276432300668953	-0.017418975589628065	-0.020237280460412115	60	0.9836065573770492	1.1678682193806253e-11	0.024390243902439025	59	-0.0050885442854858515	3.3057412287609227e-06
barrier_ligands	GSE123902	down	12	0.28122663849611373	0.272404700707358	-0.011178396339624495	-0.012371145095953134	12	1.0	0.00048828125	0.024390243902439025	12	-0.013877244832159005	0.38037109375
barrier_ligands	GSE131907	down	19	0.40854006962447437	0.3838280177867426	-0.02018033024602666	-0.020677074023607123	19	1.0	3.814697265625e-06	0.024390243902439025	18	-0.0061873155872424	1.1444091796875e-05
barrier_ligands	GSE205335	down	21	0.3639362604831338	0.3453034857510024	-0.026300030631148878	-0.026637222635414116	20	0.9523809523809523	1.9073486328125e-06	0.024390243902439025	20	-0.0028261937604972683	0.0005102157592773438
barrier_ligands	GSE189357	down	9	0.22583348476713516	0.213139635553391	-0.014049581511953861	-0.014863809460163246	9	1.0	0.00390625	0.024390243902439025	9	0.00369729881283575	0.01953125
barrier_ligands	ALL_drop_GSE205335_nonADC	down	53	0.337128966441093	0.3276432300668953	-0.01935009320457386	-0.020893480660540687	53	1.0	2.386484752546066e-10	0.024390243902439025	52	-0.00449877398540864	1.1516541623238226e-05
chemokine_ligands	ALL	up	59	0.12052277932200095	0.11750951157768041	9.313534125967475e-06	0.0002215469916881876	30	0.5084745762711864	0.9879556304709824	0.21951219512195122	16	-0.0005189720183626758	0.803296418901291
chemokine_ligands	GSE123902	up	12	0.11281947079018398	0.11452897848905133	0.0003260710796872041	0.00032188683147122175	7	0.5833333333333334	0.67724609375	0.3902439024390244	2	0.00019284457331049024	0.9697265625
chemokine_ligands	GSE131907	up	17	0.13083021957842078	0.1381358132349338	-0.0016891815616489946	-0.0023129817763467182	4	0.23529411764705882	0.017425537109375	0.0975609756097561	7	0.00010203035173059441	0.1593780517578125
chemokine_ligands	GSE205335	up	21	0.09329669361300433	0.09442647642291714	0.00029811537751602403	0.001168284457313168	12	0.5714285714285714	0.35541629791259766	0.21951219512195122	4	-0.0005837774209862152	0.3376598358154297
chemokine_ligands	GSE189357	up	9	0.1484170076819251	0.15153173828877656	0.002346080719458382	0.002666149680696233	7	0.7777777777777778	0.25	0.17073170731707318	3	-0.004234690772247036	0.25
chemokine_ligands	ALL_drop_GSE205335_nonADC	up	51	0.12543181207165033	0.12537722377794802	0.00015299659859053597	0.0003671509839696516	27	0.5294117647058824	0.8293075556249441	0.21951219512195122	14	-0.00035257687319387886	0.7146895407730142
TJ_broad	ALL	down	61	0.30063030306098387	0.2952772306878979	-0.004395578255503741	-0.005045306800571695	61	1.0	1.1111647363502784e-11	0.024390243902439025	54	-0.00414240063431973	0.6795995794992766
TJ_broad	GSE123902	down	12	0.28998833358614784	0.28736383499812646	-0.003067544609128046	-0.003440451801862123	12	1.0	0.00048828125	0.024390243902439025	10	-0.00696084420201043	0.00341796875
TJ_broad	GSE131907	down	19	0.3213209538219407	0.31117895263760115	-0.005074533815369607	-0.005656401840933575	19	1.0	3.814697265625e-06	0.024390243902439025	18	-0.004644746792685938	0.4653167724609375
TJ_broad	GSE205335	down	21	0.32896796847462006	0.3251665323089351	-0.006580460411570763	-0.006307189716891772	21	1.0	9.5367431640625e-07	0.024390243902439025	19	-0.003786451361330452	0.21568012237548828
TJ_broad	GSE189357	down	9	0.27789129244971056	0.27431047617152965	-0.003041895693472891	-0.002950630464451433	9	1.0	0.00390625	0.024390243902439025	7	-0.0036409130146544504	0.42578125
TJ_broad	ALL_drop_GSE205335_nonADC	down	53	0.29904751775057203	0.29510982846875317	-0.004547857752505959	-0.005127775899831357	53	1.0	2.386484752546066e-10	0.024390243902439025	47	-0.0038326038614639063	0.9189100335169904
