gene	logFC	AveExpr	t	p	se	df	fdr	compartment	cohort	contrast	n_q1	n_q4	family
CCL5	-2.4574207972420257	4.341651601059585	-5.61148931882875	4.646532804158287e-06	0.4379266639600318	29	0.003858823216674401	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN|chemokine
GZMA	-2.2405132164312462	3.1297351659579618	-5.496866391883038	6.3821006352291505e-06	0.4075982672126989	29	0.004577416632876399	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
TBCD	0.9633925386059735	4.600806838116157	5.366133357909736	9.17130027673971e-06	0.17953197849358754	29	0.0057885578826670355	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
XCL2	-1.6868196966589935	1.5852899326487542	-4.658354881470237	6.550309377044682e-05	0.36210630996980014	29	0.013259397142981317	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	chemokine
GBP2	-2.346936875020419	4.102351025141446	-4.60675357504566	7.557027469378143e-05	0.5094557016753728	29	0.013259397142981317	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
CLDN3	1.8847380889813639	7.039050793537906	4.460648463495168	0.00011319374510302744	0.4225255821895828	29	0.01712690738052158	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
CSF2RB	-1.111554722235998	1.1626894470957045	-4.435925709585495	0.0001211874665816785	0.2505801032316803	29	0.0178711872447879	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
GBP4	-2.1545102082042935	2.872478397814076	-4.3564266568337935	0.00015087704570171642	0.49455904527270744	29	0.019045511233019067	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
CD69	-2.2860664393435104	3.8092170544039314	-4.308093302848167	0.00017233558347616695	0.5306445981177208	29	0.020391731632974745	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
CCL3	-1.9839173573117719	4.436585320907601	-4.092570069799465	0.0003109719613663631	0.4847607550941659	29	0.025888876432774217	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	chemokine
PECAM1	-1.8262451055920088	2.792860204516426	-4.035283609507958	0.00036348221622781515	0.4525692075989405	29	0.02757397062432065	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
CCL4	-1.9676931314526165	5.214396975488831	-3.9110171389661046	0.0005091353071980412	0.5031154458128468	29	0.03347352505115788	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	chemokine
TAP2	-1.505808833408376	4.552557943828922	-3.8655944558936657	0.0005755584202009541	0.3895413371965467	29	0.03423477741261006	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	MHC-I/APM
AUTS2	2.350087556843348	4.426140534773432	3.8541099706798545	0.000593653284273161	0.6097614169605023	29	0.03455456499161525	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
DLG3	1.1295959235552193	4.067048274288526	3.818787414603781	0.0006528660903262142	0.2957996350452571	29	0.035575117846784556	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
TMEM140	-1.2702042364627624	2.3162131866010442	-3.774770735789643	0.0007347767574958535	0.33649837973459035	29	0.03764299498872426	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
CXCR3	-1.7085387318257332	1.7596429617454128	-3.7548050765318326	0.0007751617472418612	0.45502727758210126	29	0.0387270429838705	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	chemokine
TAP1	-1.538164873394218	5.665602217313716	-3.7374454360852	0.0008120298086338727	0.4115551383153767	29	0.03954635293343789	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN|MHC-I/APM
