family	split	cohort	n_q1	n_q4	n	n_genes	logFC	p	t	se	df	fdr
IFN	q4q1	GSE123902+GSE131907+GSE205335+GSE189357	18.0	16.0	34	221	-0.5843268615202205	0.0024344294684935297	-3.320510512536611	0.1759750072508701	29.0	0.004868858936987059
MHC-I/APM	q4q1	GSE123902+GSE131907+GSE205335+GSE189357	18.0	16.0	34	21	-0.7791349664224808	0.0098832037247188	-2.761255019425438	0.28216697151884335	29.0	0.013177604966291735
TJ	q4q1	GSE123902+GSE131907+GSE205335+GSE189357	18.0	16.0	34	194	0.042752064121790626	0.5386098788755238	0.622295898782465	0.06870053973589724	29.0	0.5386098788755238
chemokine	q4q1	GSE123902+GSE131907+GSE205335+GSE189357	18.0	16.0	34	25	-0.9636532058784242	7.731433715030148e-05	-4.598514165727411	0.20955751600386552	29.0	0.0003092573486012059
IFN	continuous	GSE123902+GSE131907+GSE205335+GSE189357			64	221	-0.16097800133685358	0.04215168517517559	-2.077136050170403	0.07749997951441234	59.0	0.05620224690023412
MHC-I/APM	continuous	GSE123902+GSE131907+GSE205335+GSE189357			64	21	-0.2725287315877236	0.019256291288364372	-2.4064986284153207	0.11324699227740004	59.0	0.038512582576728745
TJ	continuous	GSE123902+GSE131907+GSE205335+GSE189357			64	194	0.036839815073522075	0.167953628640306	1.395972892884864	0.026390064779402936	59.0	0.167953628640306
chemokine	continuous	GSE123902+GSE131907+GSE205335+GSE189357			64	25	-0.306730129130023	0.0031423488299212694	-3.079896393618297	0.09959105435026437	59.0	0.012569395319685078
IFN	q4q1	GSE123902	4.0	3.0	7	221	-0.6794591522259397	0.10218093486810223	-1.9981475124804275	0.34004454024642244	5.0	0.14426830474778546
MHC-I/APM	q4q1	GSE123902	4.0	3.0	7	21	-0.7510521862434034	0.1082012285608391	-1.9533777279833084	0.38448896774245456	5.0	0.14426830474778546
TJ	q4q1	GSE123902	4.0	3.0	7	194	0.1285814470187877	0.6200301813911344	0.5280834233065286	0.24348699721284753	5.0	0.6200301813911344
chemokine	q4q1	GSE123902	4.0	3.0	7	25	-1.3545762779542538	0.10810880449275787	-1.9540452599049694	0.693216429398432	5.0	0.14426830474778546
IFN	continuous	GSE123902			13	221	-0.23050819082346855	0.04778173357014904	-2.2269385012361624	0.1035090060616917	11.0	0.09556346714029808
MHC-I/APM	continuous	GSE123902			13	21	-0.2845042110853377	0.12262253962288618	-1.672365664715378	0.1701208157330579	11.0	0.16349671949718156
TJ	continuous	GSE123902			13	194	0.06411479743496111	0.44996504024250866	0.7833392085273865	0.08184806369579237	11.0	0.44996504024250866
chemokine	continuous	GSE123902			13	25	-0.6360860323422176	0.022363854847597134	-2.655545887878235	0.23953117709084157	11.0	0.08945541939038854
IFN	q4q1	GSE131907	6.0	5.0	11	221	-0.011070206404118266	0.9708318262421001	-0.03759430796433491	0.29446496035039094	9.0	0.9708318262421001
MHC-I/APM	q4q1	GSE131907	6.0	5.0	11	21	-0.16836216785468494	0.7642843665875994	-0.3090959824978004	0.5446921907368467	9.0	0.9708318262421001
TJ	q4q1	GSE131907	6.0	5.0	11	194	0.18522929121569315	0.023771891101335506	2.71576925092913	0.06820509185466393	9.0	0.09508756440534202
chemokine	q4q1	GSE131907	6.0	5.0	11	25	-0.42406412993907544	0.07504626267167326	-2.012322633847452	0.2107336680541568	9.0	0.15009252534334652
IFN	continuous	GSE131907			21	221	0.0699210331571601	0.5854563652335302	0.5548712430523326	0.12601307786744592	19.0	0.9551131568907198
MHC-I/APM	continuous	GSE131907			21	21	-0.03249834800161928	0.8664380065751608	-0.1704760523939417	0.1906329220160555	19.0	0.9551131568907198
TJ	continuous	GSE131907			21	194	0.081827243998418	0.005113811838721038	3.1636673618129967	0.02586468001854829	19.0	0.020455247354884153
chemokine	continuous	GSE131907			21	25	-0.007496243641750106	0.9551131568907198	-0.057034619950191955	0.13143321807520655	19.0	0.9551131568907198
IFN	q4q1	GSE205335	5.0	6.0	11	221	-1.2434090461869083	0.001759470778352576	-4.384537233320654	0.28358957400053947	9.0	0.003518941556705152
MHC-I/APM	q4q1	GSE205335	5.0	6.0	11	21	-1.6049722924434668	0.016071661083479596	-2.9556896727494624	0.5430110972883287	9.0	0.02142888144463946
TJ	q4q1	GSE205335	5.0	6.0	11	194	-0.11480719521977611	0.3681567753264899	-0.947441579155552	0.1211760152241819	9.0	0.3681567753264899
chemokine	q4q1	GSE205335	5.0	6.0	11	25	-1.376666292493124	0.0017356755797508078	-4.393905021131158	0.3133127106463302	9.0	0.003518941556705152
IFN	continuous	GSE205335			21	221	-0.4229138185987063	0.0066111993693147705	-3.0484827570090403	0.1387292802054882	19.0	0.009398021820531077
MHC-I/APM	continuous	GSE205335			21	21	-0.609669027234987	0.007048516365398307	-3.0196224968054506	0.20190239934957901	19.0	0.009398021820531077
TJ	continuous	GSE205335			21	194	-0.027779862754062353	0.5475310611266504	-0.6124032364772302	0.045362044318809275	19.0	0.5475310611266504
chemokine	continuous	GSE205335			21	25	-0.468392793919415	0.0048798866062269184	-3.1845836589945815	0.14708132807140425	19.0	0.009398021820531077
IFN	continuous	GSE189357			9	221	-0.07254242130281247	0.4603118413208379	-0.78114997674479	0.09286618890409676	7.0	0.7455947969763678
MHC-I/APM	continuous	GSE189357			9	21	-0.05060554587497524	0.7455947969763678	-0.33755502238917234	0.14991791713479924	7.0	0.7455947969763678
TJ	continuous	GSE189357			9	194	-0.03645706384139799	0.29432960809501263	-1.1334964772195049	0.03216336757466426	7.0	0.7455947969763678
chemokine	continuous	GSE189357			9	25	-0.14681697996297965	0.5605245147939957	-0.610973741839419	0.24029998330364788	7.0	0.7455947969763678
