cohort	patient	n_mal	n_tnk	mal_tacstd2_mean	mal_tacstd2_pct
GSE123902	LX255B	228	1583	0.4811639317120312	0.2675438596491228
GSE123902	LX653	145	49	1.5592842748548392	0.8137931034482758
GSE123902	LX661	117	3726	0.6897173211437811	0.5042735042735043
GSE123902	LX666	786	177	0.03985846420254562	0.10432569974554708
GSE123902	LX675	618	1336	0.5197546053104385	0.3656957928802589
GSE123902	LX676	147	2606	0.8758785612159365	0.41496598639455784
GSE123902	LX679	497	625	0.598781033815796	0.41448692152917505
GSE123902	LX680	258	344	0.1564915524434329	0.1124031007751938
GSE123902	LX681	1207	86	0.8165454755429227	0.6188898094449047
GSE123902	LX682	421	2558	0.4373826987083553	0.23515439429928742
GSE123902	LX684	173	92	0.6355326051104885	0.5491329479768786
GSE123902	LX699	46	2263	0.2266264462619278	0.15217391304347827
GSE123902	LX701	90	322	0.42512254516246895	0.2222222222222222
GSE131907	BRONCHO_11	203	809	0.7403084882956066	0.6945812807881774
GSE131907	BRONCHO_58	460	1546	1.3395907376313843	0.7847826086956522
GSE131907	EBUS_06	1186	611	1.7080109386525393	0.7807757166947723
GSE131907	EBUS_10	367	1530	1.0929283483199712	0.779291553133515
GSE131907	EBUS_12	257	328	2.337031022716117	0.9416342412451362
GSE131907	EBUS_13	376	1150	0.0	0.0
GSE131907	EBUS_15	256	479	1.1102052410897119	0.5859375
GSE131907	EBUS_19	217	1427	1.6835880240333667	0.9262672811059908
GSE131907	EBUS_28	4640	232	1.3793239801355264	0.8568965517241379
GSE131907	EBUS_49	114	1126	0.6003772958770182	0.3157894736842105
GSE131907	EBUS_51	1285	1143	1.203382651442465	0.8583657587548638
GSE131907	NS_02	181	977	0.010855790439767608	0.011049723756906077
GSE131907	NS_03	2713	145	0.6370463934159196	0.63509030593439
GSE131907	NS_04	1229	131	0.6536244479063346	0.7184703010577705
GSE131907	NS_06	83	383	1.3571856611476307	0.7108433734939759
GSE131907	NS_07	5108	166	1.0570781583194757	0.7314017227877838
GSE131907	NS_12	2811	22	0.8761200578931246	0.671647100675916
GSE131907	NS_13	1352	1780	0.9689201293779398	0.6183431952662722
GSE131907	NS_16	79	385	0.0900308481634652	0.13924050632911392
GSE131907	NS_17	1112	410	0.9953715118631388	0.7068345323741008
GSE131907	NS_19	755	370	1.1346125495004546	0.6900662251655629
GSE205335	P0031	319	3824	1.0275609555178313	0.6018808777429467
GSE205335	P1006	1282	2998	1.7804069211481495	0.7995319812792512
GSE205335	P1015	291	473	0.9538949544677624	0.4742268041237113
GSE205335	P1016	5336	763	0.16206348317228583	0.13568215892053972
GSE205335	P1017	2186	2370	1.5900019569404278	0.6994510521500458
GSE205335	P1018	1180	2546	1.2745637056648833	0.6872881355932203
GSE205335	P1025	980	128	0.16997200797372827	0.23775510204081632
GSE205335	P1027	1318	2619	1.8387906505723008	0.7708649468892261
GSE205335	P1030	603	140	1.3737355809941385	0.5655058043117744
GSE205335	P1037	3671	611	0.6304482734837831	0.7120675565241079
GSE205335	P1056	2386	1354	1.5400433135550582	0.7187761944677284
GSE205335	P1062	188	1934	0.8670165311352152	0.43617021276595747
GSE205335	P1063	131	3144	0.6728682801710159	0.35877862595419846
GSE205335	P1072	406	586	0.9045023599598743	0.6847290640394089
GSE205335	P1076	849	2089	0.7940817825252368	0.5665488810365136
GSE205335	P1079	543	501	0.8904888041660998	0.5414364640883977
GSE205335	P1084	196	2350	1.5697972679511971	0.8112244897959183
GSE205335	P1089	1063	272	2.2949188660206468	0.8758231420507996
GSE205335	P1090	566	247	1.5652293912776243	0.7049469964664311
GSE205335	P1115	3769	271	0.022363981352669027	0.014858052533828601
GSE205335	P1119	1222	621	0.45645354611007216	0.3191489361702128
GSE205335	P4001	27	1801	0.5507529687491401	0.4444444444444444
GSE189357	TD1	2186	9915	1.1977678164657446	0.5622140896614821
GSE189357	TD2	1207	11334	0.658196405196704	0.3587406793703397
GSE189357	TD3	664	6525	0.9687832073315823	0.48042168674698793
GSE189357	TD4	491	7096	0.9433544751079886	0.4195519348268839
GSE189357	TD5	1736	11055	0.6892545759823764	0.35080645161290325
GSE189357	TD6	1211	3392	1.344534776347209	0.6275805119735756
GSE189357	TD7	849	1851	0.7039796924312136	0.3474676089517079
GSE189357	TD8	1019	7257	0.6784768297658089	0.4337585868498528
GSE189357	TD9	4889	4345	1.6102765075084193	0.7445285334424218
