method	split	family	n	mean_sum	median_sum	mean_per_ligand	frac_pos	p_wilcox	p_signflip	n_GSE123902	mean_GSE123902	n_GSE131907	mean_GSE131907	n_GSE205335	mean_GSE205335	n_GSE189357	mean_GSE189357	n_cohorts_pos	meta_mean	i2	p_meta
cellchat_hill	q4q1	barrier	63	0.2652613040165777	0.22567209395147633	0.06631532600414443	0.9365079365079365	1.5470912076747997e-11	9.999000099990002e-05	13	0.1641504009564365	20	0.193127950444159	21	0.3944522254660828	9	0.27016124410442327	4	0.2392345272606069	68.35347800589479	1.8842642900741917e-08
cellchat_hill	q4q1	ifn_recruit	63	0.02212080547564632	9.628922461931241e-05	0.004424161095129263	0.5079365079365079	7.609322951173988e-06		13	0.051109824551966915	20	0.012196431384264236	21	0.01991649167905906	9	0.007445341427180353	4	0.016811331042175935	55.54722114472324	0.006530541768274899
cellchat_hill	q4q1	mhc_cd8	63	0.04359219861072875	0.016587690648031728	0.014530732870242919	0.6666666666666666	1.0077915157798294e-05		13	0.013551710431974135	20	0.06235180730203933	21	0.06319805594666429	9	-0.00045100489560989665	3	0.028242767073305454	78.78744047807037	0.038756698949424385
cellchat_hill_pop	q4q1	barrier	63	0.019446411995714563	0.010690637014487836	0.004861602998928641	0.9365079365079365	1.6998949836524523e-11	9.999000099990002e-05	13	0.010117238782012046	20	0.013415168196402752	21	0.03495123653050915	9	0.010146724499457084	4	0.013771249836729334	68.15454468704333	6.103381855272838e-06
cellchat_hill_pop	q4q1	ifn_recruit	63	0.0014859097089986147	6.979654206724477e-06	0.0002971819417997229	0.5079365079365079	8.271888478163587e-06		13	0.00286373627970915	20	0.0007541718027645303	21	0.0018241022411770143	9	0.00033268410118731805	4	0.0007589012741528055	38.09986212765007	0.014862735790698326
cellchat_hill_pop	q4q1	mhc_cd8	63	0.003461681606314913	0.0008092861047363561	0.0011538938687716378	0.6666666666666666	2.936244913573875e-06		13	0.0003262498117450909	20	0.0036565254967825603	21	0.006656068606389461	9	0.00010408255281371592	4	0.0013918752832724447	84.42404351998665	0.03487880767635883
cellchat_prod	q4q1	barrier	63	0.37383213351703837	0.2987417792807929	0.09345803337925959	0.9365079365079365	3.425108994448457e-11	9.999000099990002e-05	13	0.21455118727311212	20	0.2777425253661369	21	0.5737531010234383	9	0.35095481646755755	4	0.3302077349517962	68.44482377410996	1.1433824466521185e-07
cellchat_prod	q4q1	ifn_recruit	63	0.02708901373844852	4.926395138543312e-05	0.005417802747689704	0.5079365079365079	7.609322951173988e-06		13	0.0642555622252692	20	0.012820705726599943	21	0.02397705251774061	9	0.012372593243245052	4	0.018467462309184227	37.477902332106474	0.008326066111945916
cellchat_prod	q4q1	mhc_cd8	63	0.10962714717469658	0.08890901642555171	0.03654238239156552	0.6666666666666666	2.3248213636830955e-05		13	0.04295502051034247	20	0.17422163958458128	21	0.14064180450300756	9	-0.00997952009815031	3	0.08393296078171585	78.91431088523771	0.04384791588423857
cpdb_means	q4q1	barrier	63	0.42738785166302073	0.3800116594383734	0.10684696291575518	0.9365079365079365	3.425108994448457e-11	9.999000099990002e-05	13	0.29242304066177244	20	0.3371281506231355	21	0.5613936347336751	9	0.5102339760330417	4	0.4130471451584713	64.1498704255084	1.0125905827529696e-10
