gene	direction	mt_ribo	min_patient_delta	max_patient_delta	GSE123902__n_units	GSE123902__n_high	GSE123902__n_low	GSE123902__patient_delta	GSE123902__sign_up	GSE123902__sign_down	GSE123902__cell_delta	GSE123902__auc	GSE123902__pct_high	GSE123902__pct_low	GSE123902__stat_up	GSE123902__cut_up	GSE123902__stat_down	GSE123902__cut_down	GSE131907__n_units	GSE131907__n_high	GSE131907__n_low	GSE131907__patient_delta	GSE131907__sign_up	GSE131907__sign_down	GSE131907__cell_delta	GSE131907__auc	GSE131907__pct_high	GSE131907__pct_low	GSE131907__stat_up	GSE131907__cut_up	GSE131907__stat_down	GSE131907__cut_down	GSE205335__n_units	GSE205335__n_high	GSE205335__n_low	GSE205335__patient_delta	GSE205335__sign_up	GSE205335__sign_down	GSE205335__cell_delta	GSE205335__auc	GSE205335__pct_high	GSE205335__pct_low	GSE205335__stat_up	GSE205335__cut_up	GSE205335__stat_down	GSE205335__cut_down	GSE189357__n_units	GSE189357__n_high	GSE189357__n_low	GSE189357__patient_delta	GSE189357__sign_up	GSE189357__sign_down	GSE189357__cell_delta	GSE189357__auc	GSE189357__pct_high	GSE189357__pct_low	GSE189357__stat_up	GSE189357__cut_up	GSE189357__stat_down	GSE189357__cut_down
RPL21	down	True	-0.23019831	-0.075591974	12	1167	1167	-0.075591974	0.3333333333333333	0.6666666666666666	0.0360106866387619	0.4065279916351479	0.9777206512425022	0.8371893744644388	1.3805039781398379e-35	2116	3.509242967050086e-51	496	19	6076	6076	-0.23019831	0.1052631578947368	0.8947368421052632	-0.167990737647719	0.4268248715740623	0.9697169190256748	0.9637919684002634	0.0382194131133975	11748	6.48191217198409e-62	2130	21	7112	7112	-0.21850902	0.1428571428571428	0.8571428571428571	-0.120819317977896	0.449900400438556	0.952334083239595	0.9034026996625422	3.7315054799594175e-30	13198	1.282173368562545e-35	8935	9	3559	3559	-0.08591391	0.3333333333333333	0.6666666666666666	-0.1033515179674893	0.4303561502204124	0.9050295026692892	0.8482719865130655	1.3801469582478182e-13	6239	4.9432084640175605e-67	1088
RPS12	down	True	-0.17164648	-0.07304581	12	1167	1167	-0.07304581	0.4166666666666667	0.5833333333333334	0.0329387853415439	0.4188344277690766	0.976006855184233	0.8491859468723222	6.0491061567488944e-30	2130	4.926437884085667e-20	327	19	6076	6076	-0.17164648	0.1052631578947368	0.8947368421052632	-0.1296899373796369	0.4263302588975023	0.9739960500329164	0.9646148782093482	0.0015893626485169	11779	1.5527842461830126e-63	3065	21	7112	7112	-0.1424243	0.2857142857142857	0.7142857142857143	-0.0325372348174455	0.467625279000558	0.9744094488188976	0.935179977502812	2.1457607318466096e-30	13581	1.4854397339808948e-57	765	9	3559	3559	-0.15431619	0.4444444444444444	0.5555555555555556	-0.1860897740180238	0.4194637405606182	0.9688114638943524	0.9505479067153696	5.421392947616747e-05	6831	8.834978424574988e-37	658
EEF1A1	down	False	-0.1855573	-0.050777685	12	1167	1167	-0.13478045	0.3333333333333333	0.6666666666666666	-0.0562243313181718	0.3846506580198533	0.988860325621251	0.897172236503856	2.7737453165228984e-24	2201	2.3358025756603093e-38	500	19	6076	6076	-0.1855573	0.1578947368421052	0.8421052631578947	-0.080449896433405	0.4427330210790596	0.987656352863726	0.9810730743910469	0.0001004070695173	11816	4.810201456553378e-33	4093	21	7112	7112	-0.103752136	0.3809523809523809	0.6190476190476191	0.0101164024556945	0.4844634529830284	0.9884701912260968	0.967941507311586	1.3315070668615536e-20	13651	3.270364422068381e-31	1844	9	3559	3559	-0.050777685	0.3333333333333333	0.6666666666666666	-0.0407610105542497	0.4439434283286731	0.9848271986513064	0.96234897443102	1.549980418081541e-09	6930	3.897606952074347e-56	1241
RPS15A	down	True	-0.20353025	-0.046741117	12	1167	1167	-0.046741117	0.5	0.5	0.1069362541684877	0.4432743784552191	0.974293059125964	0.8577549271636675	3.4681154470012025e-26	2138	3.2452636431884447e-25	270	19	6076	6076	-0.18084534	0.1052631578947368	0.8947368421052632	-0.1286358628071617	0.4157333448255388	0.9736668861092824	0.9657669519420672	0.0063733085552009	11784	1.6628253600149134e-63	3802	21	7112	7112	-0.0983854	0.5238095238095238	0.4761904761904761	0.0020920093180554	0.4676249923290663	0.9760967379077616	0.9420697412823396	1.0172359835212936e-25	13640	2.2571332903212175e-35	2810	9	3559	3559	-0.20353025	0.1111111111111111	0.8888888888888888	-0.1806963111378219	0.4018554956187121	0.9505479067153696	0.9235740376510256	1.6404795956315e-06	6670	1.9039373951700906e-61	934
RPL13	down	True	-0.15781486	-0.045389354	12	1167	1167	-0.045389354	0.5833333333333334	0.4166666666666667	0.0584214092703581	0.4328377716539306	0.9914310197086548	0.9117395029991432	9.586267256130749e-22	2221	2.690576567136409e-16	815	19	6076	6076	-0.1191758	0.2105263157894736	0.7894736842105263	-0.0899619799624904	0.457087136018161	0.9874917709019092	0.9825543120473996	0.0120232481939413	11572	4.92981144311158e-40	1613	21	7112	7112	-0.09754244	0.4285714285714285	0.5714285714285714	-0.028978590409125	0.4695221644907575	0.9855174353205848	0.9617547806524184	4.6943595160485096e-21	13837	6.079570411062234e-21	7581	9	3559	3559	-0.15781486	0.2222222222222222	0.7777777777777778	-0.1534103936270843	0.4027543640573889	0.9789266647934812	0.9601011520089912	2.283299186634705e-06	6901	3.974140144858108e-67	1020
RPLP1	down	True	-0.1627661	-0.042061076	12	1167	1167	-0.061128404	0.3333333333333333	0.6666666666666666	0.0095437938965301	0.3991422942692099	0.9880034275921166	0.908311910882605	4.6980390815781343e-20	2213	6.899251780236784e-27	266	19	6076	6076	-0.16242884	0.1578947368421052	0.8421052631578947	-0.1400890245683559	0.4312815051480891	0.988973008558262	0.988643844634628	0.167560910071797	11705	9.833344448197744e-66	1950	21	7112	7112	-0.1627661	0.2857142857142857	0.7142857142857143	-0.0759219407819493	0.4516764786080592	0.9901574803149606	0.9711754780652418	2.897736883275811e-18	13940	1.719844310965357e-47	1253	9	3559	3559	-0.042061076	0.4444444444444444	0.5555555555555556	-0.0815746731286188	0.4535221739960767	0.9808935094127564	0.971621241921888	0.0062543006648822	6949	2.0423562680417786e-17	1607
RPL5	down	True	-0.18677452	-0.040712383	12	1167	1167	-0.040712383	0.4166666666666667	0.5833333333333334	0.0386148760793094	0.4549768740330526	0.9220222793487576	0.739502999143102	2.6930479610171518e-33	1939	1.7404006036266034e-29	271	19	6076	6076	-0.17626198	0.3157894736842105	0.6842105263157895	-0.1208450485461662	0.439109617545759	0.9203423304805792	0.9042132982225148	0.0008436363304871	11083	1.6960737542744122e-30	4607	21	7112	7112	-0.062333312	0.4761904761904761	0.5238095238095238	0.0285431107690983	0.4753196209198541	0.9462879640044994	0.8789370078740157	4.586949810847869e-47	12981	2.1941141685520685e-23	1121	9	3559	3559	-0.18677452	0.2222222222222222	0.7777777777777778	-0.1340472661484839	0.416680607660486	0.8982860354032032	0.8392806968249509	8.94679377324161e-14	6184	1.5959655344960975e-74	1635
TMSB4X	down	False	-0.20322327	-0.03784803	12	1167	1167	-0.03784803	0.5833333333333334	0.4166666666666667	-0.0218107707810104	0.4459236398854826	0.9922879177377892	0.934018851756641	2.4253925031237216e-15	2248	5.816118721550825e-11	531	19	6076	6076	-0.047768243	0.4210526315789473	0.5789473684210527	0.0768512238968313	0.5192096620338127	0.9967083607636604	0.9916063199473336	1.7145609152460552e-17	8950	5.3121049896649856e-05	178	21	7112	7112	-0.13424473	0.4285714285714285	0.5714285714285714	0.2097152533988024	0.5376363389844127	0.9564116985376828	0.9102924634420696	6.365688569198703e-29	13276	0.1874560524556258	5	9	3559	3559	-0.20322327	0.2222222222222222	0.7777777777777778	-0.1506478176958769	0.4459804976615052	0.9893228434953638	0.9792076425962348	0.00021393751339	7004	7.313823860904146e-27	504
RPS27A	down	True	-0.36129367	-0.036914676	12	1167	1167	-0.036914676	0.4166666666666667	0.5833333333333334	0.0709199556827431	0.4098869291109628	0.9734361610968296	0.8251928020565553	8.527479853715233e-36	2099	1.927751870675761e-43	406	19	6076	6076	-0.18898308	0.1052631578947368	0.8947368421052632	-0.1442989842010877	0.4019811215063442	0.977287689269256	0.9702106649111256	0.0066816446341394	11795	4.520193478568024e-102	2732	21	7112	7112	-0.09758858	0.3333333333333333	0.6666666666666666	-0.0086179109628456	0.4612834334087035	0.9798931383577052	0.9423509561304836	1.3537993223442625e-32	13664	3.4996326213826267e-50	2457	9	3559	3559	-0.36129367	0.2222222222222222	0.7777777777777778	-0.389708654953556	0.3365587095579269	0.9485810620960944	0.9317223939308794	0.0015781580640971	6692	1.1297252623904432e-197	1537
RPL3	down	True	-0.18237394	-0.036326554	12	1167	1167	-0.036326554	0.5	0.5	0.142720507402005	0.4478896591425586	0.9700085689802912	0.8097686375321337	2.1965912688045874e-38	2077	8.738438623984376e-36	327	19	6076	6076	-0.15416563	0.2105263157894736	0.7894736842105263	-0.1423819017872238	0.408833714685305	0.9590190915075708	0.946840026333114	0.0006861549517537	11574	2.3399748910980783e-79	3330	21	7112	7112	-0.110183194	0.3333333333333333	0.6666666666666666	-0.037134160743339	0.4650408564209985	0.9607705286839144	0.9124015748031497	3.630292243485164e-33	13322	4.5204682296766816e-30	5821	9	3559	3559	-0.18237394	0.1111111111111111	0.8888888888888888	-0.23171701202229	0.3853165295080772	0.9289126159033436	0.8999719022197247	7.4173916481188435e-06	6509	2.762924632190735e-100	1362
