cohort	unit_id	n_malignant	n_cldn4_pos	used	reason	n_high	n_low	cldn4_delta
GSE205335	P1006	1282	951	True	ok	320	320	2.418858778308222
GSE205335	P1017	2186	1406	True	ok	546	546	3.1988952649240825
GSE205335	P1018	1180	791	True	ok	295	295	2.837988295454967
GSE205335	P1027	1318	1029	True	ok	329	329	3.2395299094383034
GSE205335	P1037	3671	3159	True	ok	917	917	1.5119152008759758
GSE205335	P1062	188	85	True	ok	47	47	2.6901002706435753
GSE205335	P1063	131	46	True	ok	32	32	2.388652291523684
GSE205335	P1076	849	504	True	ok	212	212	2.0857060573226054
GSE205335	P1079	543	279	True	ok	135	135	2.5307515088438852
GSE205335	P1084	196	170	True	ok	49	49	2.9061853774977013
GSE205335	P1089	1063	933	True	ok	265	265	2.449450739675504
GSE205335	P1119	1222	441	True	ok	305	305	1.9689262604676872
GSE205335	P1016	5336	4410	True	ok	1334	1334	2.4724327575425686
GSE205335	P1115	3769	3350	True	ok	942	942	1.9400567020070025
GSE205335	P1015	291	121	True	ok	72	72	2.3381204267505895
GSE205335	P1025	980	910	True	ok	245	245	1.802075527593919
GSE205335	P1056	2386	1186	True	ok	596	596	2.2893301899818788
GSE205335	P1072	406	239	True	ok	101	101	2.338928092544685
GSE205335	P0031	319	189	True	ok	79	79	2.167635578545502
GSE205335	P1030	603	372	True	ok	150	150	3.2275781876269773
GSE205335	P1090	566	216	True	ok	141	141	2.4169347702971042
GSE205335	P4001	27	13	False	n_malignant<40	0	0	
