gene	logFC	t	se	p	df	stat_low_vs_high
TRAC	-2.52311132289615	-7.040992943431562	0.35834595250516804	9.59943349865546e-08	29	7.040992943431562
SAMSN1	-2.1773732806515307	-6.565377977483868	0.3316447717281302	3.420358300845564e-07	29	6.565377977483868
CD48	-2.2966725644279795	-6.060779586587814	0.3789401233977218	1.3483346127015443e-06	29	6.060779586587814
SRGN	-3.279710586798434	-5.906488721138987	0.5552724709454767	2.059242791690829e-06	29	5.906488721138987
CTSW	-2.1642191976830674	-5.876344645742054	0.3682934422934572	2.2372778987148423e-06	29	5.876344645742054
GYPC	-2.4323853845364236	-5.765145134873953	0.4219122550484766	3.039331287758642e-06	29	5.765145134873953
BCL2A1	-1.8913996733322613	-5.7286311168237205	0.3301660789045466	3.3615353775375007e-06	29	5.7286311168237205
TRBC1	-2.3639670543868085	-5.662264191030732	0.41749501164771385	4.0378796503940656e-06	29	5.662264191030732
CD37	-2.387811929700943	-5.659230661315842	0.421932250618982	4.07187856785519e-06	29	5.659230661315842
MIR155HG	-1.4323649196119796	-5.648741506719601	0.2535723962422558	4.191674129330634e-06	29	5.648741506719601
CD70	-1.7385101697900809	-5.647068303639404	0.30786065907324894	4.211109001421066e-06	29	5.647068303639404
SLA	-1.8100844776237883	-5.622440401358471	0.3219392911993239	4.507890142035258e-06	29	5.622440401358471
CCL5	-2.457420797242019	-5.611489318828735	0.43792666396003177	4.6465328041584836e-06	29	5.611489318828735
SERPINB9	-2.0734605148055127	-5.519944754816068	0.3756306642374364	5.986774421903849e-06	29	5.519944754816068
GZMA	-2.240513216431241	-5.4968663918830245	0.4075982672126989	6.3821006352293834e-06	29	5.4968663918830245
CD52	-2.782927069289658	-5.402609937440434	0.5151079018316305	8.288408799358083e-06	29	5.402609937440434
RGS1	-2.3770951934798514	-5.342988787964407	0.44489990299708015	9.779844690698454e-06	29	5.342988787964407
GMFG	-2.3823868833082957	-5.293311233198917	0.4500749678889641	1.1226345617550637e-05	29	5.293311233198917
ACAP1	-1.9879442028628398	-5.28598568983855	0.37607824150646874	1.1457091523373931e-05	29	5.28598568983855
GZMM	-2.018393084662947	-5.216239436912632	0.3869441019865426	1.3906687643761823e-05	29	5.216239436912632
GIMAP4	-2.0061329204544656	-5.183145598063643	0.3870493086676807	1.5246262617804298e-05	29	5.183145598063643
