dropped	tf	n	n_q1	n_q4	coef	se	p
GSE123902	STAT1	27	14	13	-2.2284143360542066	1.236649745523997	0.08526954409125408
GSE123902	IRF1	27	14	13	-1.4266348710617334	0.6941163968584098	0.05190898209254115
GSE123902	IRF9	27	14	13	-0.6367961700178958	0.5229057246032985	0.2361995596023434
GSE123902	RFX5	27	14	13	-1.6441538848433965	1.3042528459433094	0.22065592336089213
GSE123902	GRHL2	27	14	13	0.06111580896532154	0.9181350974341992	0.9475291146363131
GSE123902	ELF3	27	14	13	0.2577453161283205	0.6669367632107538	0.7028674908601342
GSE123902	KLF4	27	14	13	-0.22603948788253903	0.4179375842707806	0.5940487937511433
GSE131907	STAT1	23	12	11	-3.1107688472089654	0.8801316178347954	0.0023684593498080773
GSE131907	IRF1	23	12	11	-2.006052406543408	0.5720968834867234	0.002520142118956772
GSE131907	IRF9	23	12	11	-0.9852353367844071	0.3718874705233536	0.01631356465124893
GSE131907	RFX5	23	12	11	-1.6700904463823747	0.9298190292598716	0.08927575814966997
GSE131907	GRHL2	23	12	11	-0.03193353011718669	0.6813465157343938	0.9631343090911575
GSE131907	ELF3	23	12	11	0.13039495316999605	0.5748445057048422	0.8231081042454603
GSE131907	KLF4	23	12	11	-0.004685250104090155	0.28326474574238875	0.9869854056758267
GSE205335	STAT1	23	13	10	-0.9480789424584868	0.7779894595332909	0.23871713711202802
GSE205335	IRF1	23	13	10	-0.5857639426774633	0.541525183147049	0.29366834878761466
GSE205335	IRF9	23	13	10	0.06155952931075165	0.3721064613563194	0.8704452747967217
GSE205335	RFX5	23	13	10	-0.4694781673155368	0.7534409820075233	0.5410263346167415
GSE205335	GRHL2	23	13	10	1.4130399190415641	0.715722999097598	0.06389653966820201
GSE205335	ELF3	23	13	10	1.1057166781865064	0.48038132393403526	0.033509382383907764
GSE205335	KLF4	23	13	10	-0.03535883382868987	0.3880321681710749	0.9284009055905492
GSE189357	STAT1	29	15	14	-2.2525866788681816	0.8467063167662651	0.013691610588839182
GSE189357	IRF1	29	15	14	-1.582760547950533	0.5618757353963092	0.00954608847676493
GSE189357	IRF9	29	15	14	-0.5806798391273119	0.3917447929979865	0.151275402016731
GSE189357	RFX5	29	15	14	-1.6987884861627378	0.8692851597801999	0.06242100754181806
GSE189357	GRHL2	29	15	14	0.5163425493452869	0.7263186438041085	0.4839961463122321
GSE189357	ELF3	29	15	14	0.4053958459065976	0.5413377472452655	0.46120793878349936
GSE189357	KLF4	29	15	14	-0.10134296090904345	0.34109761133767835	0.7689400933492737
