kind	score	cohort	n	rho	p	k	I2	ci95_lo	ci95_hi	member_rhos	n_q1	n_q4	r_rb	median_q1	median_q4	delta_median
single	tj_score	GSE123902	13	-0.32967032967032966	0.27133505450523593											
single	tj_score	GSE131907	21	-0.20779220779220778	0.36608155438398177											
single	tj_score	GSE205335	21	0.5831168831168831	0.005529078966453104											
single	tj_score	GSE189357	9	0.43333333333333335	0.24395243588005172											
meta_dl	tj_score	GSE123902+GSE131907+GSE205335+GSE189357	64	0.13659205274036734	0.6048341834046363	4.0	70.51342184537923	-0.3654622795453007	0.5770830017687937	GSE123902:-0.330,GSE131907:-0.208,GSE205335:0.583,GSE189357:0.433						
stacked_q4q1	tj_score	GSE123902+GSE131907+GSE205335+GSE189357	34		0.5789286004329155						19.0	15.0	0.11578947368421044	0.3579439252336449	0.3889374090247453	0.030993483791100396
single	tj_score_no_cldn4	GSE123902	13	-0.3681318681318681	0.21585718064938147											
single	tj_score_no_cldn4	GSE131907	21	-0.17922077922077922	0.4369652748985062											
single	tj_score_no_cldn4	GSE205335	21	0.5831168831168831	0.005529078966453104											
single	tj_score_no_cldn4	GSE189357	9	0.4666666666666666	0.2053863511058121											
meta_dl	tj_score_no_cldn4	GSE123902+GSE131907+GSE205335+GSE189357	64	0.14259759408181968	0.5933171635418273	4.0	71.21933623226239	-0.3656327485507442	0.585324945331237	GSE123902:-0.368,GSE131907:-0.179,GSE205335:0.583,GSE189357:0.467						
stacked_q4q1	tj_score_no_cldn4	GSE123902+GSE131907+GSE205335+GSE189357	34		0.2670417925498						19.0	15.0	0.22807017543859653	0.323943661971831	0.3889374090247453	0.06499374705291427
single	tj_core	GSE123902	13	-0.2747252747252747	0.3636749816401782											
single	tj_core	GSE131907	21	-0.587012987012987	0.005149313814572183											
single	tj_core	GSE205335	21	0.23376623376623373	0.3077875466640504											
single	tj_core	GSE189357	9	0.0	1.0											
meta_dl	tj_core	GSE123902+GSE131907+GSE205335+GSE189357	64	-0.19064726749030786	0.4061999489174193	4.0	61.49221727310271	-0.5706320382808623	0.25657822495124716	GSE123902:-0.275,GSE131907:-0.587,GSE205335:0.234,GSE189357:0.000						
stacked_q4q1	tj_core	GSE123902+GSE131907+GSE205335+GSE189357	34		0.15500873195985132						19.0	15.0	-0.2912280701754386	0.3889374090247453	0.2472543105901098	-0.14168309843463547
single	tacstd2	GSE123902	13	0.03296703296703297	0.9148564744875124											
single	tacstd2	GSE131907	21	0.2571428571428571	0.2604731897004084											
single	tacstd2	GSE205335	21	0.20519480519480518	0.37223736385432643											
single	tacstd2	GSE189357	9	-0.11666666666666665	0.765007942926146											
meta_dl	tacstd2	GSE123902+GSE131907+GSE205335+GSE189357	64	0.1546739089658554	0.26084590482107894	4.0	0.0	-0.11536181522802956	0.4034212309399959	GSE123902:0.033,GSE131907:0.257,GSE205335:0.205,GSE189357:-0.117						
stacked_q4q1	tacstd2	GSE123902+GSE131907+GSE205335+GSE189357	34		0.31448890285666153						19.0	15.0	0.2070175438596491	0.2602682313495389	0.265334117185969	0.005065885836430084
single	cldn4_pct	GSE123902	13	-0.6593406593406593	0.0142255785114567											
single	cldn4_pct	GSE131907	21	-0.5194805194805194	0.01580147573114009											
single	cldn4_pct	GSE205335	21	-0.4051948051948052	0.0684236454174195											
single	cldn4_pct	GSE189357	9	-0.6	0.08762282904140249											
meta_dl	cldn4_pct	GSE123902+GSE131907+GSE205335+GSE189357	64	-0.5228600495638758	2.859572051598e-05	4.0	0.0	-0.6921498091641723	-0.2990397427789692	GSE123902:-0.659,GSE131907:-0.519,GSE205335:-0.405,GSE189357:-0.600						
stacked_q4q1	cldn4_pct	GSE123902+GSE131907+GSE205335+GSE189357	34		0.0008693888819889483						19.0	15.0	-0.6771929824561403	0.4223951578037181	0.125	-0.2973951578037181
