predictor	endpoint	family	n	rho	p	ci95_lo	ci95_hi	purity	n_partial	partial_rho	partial_p	partial_ci95_lo	partial_ci95_hi
CLDN4 protein	ESTIMATE ImmuneScore	primary	78	-0.43185927996054574	7.882580232023335e-05	-0.5948563766865907	-0.23280013024112983	WES_purity	77.0	-0.29835953520164044	0.008399058347591476	-0.5026802507686761	-0.06409343755291813
CLDN4 protein	ESTIMATE ImmuneScore	wgs_sensitivity	78	-0.43185927996054574	7.882580232023335e-05	-0.5948563766865907	-0.23280013024112983	WGS_purity	75.0	-0.17524893314366996	0.13261381360812485	-0.39747379153436163	0.05374810508592852
CLDN4 protein	ESTIMATE ESTIMATEScore	primary	78	-0.4528762376863642	3.137794311457353e-05	-0.6076847239617176	-0.25472555297140287	WES_purity	77.0	-0.3824596456175403	0.0005976674179738159	-0.5707505728670272	-0.15494250633600457
CLDN4 protein	ESTIMATE ESTIMATEScore	wgs_sensitivity	78	-0.4528762376863642	3.137794311457353e-05	-0.6076847239617176	-0.25472555297140287	WGS_purity	75.0	-0.21066856330014225	0.06964398929447484	-0.42844069806881097	0.02767793426879111
CLDN4 protein	GEP18 RNA	primary	78	-0.4613740689690056	2.1245850640831066e-05	-0.6288214495198744	-0.2551302338534617	WES_purity	77.0	-0.3618223881381776	0.0012235023708431082	-0.5544796832007236	-0.1313080222466381
CLDN4 protein	GEP18 RNA	wgs_sensitivity	78	-0.4613740689690056	2.1245850640831066e-05	-0.6288214495198744	-0.2551302338534617	WGS_purity	75.0	-0.24725462304409673	0.032464051730739754	-0.45501734555346396	-0.03580745489107708
CLDN4 protein	CD8A RNA	primary	78	-0.436844401457925	6.370007917678847e-05	-0.6191492912615851	-0.227617609603542	WES_purity	77.0	-0.32559545717440447	0.003858077820893019	-0.5291333829008635	-0.10116548614813714
CLDN4 protein	CD8A RNA	wgs_sensitivity	78	-0.436844401457925	6.370007917678847e-05	-0.6191492912615851	-0.227617609603542	WGS_purity	75.0	-0.22264580369843526	0.054863200967325595	-0.4380144300893266	0.00926953897832227
CLDN4 protein	ESTIMATE StromalScore	extra	78	-0.41137343668989235	0.00018286512705420498	-0.5725216613469796	-0.20222213076076934	WES_purity	77.0	-0.3032756716967243	0.007336601361873815	-0.5175488689204549	-0.053644150906352564
CLDN4 protein	CD8 RNA (CD8A/B)	extra	78	-0.3810746215809507	0.0005772675208586738	-0.5753900054775651	-0.15772872299179735	WES_purity	77.0	-0.27067669172932324	0.01726762368223235	-0.48137681760402845	-0.041149123487419476
CLDN4 protein	CYT RNA (GZMA/PRF1)	extra	78	-0.36670924012696166	0.0009591529290889163	-0.5634398562665193	-0.137882452633693	WES_purity	77.0	-0.2535885167464115	0.02605807664654358	-0.4640878779855311	-0.013065716584846806
CLDN4 protein	CIBERSORT CD8	extra	78	-0.2347905259297664	0.0385315095625223	-0.4421533389214735	0.014988058523842608	WES_purity	77.0	-0.2124191597875808	0.06363762881692397	-0.42613272010211867	0.02955147875326402
CLDN4 protein	xCell CD8	extra	78	-0.38694856874235994	0.0004658835719110316	-0.5862559862526325	-0.15959730470533226	WES_purity	77.0	-0.30074071153648874	0.007868696129853582	-0.5252391046128305	-0.05329515717798065
CLDN4 protein	xCell immune score	extra	78	-0.3995877540181338	0.0002897362838075348	-0.5647515232498935	-0.19898517708163269	WES_purity	77.0	-0.21770334928229662	0.05717462035960568	-0.4222224588045985	0.02000588968493869
TJ-15 protein	ESTIMATE ImmuneScore	primary	108	-0.08196861870873702	0.3990321244854739	-0.26923336748884413	0.11539873668227507	WES_purity	107.0	-0.062128960206900605	0.5249504007987745	-0.2628897032871634	0.14598934802607577
TJ-15 protein	ESTIMATE ImmuneScore	wgs_sensitivity	108	-0.08196861870873702	0.3990321244854739	-0.26923336748884413	0.11539873668227507	WGS_purity	104.0	-0.07857676304278247	0.4278530844651485	-0.2814546092725876	0.12962393098046882
TJ-15 protein	ESTIMATE ESTIMATEScore	primary	108	-0.13656673049625118	0.15873438748457092	-0.31406895858330797	0.05745360083682307	WES_purity	107.0	-0.19071690276063405	0.04910023404254665	-0.37759859645502114	0.008481790475363286
TJ-15 protein	ESTIMATE ESTIMATEScore	wgs_sensitivity	108	-0.13656673049625118	0.15873438748457092	-0.31406895858330797	0.05745360083682307	WGS_purity	104.0	-0.2238344180091753	0.022362927485045137	-0.4253939018566278	-0.01392648007353802
