n	rho	p	ci95_low	ci95_high	pearson_r	pearson_p	matrix	cohort	family	gene	n_genes_in_signature	signature_genes	q_bh
1178	-0.09572730918554864	0.0010032200337211502	-0.15259365964769436	-0.03593800309113423	-0.13913732051813305	1.6370311985698643e-06	CRISPRGeneEffect	all_CRISPR	named	LIG4			0.003009660101163451
1178	0.06831296134946697	0.019032783589354396	0.009008925891140164	0.12656732101283266	0.043590512222272004	0.13485281957953726	CRISPRGeneEffect	all_CRISPR	named	STING1			0.028549175384031594
1178	-0.020506585486679385	0.4819598773145726	-0.07948611685488426	0.03894953270271694	-0.0423866432125927	0.14597305775068864	CRISPRGeneEffect	all_CRISPR	named	CGAS			0.4819598773145726
1178	-0.09572730918554864	0.0010032200337211502	-0.15259365964769436	-0.03593800309113423	-0.13913732051813305	1.6370311985698643e-06	CRISPRGeneEffect	all_CRISPR	NHEJ	LIG4			0.003511270118024026
1178	0.001730121923367743	0.9526986208821273	-0.05693114690283685	0.06185760757142576	-0.04664254348423801	0.10959039850605791	CRISPRGeneEffect	all_CRISPR	NHEJ	XRCC4			0.9526986208821272
1178	-0.015725754102256174	0.5897490417995522	-0.07468809610033113	0.041576449743655645	-0.029081107631892682	0.3186319267696695	CRISPRGeneEffect	all_CRISPR	NHEJ	XRCC5			0.6880405487661442
1178	0.02596734738375019	0.37322141788969776	-0.03067352274577929	0.08438074036003734	0.006416708234000943	0.8258690168455479	CRISPRGeneEffect	all_CRISPR	NHEJ	XRCC6			0.5225099850455768
1178	-0.04769496028182272	0.10180193326942978	-0.10673542976927203	0.01192132290321309	-0.04615477445591734	0.113356200893253	CRISPRGeneEffect	all_CRISPR	NHEJ	NHEJ1			0.17815338322150212
1178	-0.1084125796152049	0.0001930212001838507	-0.16629507886092493	-0.049879155084659274	-0.0967532821539847	0.0008840437704650915	CRISPRGeneEffect	all_CRISPR	NHEJ	DCLRE1C			0.001351148401286955
1178	0.07244867981969536	0.01287482749655004	0.01284463403359891	0.13272280176587564	0.0800967168118238	0.00594895861063346	CRISPRGeneEffect	all_CRISPR	NHEJ	PAXX			0.03004126415861676
1178	-0.020506585486679385	0.4819598773145726	-0.07948611685488426	0.03894953270271694	-0.0423866432125927	0.14597305775068864	CRISPRGeneEffect	all_CRISPR	STING	CGAS			0.6391554744392618
1178	0.06831296134946697	0.019032783589354396	0.009008925891140164	0.12656732101283266	0.043590512222272004	0.13485281957953726	CRISPRGeneEffect	all_CRISPR	STING	STING1			0.03806556717870879
1178	-0.1036993279928217	0.0003638488463191106	-0.16162941319865964	-0.04288901146813843	-0.13609763845875253	2.7587020405672047e-06	CRISPRGeneEffect	all_CRISPR	STING	TBK1			0.0014553953852764424
1178	0.013675083441204203	0.6391554744392618	-0.04754723069122	0.07383666612369393	-0.004385544205293231	0.8804793412068456	CRISPRGeneEffect	all_CRISPR	STING	IRF3			0.6391554744392618
1178	-0.05708124307077578	0.05015263222943885	-0.11349458740791081	0.0008830024105392251	-0.08450750596424457	0.0037010123247921763	CRISPRGeneEffect	all_CRISPR	signature	sig_NHEJ	7.0	LIG4,XRCC4,XRCC5,XRCC6,NHEJ1,DCLRE1C,PAXX	0.1003052644588777
1178	-0.040731836996571555	0.1623853290922042	-0.09809705146385517	0.016803156453050378	-0.061266168720485625	0.035507695827343325	CRISPRGeneEffect	all_CRISPR	signature	sig_STING	4.0	CGAS,STING1,TBK1,IRF3	0.1623853290922042
126	-0.07699137607799025	0.3915079860439206	-0.261548449763104	0.1272437750338489	-0.12523546658651458	0.16233479782488078	CRISPRGeneEffect	lung	named	LIG4			0.4055732457137902
126	0.07954105736782903	0.3759669774830883	-0.10551699345548558	0.26463782237666617	0.05091475704243714	0.5712657872089122	CRISPRGeneEffect	lung	named	STING1			0.4055732457137902
126	-0.07473565804274465	0.4055732457137902	-0.2715431561563217	0.12198013701100606	-0.04662392630079188	0.6041663093287026	CRISPRGeneEffect	lung	named	CGAS			0.4055732457137902
