n	rho	p	ci95_low	ci95_high	pearson_r	pearson_p	cohort	family	gene	n_genes_in_signature	signature_genes	q_bh
214	-0.21842968517545297	0.0013019306101351813	-0.3516145832400192	-0.08378269997052216	-0.16174902908584915	0.017887446915196892	lung	NHEJ	PRKDC			0.0026038612202703626
214	-0.10520911967950437	0.12495000423948396	-0.23368061729121825	0.028498619540799384	-0.06578063143007756	0.3382194114266567	lung	NHEJ	LIG4			0.1666000056526453
214	-0.0018149831465919556	0.9789419389345451	-0.1297659468243945	0.13113618332221783	-0.050609536590942486	0.46143275923929095	lung	NHEJ	XRCC4			0.9789419389345451
214	-0.2889007186748135	1.7595253640095912e-05	-0.4029709264429075	-0.16894974764673182	-0.20054799747155277	0.0032131342119150505	lung	NHEJ	XRCC5			0.0001407620291207673
214	-0.13436952430400337	0.049639726664157134	-0.2584044289209001	-0.004645488239791126	-0.10538049315822531	0.12433321210722946	lung	NHEJ	XRCC6			0.07942356266265141
214	-0.2617905865117032	0.00010660973531028921	-0.38200305593596035	-0.13773585834405963	-0.2584190873574701	0.00013165021088247598	lung	NHEJ	NHEJ1			0.00042643894124115686
214	0.010957308924024613	0.8733871539150883	-0.12412742509981024	0.14481743539978187	0.0183147848759567	0.7899501382351454	lung	NHEJ	DCLRE1C			0.9789419389345451
214	0.23011620880483274	0.0006932537306921066	0.10144898704163866	0.3499523092345508	0.2313839831785996	0.0006461964980655226	lung	NHEJ	PAXX			0.0018486766151789508
214	0.05041972048570561	0.46311705750654075	-0.07772356383074953	0.18578905434700163	0.02716897723539525	0.692700431874372	lung	STING	CGAS			0.46311705750654075
214	0.3088450838415105	4.132165461615764e-06	0.17827612470832072	0.43283297904295	0.2960782678150459	1.0575772951549184e-05	lung	STING	STING1			1.6528661846463057e-05
214	-0.1009819689706154	0.1409255622602989	-0.22461394019506564	0.026003598853131596	-0.030775142260590267	0.6543907936805479	lung	STING	TBK1			0.18790074968039852
214	0.2511760321180022	0.00020517108768248275	0.11767615109936845	0.37836641562706824	0.1761762356494028	0.009812377094430691	lung	STING	IRF3			0.0004103421753649655
214	-0.19292204874146024	0.004620963623269548	-0.3151128940073367	-0.06661081118770576	-0.14403971905493518	0.03522418210869698	lung	signature	sig_NHEJ	8.0	PRKDC,LIG4,XRCC4,XRCC5,XRCC6,NHEJ1,DCLRE1C,PAXX	0.004620963623269548
214	0.239720844348545	0.0004031656164091149	0.11223287871143668	0.362112223977197	0.1995691251191183	0.0033689880928355585	lung	signature	sig_STING	4.0	CGAS,STING1,TBK1,IRF3	0.0008063312328182298
143	-0.2473801819257767	0.0028946082885704483	-0.4020170142316909	-0.07465393437359753	-0.22418726655973975	0.00710863558099984	NSCLC	NHEJ	PRKDC			0.007718955436187862
143	-0.06281452662959351	0.4560925978461277	-0.2323764845203741	0.10881956248995608	-0.04904720376742478	0.5607540348193703	NSCLC	NHEJ	LIG4			0.4560925978461277
143	-0.06424146542167786	0.4459038325393815	-0.2225572609620626	0.10372843770427816	-0.05928635241723627	0.48183242549120797	NSCLC	NHEJ	XRCC4			0.4560925978461277
143	-0.2660859662353852	0.0013176411194040151	-0.4034477590882307	-0.11492309017551627	-0.21909817174658305	0.008562081850927416	NSCLC	NHEJ	XRCC5			0.005270564477616061
143	-0.10626396603646511	0.20653194699615102	-0.2632483916292229	0.05388969905692589	-0.09003881228989356	0.2848752357877839	NSCLC	NHEJ	XRCC6			0.3304511151938416
143	-0.33475191858122416	4.3801955642147185e-05	-0.46234757778610547	-0.19109257316818415	-0.30974204493394447	0.0001668967880398197	NSCLC	NHEJ	NHEJ1			0.0003504156451371775
143	0.07155850538920706	0.39571747181901873	-0.09736666112447377	0.23496493281598757	0.01971726044802131	0.8151887908976294	NSCLC	NHEJ	DCLRE1C			0.4560925978461277
143	0.20386689032877758	0.014597966090584346	0.041686737524391594	0.35925946149209653	0.23075928501055845	0.005557870511343366	NSCLC	NHEJ	PAXX			0.029195932181168692
143	-0.12299086669625879	0.14335506273310003	-0.28617197306339404	0.046056946111334145	-0.11231878058171901	0.18168679830710388	NSCLC	STING	CGAS			0.14335506273310003
