ScreenID	ModelID	Library	CellLineName	OncotreeLineage	OncotreePrimaryDisease	OncotreeSubtype	ModelType	CLDN4	PRKDC	LIG4	STING1	CGAS
SC-000025.CD01	ACH-000025	Humagne-CD	CH-157MN	CNS/Brain	Meningothelial Tumor	Meningioma	Cell Line	0.3467835769403669	-1.6990732716533623	-0.4645934254768287	0.1254513706899509	-0.2764803841002492
SC-002709.CD01	ACH-002709	Humagne-CD	CMS	Myeloid	Acute Myeloid Leukemia	Acute Megakaryoblastic Leukemia	Cell Line	0.2097893840904899	-0.819979230672347	-0.7523734440464993	0.2672066346867375	-0.2216611595702288
SC-000233.CD01	ACH-000233	Humagne-CD	DEL	Lymphoid	Mature T and NK Neoplasms	Anaplastic Large-Cell Lymphoma ALK Positive	Cell Line	0.3693114166155545	-1.2625098301423272	-0.6646660485373734	-0.0001253589652574	-0.2080510168918448
SC-000749.CD01	ACH-000749	Humagne-CD	DMS 273	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	Cell Line	0.4180916261804132	-0.2100580112216884	-0.2957270784779061	-0.0260601682941609	-0.1420541297639556
SC-001502.CD01	ACH-001502	Humagne-CD	GCT-27	Testis	Non-Seminomatous Germ Cell Tumor	Teratoma	Cell Line	0.5113564584757946	-1.2604349994138278	-0.9221555137988864	-0.0647526715045856	-0.4235011170466675
SC-001509.CD01	ACH-001509	Humagne-CD	H357	Head and Neck	Head and Neck Squamous Cell Carcinoma	Oral Cavity Squamous Cell Carcinoma	Cell Line	0.051744245874593	-0.5206801751514367	-0.3979366552540971	0.0518543160981717	-0.2711827198833176
SC-000067.CD02	ACH-000067	Humagne-CD	Hs 683	CNS/Brain	Diffuse Glioma	Oligodendroglioma	Cell Line	0.2530980467343171	-0.7518606040096021	-0.2776904266807506	0.0435205839807376	-0.1405169981748072
SC-002662.CD01	ACH-002662	Humagne-CD	JVE-207	Bowel	Colorectal Adenocarcinoma	Colon Adenocarcinoma	Cell Line	0.4115913876440659	-0.7368507175092386	-0.7359789399856431	-0.165125275307423	-0.0882475476801443
SC-000404.CD01	ACH-000404	Humagne-CD	K029AX	Skin	Melanoma	Cutaneous Melanoma	Cell Line	0.4910780918273293	-0.9980302878180348	-0.7503880276541707	0.1516121502774205	0.0167165249737517
SC-000053.CD01	ACH-000053	Humagne-CD	KARPAS-299	Lymphoid	Mature T and NK Neoplasms	Anaplastic Large-Cell Lymphoma ALK Positive	Cell Line	0.1939557138151548	-0.7789127285691371	-0.2497171413724268	0.0970494066064698	-0.2254788162731266
SC-000446.CD01	ACH-000446	Humagne-CD	KP-N-SI9s	Peripheral Nervous System	Neuroblastoma	Neuroblastoma	Cell Line	0.4771209932930118	-1.5985694238916826	-1.6857160578591286	0.2524567839974853	-0.2872843495173702
SC-000074.CD01	ACH-000074	Humagne-CD	KU812	Myeloid	Myeloproliferative Neoplasms	Chronic Myeloid Leukemia, BCR-ABL1+	Cell Line	0.2842889728139727	-0.4662105020545154	-0.265094846672591	0.3887801078570232	-0.0023293517010836
SC-000183.CD01	ACH-000183	Humagne-CD	L-363	Lymphoid	Mature B-Cell Neoplasms	Plasma Cell Myeloma	Cell Line	0.3985931201126787	-1.0000159341359798	-0.512025706530673	0.2350829148346317	-0.2391979295262604
SC-000583.CD01	ACH-000583	Humagne-CD	MC116	Lymphoid	Non-Hodgkin Lymphoma	Mature B-Cell Neoplasms	Cell Line	0.2840893385873264	-0.9008486939818796	-0.253234548633346	0.1023674239916894	-0.1153280381042059
SC-002928.CD01	ACH-002928	Humagne-CD	MM100511	Skin	Melanoma	Acral Melanoma	Cell Line	0.3621768873276014	-0.7315186775773868	-0.3811500325966356	0.0888256378875525	0.0066436315424782
SC-001975.CD01	ACH-001975	Humagne-CD	MM576	Skin	Melanoma	Melanoma	Cell Line	0.3237398923444444	-0.651273255753978	-0.0289232424592545	0.133498137822101	-0.1602557431948514
SC-000804.CD01	ACH-000804	Humagne-CD	NB-1	Peripheral Nervous System	Neuroblastoma	Neuroblastoma	Cell Line	0.3220589942737774	-1.1599501510197	-1.1347770473117562	-0.0001890228159003	-0.1057324621956248
SC-001578.CD01	ACH-001578	Humagne-CD	NCCIT	Testis	Non-Seminomatous Germ Cell Tumor	Embryonal Carcinoma	Cell Line	0.6237656103916881	-0.8493345449533369	-0.655234774537841	-0.0973744140058616	-0.1779395696065218
SC-002490.CD01	ACH-002490	Humagne-CD	NCI-H1882	Lung	Lung Neuroendocrine Tumor	Small Cell Lung Cancer	Cell Line	0.4691967667772093	-1.112431852751409	-0.3780853331653181	-0.0355352635427915	-0.1449361464870386
