n	rho	p	cut	family	predictor	target	ci95_low	ci95_high	q
214	-0.21842968517545297	0.0013019306101351813	lung	CLDN4_vs_gene	CLDN4_RNA	PRKDC	-0.3467486706986131	-0.08213557127368819	0.004556757135473134
214	-0.0018149831465919556	0.9789419389345451	lung	CLDN4_vs_gene	CLDN4_RNA	XRCC4	-0.13077338629407398	0.12947225180664507	0.9789419389345451
214	-0.10520911967950437	0.12495000423948396	lung	CLDN4_vs_gene	CLDN4_RNA	LIG4	-0.23608860769137488	0.02552634854523114	0.21866250741909693
214	-0.15946607908119237	0.019591491951482434	lung	CLDN4_vs_gene	CLDN4_RNA	TP53BP1	-0.28648656473825435	-0.02497615785435864	0.045713481220125675
214	0.3088450838415105	4.132165461615764e-06	lung	CLDN4_vs_gene	CLDN4_RNA	STING1	0.17589943147185524	0.43283127510307234	2.892515823131035e-05
214	0.05041972048570561	0.46311705750654075	lung	CLDN4_vs_gene	CLDN4_RNA	CGAS	-0.08100247089370685	0.18362433313140608	0.648363880509157
214	-0.00789052206750438	0.9086400141637971	lung	CLDN4_vs_gene	CLDN4_RNA	STAT1	-0.1419833574615132	0.1318333982492092	0.9789419389345451
214	-0.257196541594828	0.0001420174929411949	lung	CLDN4_vs_score	CLDN4_RNA	sig_NHEJ	-0.37860064581572417	-0.13295061682436085	0.0004260524788235847
214	0.17038927262556197	0.012550963803183277	lung	CLDN4_vs_score	CLDN4_RNA	sig_STING	0.03870756230289702	0.29552756146653564	0.012550963803183277
214	0.23873146911206822	0.0004267512682192417	lung	CLDN4_vs_score	CLDN4_RNA	sig_SENSOR	0.11478817735729366	0.3588513113866698	0.0006401269023288625
214	-0.010092723259793492	0.8833034467464391	lung	score_vs_score	sig_NHEJ	sig_STING	-0.14786649368996532	0.1298654238153448	0.8833034467464391
214	-0.08128973799327151	0.23634881199950994	lung	score_vs_score	sig_NHEJ	sig_SENSOR	-0.2223906820450026	0.06307137321774084	0.4726976239990199
143	-0.2473801819257767	0.0028946082885704483	NSCLC	CLDN4_vs_gene	CLDN4_RNA	PRKDC	-0.40758168679657664	-0.07668314560290712	0.010131129009996569
143	-0.06424146542167786	0.4459038325393815	NSCLC	CLDN4_vs_gene	CLDN4_RNA	XRCC4	-0.2257520997013412	0.10267203593229327	0.4560925978461277
143	-0.06281452662959351	0.4560925978461277	NSCLC	CLDN4_vs_gene	CLDN4_RNA	LIG4	-0.22582218781198832	0.10828896534564922	0.4560925978461277
143	-0.13055321576355283	0.12014940265577337	NSCLC	CLDN4_vs_gene	CLDN4_RNA	TP53BP1	-0.2796260149898914	0.03623581989687315	0.2508713597829251
143	0.29973581208303574	0.00027599773839704646	NSCLC	CLDN4_vs_gene	CLDN4_RNA	STING1	0.13839401001136672	0.44395454405811835	0.0019319841687793252
143	-0.12299086669625879	0.14335506273310003	NSCLC	CLDN4_vs_gene	CLDN4_RNA	CGAS	-0.2868043325230622	0.04818285547999699	0.2508713597829251
143	-0.06557605790592205	0.4364916498477115	NSCLC	CLDN4_vs_gene	CLDN4_RNA	STAT1	-0.22966028059173826	0.09333193360884275	0.4560925978461277
143	-0.27493572288979645	0.0008899792552036912	NSCLC	CLDN4_vs_score	CLDN4_RNA	sig_NHEJ	-0.4181424062420799	-0.121299161981569	0.0026699377656110735
143	0.07708944213845091	0.3601246440243399	NSCLC	CLDN4_vs_score	CLDN4_RNA	sig_STING	-0.08667840545091925	0.229883260014902	0.3601246440243399
143	0.12535524261173056	0.13576072483923837	NSCLC	CLDN4_vs_score	CLDN4_RNA	sig_SENSOR	-0.03594132670660543	0.27647264011473577	0.20364108725885754
143	0.19177008437571816	0.021764767468706724	NSCLC	score_vs_score	sig_NHEJ	sig_STING	0.027276267780070845	0.35101479425901466	0.04352953493741345
143	0.09827555074033946	0.24291995741356337	NSCLC	score_vs_score	sig_NHEJ	sig_SENSOR	-0.07082610526644753	0.26345911008326045	0.24291995741356337
80	-0.03959212376933896	0.7273249681219893	LUAD	CLDN4_vs_gene	CLDN4_RNA	PRKDC			0.848545796142321
80	0.0024613509302080947	0.9827123626411944	LUAD	CLDN4_vs_gene	CLDN4_RNA	XRCC4			0.9827123626411944
80	-0.17801531909664714	0.11415155179308256	LUAD	CLDN4_vs_gene	CLDN4_RNA	LIG4			0.3419640279386094
80	-0.042827506185620846	0.7060211179825734	LUAD	CLDN4_vs_gene	CLDN4_RNA	TP53BP1			0.848545796142321
80	0.37222222222222223	0.0006741025632393293	LUAD	CLDN4_vs_gene	CLDN4_RNA	STING1			0.004718717942675305
80	-0.16379608413363853	0.14655601197368975	LUAD	CLDN4_vs_gene	CLDN4_RNA	CGAS			0.3419640279386094
80	-0.07918424753867792	0.4850545275636263	LUAD	CLDN4_vs_gene	CLDN4_RNA	STAT1			0.848545796142321
80	-0.1559774964838256	0.16708817609477722	LUAD	CLDN4_vs_score	CLDN4_RNA	sig_NHEJ			0.3222400409183453
80	0.09568682606657292	0.398491236128915	LUAD	CLDN4_vs_score	CLDN4_RNA	sig_STING			0.398491236128915
80	0.14020159399906237	0.21482669394556353	LUAD	CLDN4_vs_score	CLDN4_RNA	sig_SENSOR			0.3222400409183453
80	0.2619315518049695	0.01892262585384598	LUAD	score_vs_score	sig_NHEJ	sig_STING			0.03784525170769196
80	0.16521331458040317	0.1430462418388732	LUAD	score_vs_score	sig_NHEJ	sig_SENSOR			0.1430462418388732
27	-0.37362637362637363	0.054891451551599885	LUSC	CLDN4_vs_gene	CLDN4_RNA	PRKDC			0.27518600791218045
27	-0.08485958485958486	0.673872639876004	LUSC	CLDN4_vs_gene	CLDN4_RNA	XRCC4			0.7861847465220047
27	-0.21794871794871792	0.2747884952659345	LUSC	CLDN4_vs_gene	CLDN4_RNA	LIG4			0.6411731556205139
27	-0.34432234432234426	0.07862457368919441	LUSC	CLDN4_vs_gene	CLDN4_RNA	TP53BP1			0.27518600791218045
27	0.16727716727716724	0.40429895070397465	LUSC	CLDN4_vs_gene	CLDN4_RNA	STING1			0.6800008276937015
27	-0.14013127930016964	0.4857148769240725	LUSC	CLDN4_vs_gene	CLDN4_RNA	CGAS			0.6800008276937015
27	0.040903540903540904	0.8394724559633963	LUSC	CLDN4_vs_gene	CLDN4_RNA	STAT1			0.8394724559633963
27	-0.5659340659340658	0.0020919767487976044	LUSC	CLDN4_vs_score	CLDN4_RNA	sig_NHEJ			0.006275930246392813
27	0.04212454212454213	0.8347445487300414	LUSC	CLDN4_vs_score	CLDN4_RNA	sig_STING			0.8347445487300414
27	0.06105006105006105	0.7622732628344434	LUSC	CLDN4_vs_score	CLDN4_RNA	sig_SENSOR			0.8347445487300414
27	0.15567765567765565	0.4381074936539836	LUSC	score_vs_score	sig_NHEJ	sig_STING			0.523936399928176
27	0.1282051282051282	0.523936399928176	LUSC	score_vs_score	sig_NHEJ	sig_SENSOR			0.523936399928176
60	0.09841622672964714	0.45439298147171464	SCLC_NET	CLDN4_vs_gene	CLDN4_RNA	PRKDC			0.5301251450503338
60	-0.1290932077536051	0.32558880648569183	SCLC_NET	CLDN4_vs_gene	CLDN4_RNA	XRCC4			0.5301251450503338
60	-0.07957766046123924	0.5455784608836878	SCLC_NET	CLDN4_vs_gene	CLDN4_RNA	LIG4			0.5455784608836878
60	-0.10830786329535985	0.41009407353981825	SCLC_NET	CLDN4_vs_gene	CLDN4_RNA	TP53BP1			0.5301251450503338
60	0.3534364189896378	0.005603291991809555	SCLC_NET	CLDN4_vs_gene	CLDN4_RNA	STING1			0.03922304394266689
60	0.23401063317191892	0.07192611899009829	SCLC_NET	CLDN4_vs_gene	CLDN4_RNA	CGAS			0.16782761097689602
60	0.25540427896637957	0.04889168558603689	SCLC_NET	CLDN4_vs_gene	CLDN4_RNA	STAT1			0.16782761097689602
60	-0.09597110308419006	0.465734232171133	SCLC_NET	CLDN4_vs_score	CLDN4_RNA	sig_NHEJ			0.465734232171133
60	0.42911919977771606	0.0006235356105335751	SCLC_NET	CLDN4_vs_score	CLDN4_RNA	sig_STING			0.0009353034158003626
60	0.4523478744095583	0.00028502021410591993	SCLC_NET	CLDN4_vs_score	CLDN4_RNA	sig_SENSOR			0.0008550606423177598
60	-0.10986385106974161	0.4033609578279465	SCLC_NET	score_vs_score	sig_NHEJ	sig_STING			0.4033609578279465
60	-0.21178105029174774	0.10428515620589769	SCLC_NET	score_vs_score	sig_NHEJ	sig_SENSOR			0.20857031241179538
36	-0.4700128700128701	0.0038226918115271385	other_NSCLC	CLDN4_vs_gene	CLDN4_RNA	PRKDC			0.026758842680689968
