accession	library	mouse	group	primary_mouse	compartment	note	n_raw	n_qc	n_epi	n_cldn4_pos_epi	sum_cldn4_log_epi	sum_ifn_epi	n_ifn_genes	n_tnk	n_ptprc	n_epcam	error
GSE149813	AM1	mouse1	Kras-G12D 7w YFP-	True	epi_sorted	sorted lung epithelium	3445	2837	2837	98	111.18238993420533	168.08304231609935	15	2	1	1663	
GSE149813	AM2	mouse1	Kras-G12D 7w YFP+	True	epi_sorted		2740	2531	2531	207	221.81110478395237	156.21567879940204	15	0	0	1598	
GSE149813	AM4	mouse2	Kras-G12D 7w YFP-	True	epi_sorted		3307	2844	2844	98	112.68464269073793	178.77365744728388	15	0	0	1788	
GSE149813	AM5	mouse2	Kras-G12D 7w YFP+	True	epi_sorted		1777	1674	1674	201	226.09698184844984	109.4179017357004	15	2	1	1085	
GSE188436	18385X1	18385X1	KPF1F2_pre	False	gate	GEO sample is a condition, not a named mouse	4662	3713	1873	134	176.57821020509147	209.4210654654228	15	786	2918	631	
GSE188436	18836X3	18836X3	KP_pre	False	gate	GEO sample is a condition, not a named mouse	5963	4305	4283	295	302.5303709197654	403.75192483183605	15	879	2709	1171	
GSE188436	18836X4	18836X4	KP_post	False	gate	GEO sample is a condition, not a named mouse	8536	4495	4495	1326	1601.8911568875656	255.13107800705973	15	5	20	3050	
GSE188436	18836X5	18836X5	KPF1F2_post	False	gate	GEO sample is a condition, not a named mouse	4415	3014	2993	1118	1520.6083126015878	359.24634297824434	15	25	36	1852	
GSE264739	KP1	KP1	KP	True	gate	GEO replicate of autochthonous KP or KPP lung tumor	9832	8126	5187	373	366.150793050187	772.1877280085225	14	1525	7136	3919	
GSE264739	KP2	KP2	KP	True	gate	GEO replicate of autochthonous KP or KPP lung tumor	10528	9444	6713	433	453.2664074308227	853.1289736988588	14	1578	8505	5229	
GSE264739	KP3	KP3	KP	True	gate	GEO replicate of autochthonous KP or KPP lung tumor	11618	10338	7135	526	554.1852301619091	963.2521366371413	14	1955	9109	4669	
GSE264739	KPP1	KPP1	KPP	True	gate	GEO replicate of autochthonous KP or KPP lung tumor	6697	6026	3913	164	167.87253258599534	421.39136540972	14	83	5546	3110	
GSE264739	KPP2	KPP2	KPP	True	gate	GEO replicate of autochthonous KP or KPP lung tumor	8877	7685	4515	273	275.4566013538406	472.4124151991789	14	153	6850	3445	
GSE264739	KPP3	KPP3	KPP	True	gate	GEO replicate of autochthonous KP or KPP lung tumor	12839	11648	7770	455	431.1555387981176	801.7852846860687	14	135	10706	5942	
GSE281744	KRAS_21wkON	pool_ON	21wk_ON	False	gate	GEO number of mice pooled = 2	10205	7330	5388	110	103.7262026509837	623.8040042183264	14	3722	5080	696	
GSE281744	KRAS_20wkON_1wkOFF	pool_OFF	20wkON_1wkOFF	False	gate	GEO number of mice pooled = 2	6064	4595	2631	39	27.068440147403656	309.26775527765926	14	2246	3262	497	
GSE281964	KP_pre	KP_pre	KP_pre	False	gate	pre/post library without a mouse id	7658	7247	6763	411	397.6535888025335	795.1238338214462	14	1521	5893	3017	
GSE281964	KP_post	KP_post	KP_post	False	gate	pre/post library without a mouse id	7284	7009	7008	3414	3585.770582746346	407.9971136273863	14	1	48	6264	
GSE281964	KPH_pre	KPH_pre	KPH_pre	False	gate	pre/post library without a mouse id	6558	6226	6012	617	514.6318912264614	784.1363609935574	14	1029	4871	3116	
GSE281964	KPH_post	KPH_post	KPH_post	False	gate	pre/post library without a mouse id	7867	7565	7565	3696	3640.9283015859323	473.3807255445495	14	1	62	6864	
GSE317576	PBS	PBS	tumor_free_PBS	False	gate	condition library; mouse replicates not in GEO	8981	8695	1468	2	0.6415770939001877	171.39247153927914	14	2862	7180	874	
GSE317576	PR8	PR8	tumor_free_PR8	False	gate	condition library	8405	8220	1853	1	0.690739241504667	204.49453950648768	14	2161	7005	1265	
GSE317576	PBS-T6	PBS-T6	PBS_T6	False	gate	condition library	26404	26071	7783	31	18.23858110519184	1800.9922719915487	14	7093	17011	1580	
GSE317576	PR8-T6	PR8-T6	IAV_T6	False	gate	condition library	25420	25038	8703	73	60.265024424176104	1791.3356688666022	14	6118	16058	2245	
GSE317576	PBS-T12	PBS-T12	PBS_T12	False	gate	condition library	16004	15623	10828	77	77.60403324771117	2724.083176382554	14	2992	8899	1752	
GSE317576	PR8-T12	PR8-T12	IAV_T12	False	gate	condition library	16626	15761	12895	358	369.2160479312378	2173.757263397555	14	2783	10503	2307	
GSE319598	2731_T1	2731	vehicle	True	epi_sorted	eGFP+ tumor cells; tumors collapsed to filename mouse id	3017	2943	2943	213	34.948087419593676	25.898124652567084	14	11	48	2578	
GSE319598	2731_T2	2731	vehicle	True	epi_sorted	eGFP+ tumor cells; tumors collapsed to filename mouse id	436	428	428	24	3.6231435384256994	3.5736467318626257	14	2	10	337	
GSE319598	2731_Tmix	2731	vehicle	True	epi_sorted	eGFP+ tumor cells; tumors collapsed to filename mouse id	2371	2326	2326	144	30.00618889044936	26.9002845940617	14	3	29	1863	
GSE319598	2733_Tmix	2733	vehicle	True	epi_sorted	eGFP+ tumor cells; tumors collapsed to filename mouse id	1273	1258	1258	103	31.136046227884762	17.441917053934297	14	5	9	942	
GSE319598	2868_Tmix	2868	sotorasib	True	epi_sorted	eGFP+ tumor cells; tumors collapsed to filename mouse id	1263	1248	1248	16	2.645482735991202	9.759927458386521	14	5	18	797	
GSE319598	2873_T2	2873	sotorasib	True	epi_sorted	eGFP+ tumor cells; tumors collapsed to filename mouse id	643	636	636	29	4.215288337061189	5.40644946214333	14	3	9	507	
GSE319598	2873_Tmix	2873	sotorasib	True	epi_sorted	eGFP+ tumor cells; tumors collapsed to filename mouse id	1037	1025	1025	28	5.500826437794229	13.271603646216676	14	3	20	723	
GSE319598	Stromal_control	Stromal_control	vehicle_pool	False	stroma_pool	GEO: stromal cells pooled across mice	566	564	564	2	0.3585384433426625	10.479215050491291	14	115	427	105	
GSE319598	Stromal_Treated	Stromal_Treated	sotorasib_pool	False	stroma_pool	GEO: stromal cells pooled across mice	220	219	219	0	0.0	6.234489826639095	14	63	156	40	
GSE338088	T1_NG	T1_NG	MCT2_control	True	gate	snRNA biological replicate	3171	3109	7	0	0.0	3.686079462898631	14	106	958	3	
GSE338088	T1_Pos	T1_Pos	MCT2_knockout	True	gate	snRNA biological replicate	4934	4836	5	0	0.0	1.6624649368654945	14	96	1471	4	
GSE338088	T2_NG	T2_NG	MCT2_control	True	gate	snRNA biological replicate	3130	3052	10	0	0.0	4.094742343294047	14	109	1164	7	
GSE338088	T2_Pos	T2_Pos	MCT2_knockout	True	gate	snRNA biological replicate	2137	2021	0	0	0.0	0.0	14	26	517	0	
GSE338088	T3_NG	T3_NG	MCT2_control	True	gate	snRNA biological replicate	1916	1827	1	0	0.0	0.11846799737471712	14	70	708	1	
GSE338088	T3_Pos	T3_Pos	MCT2_knockout	True	gate	snRNA biological replicate	3577	3451	1	0	0.0	0.4060421222456071	14	79	1812	0	
GSE295824	M3	M3	LN2A	True	gate	Sox2 GEMM lung tumor; mouse id is in the archive name	6443	5489	645	172	165.3790690460389	115.54403934659861	15	214	4246	566	
GSE295824	M4	M4	LN2A	True	gate	Sox2 GEMM lung tumor; mouse id is in the archive name	12775	10334	1227	157	135.5886617275956	293.2434892993389	15	843	7281	682	
GSE295824	M5	M5	LN2A	True	gate	Sox2 GEMM lung tumor; mouse id is in the archive name	11497	9505	1462	138	132.34292872891194	324.54794864754996	15	354	4818	623	
GSE295824	M7	M7	LN2A	True	gate	Sox2 GEMM lung tumor; mouse id is in the archive name	11999	10038	1305	176	175.8364982596796	255.11814222718286	15	810	6814	791	
GSE295824	M38	M38	p53	True	gate	Sox2 GEMM lung tumor; mouse id is in the archive name	7703	4886	1834	28	21.717508551855715	218.13000743307794	15	205	2744	1414	
GSE295824	M43	M43	p53	True	gate	Sox2 GEMM lung tumor; mouse id is in the archive name	8609	5075	1149	22	25.503822402757493	214.52733810324983	15	295	3585	315	
GSE295824	M44	M44	p53	True	gate	Sox2 GEMM lung tumor; mouse id is in the archive name	6900	5015	935	35	29.551573349222096	162.4146570650717	15	794	3363	626	
GSE295824	M45	M45	p53	True	gate	Sox2 GEMM lung tumor; mouse id is in the archive name	7965	4679	1068	94	72.26114965242722	113.87841311344641	15	444	3002	651	
GSE295824	M100	M100	PTEN	True	gate	Sox2 GEMM lung tumor; mouse id is in the archive name	7494	5527	3158	64	44.58015557689765	399.17011174201247	15	301	2239	2060	
GSE295824	M74	M74	PTEN	True	gate	Sox2 GEMM lung tumor; mouse id is in the archive name	7285	6208	3125	19	13.19326203435785	478.42683638719063	15	885	3182	1178	
GSE295824	M80	M80	PTEN	True	gate	Sox2 GEMM lung tumor; mouse id is in the archive name	6956	6056	1935	40	33.364650141449374	263.37517734381476	15	967	4556	809	
GSE295824	M99	M99	PTEN	True	gate	Sox2 GEMM lung tumor; mouse id is in the archive name	9577	7356	3145	22	12.113550817158671	525.8698112543609	15	853	5045	1093	
GSE295824	M16	M16	SH	True	gate	Sox2 GEMM lung tumor; mouse id is in the archive name	6553	1413	752	34	35.21896632639563	61.201931589735246	15	78	590	583	
GSE295824	M20	M20	SH	True	gate	Sox2 GEMM lung tumor; mouse id is in the archive name	11164	5322	2868	368	234.91416944093874	293.1536984614611	15	269	2068	2099	
GSE295824	M21	M21	SH	True	gate	Sox2 GEMM lung tumor; mouse id is in the archive name	5912	2427	1523	43	39.557625184483236	167.97361788724393	15	169	505	1057	
GSE295824	M24	M24	SH	True	gate	Sox2 GEMM lung tumor; mouse id is in the archive name	16052	9549	8682	3144	2799.578798717926	1833.8039447477406	15	74	628	7811	
