patient,state,n_cells,CCL19,CCL21,CCL3,CCL4,CCL5,CXCL10,CXCL11,CXCL13,CXCL16,CXCL9
P01,TACSTD2_CLDN4_high,341,0.0,0.0,5.902376651763916,6.04438591003418,3.5524401664733887,1.096617579460144,0.0,1.096617579460144,6.3889288902282715,1.096617579460144
P01,TACSTD2_CLDN4_low,390,0.0,0.0,6.302556037902832,6.54613733291626,4.024898052215576,3.0017940998077393,1.2208890914916992,0.0,6.7724199295043945,1.7544729709625244
P02,TACSTD2_CLDN4_high,35,0.0,0.0,0.0,4.116061687469482,5.607373237609863,0.0,0.0,0.0,6.352653980255127,0.0
P02,TACSTD2_CLDN4_low,98,0.0,0.0,2.5827600955963135,5.4529194831848145,6.061868190765381,0.0,0.0,4.129841327667236,6.695079803466797,2.5827600955963135
P03,TACSTD2_CLDN4_high,70,0.0,0.0,3.3901548385620117,3.3901548385620117,4.972259998321533,6.4484968185424805,4.4660420417785645,4.618549346923828,6.926384925842285,6.0662431716918945
P03,TACSTD2_CLDN4_low,1213,0.4110502004623413,0.4110502004623413,3.753938674926758,4.6266560554504395,5.314897537231445,6.409389019012451,3.977160930633545,4.958187103271484,6.586821556091309,5.203956127166748
P04,TACSTD2_CLDN4_high,59,0.0,0.0,3.5377144813537598,4.815621852874756,5.87813138961792,8.226969718933105,7.181037425994873,2.495633363723755,7.989660263061523,6.3234100341796875
P04,TACSTD2_CLDN4_low,110,0.0,0.0,4.676227569580078,5.389285564422607,4.724574565887451,7.382187366485596,6.443414688110352,3.4937551021575928,7.512325763702393,6.067905902862549
P05,TACSTD2_CLDN4_high,256,0.0,0.0,4.121616840362549,3.67885684967041,5.972601413726807,2.4873108863830566,3.3524346351623535,2.4873108863830566,7.632111072540283,0.0
P05,TACSTD2_CLDN4_low,1248,0.0,1.2002935409545898,3.7145187854766846,3.382129192352295,6.134994983673096,3.6711740493774414,3.2999868392944336,1.82816481590271,7.403324127197266,2.330625057220459
P06,TACSTD2_CLDN4_low,66,0.0,0.0,3.3356223106384277,4.324313163757324,5.319192886352539,2.0507805347442627,0.0,2.0507805347442627,6.6593017578125,4.010813236236572
P07,TACSTD2_CLDN4_high,1636,0.4362490177154541,0.0,3.4879820346832275,3.5369086265563965,2.9178035259246826,2.331871747970581,1.6817867755889893,2.219573974609375,6.517613410949707,1.948169469833374
P07,TACSTD2_CLDN4_low,3883,0.946293830871582,2.3472588062286377,3.332904815673828,3.768862009048462,3.4027323722839355,2.921156883239746,2.208920955657959,2.07694673538208,6.559915542602539,2.7053890228271484
P08,TACSTD2_CLDN4_high,47,0.0,0.0,5.993671417236328,6.303160667419434,4.98642635345459,0.0,0.0,0.0,6.813253879547119,0.0
P08,TACSTD2_CLDN4_low,206,0.0,0.0,4.445369243621826,5.33514404296875,4.476751327514648,4.233069896697998,4.061476230621338,1.3129546642303467,6.8585638999938965,4.745974063873291
P09,TACSTD2_CLDN4_high,97,0.0,0.0,5.175928115844727,5.961297988891602,6.862983226776123,9.152448654174805,6.094507694244385,5.022718906402588,7.988572120666504,8.251120567321777
P09,TACSTD2_CLDN4_low,192,0.0,1.208591103553772,5.56724739074707,6.108388900756836,7.320695400238037,8.455504417419434,5.4431915283203125,5.289761543273926,7.503424644470215,6.920984268188477
P10,TACSTD2_CLDN4_high,75,0.0,2.293804407119751,5.027255058288574,5.8014092445373535,6.423194885253906,5.137790203094482,2.9351940155029297,4.681676387786865,7.612907409667969,5.4108171463012695
P10,TACSTD2_CLDN4_low,215,0.0,0.0,5.801756858825684,6.05889892578125,5.963822364807129,5.495359420776367,2.010659694671631,4.322605609893799,6.952366352081299,4.964949607849121
P11,TACSTD2_CLDN4_high,146,0.0,0.0,3.502336025238037,4.40038537979126,4.6210713386535645,5.726302146911621,4.116785526275635,0.0,6.813938140869141,6.417818546295166
P11,TACSTD2_CLDN4_low,322,2.1673903465270996,2.0077056884765625,3.6135847568511963,4.257300853729248,4.4553937911987305,4.682197570800781,1.582627534866333,0.0,6.613240718841553,3.1866159439086914
P12,TACSTD2_CLDN4_high,62,0.0,0.0,0.0,2.66058087348938,4.212467670440674,0.0,0.0,4.212467670440674,7.252257347106934,3.318148612976074
P12,TACSTD2_CLDN4_low,467,0.0,0.0,3.554990530014038,3.7544779777526855,3.4128899574279785,2.701627731323242,0.9340858459472656,3.790009021759033,7.353296279907227,1.7289364337921143
P13,TACSTD2_CLDN4_low,64,0.0,5.32210636138916,6.405916690826416,6.803057670593262,3.0948667526245117,4.266629695892334,0.0,3.0948667526245117,7.825246334075928,4.1628265380859375
P14,TACSTD2_CLDN4_high,52,0.0,3.0329582691192627,4.098928451538086,5.819772243499756,5.75933313369751,3.0329582691192627,3.701724052429199,3.0329582691192627,7.009841442108154,0.0
P14,TACSTD2_CLDN4_low,169,0.0,1.7622663974761963,4.0759687423706055,5.07670783996582,5.407076835632324,1.7622663974761963,1.7622663974761963,3.3996548652648926,6.161020278930664,1.7622663974761963
P15,TACSTD2_CLDN4_high,155,0.0,0.0,3.5668911933898926,3.5668911933898926,3.0747194290161133,0.0,0.0,0.0,6.960190773010254,3.0747194290161133
P15,TACSTD2_CLDN4_low,510,0.0,0.0,3.1580817699432373,3.4350802898406982,2.2782809734344482,1.2535698413848877,1.2535698413848877,1.2535698413848877,6.6885480880737305,2.6037354469299316
