subset	partner	source	n	rho	p	ci_low	ci_high	rho_adj_epithelial	p_adj_epithelial	rho_adj_ancestry	p_adj_ancestry	verdict_epithelial	verdict_ancestry
tumors	CD8A	collapsed_maxmean	32	-0.4358504398826979	0.012647524393724088	-0.6697968833139128	-0.11881167657224433	-0.27674683488997986	0.13177127614572162	-0.44515388457424393	0.012092990812268433	UNDERPOWERED	UNDERPOWERED
tumors	CD274	collapsed_maxmean	32	-0.2071114369501466	0.25538292657485717	-0.5234676520390805	0.1403854282785048	-0.1902446745448108	0.305311573166208	-0.20338063603759365	0.2724839610713675	UNDERPOWERED	UNDERPOWERED
tumors	ImmuneScore	estimate_immunesignature_meanz	32	-0.5469208211143693	0.0011991163051800235	-0.7463349295828012	-0.2518179138476812	-0.29574270271342584	0.10623980941332228	-0.550027944057917	0.001348130686789723	UNDERPOWERED	UNDERPOWERED
tumors	CD8A	named_201428_at_vs_205758_at	32	-0.4358504398826979	0.012647524393724088	-0.6697968833139128	-0.11881167657224433	-0.27674683488997986	0.13177127614572162	-0.44515388457424393	0.012092990812268433	UNDERPOWERED	UNDERPOWERED
tumors	CD274	named_201428_at_vs_223834_at	32	-0.11656891495601172	0.5252003200408104	-0.46931869314544916	0.2461347803994275	-0.19086237786217264	0.30371449515111304	-0.10830891723361424	0.5619364900967322	UNDERPOWERED	UNDERPOWERED
tumors	CD274	named_201428_at_vs_227458_at	32	-0.2071114369501466	0.25538292657485717	-0.5234676520390805	0.1403854282785048	-0.1902446745448108	0.305311573166208	-0.20338063603759365	0.2724839610713675	UNDERPOWERED	UNDERPOWERED
tumors	epithelial_z	context	32	0.6099706744868034	0.0002101786197838557	0.23509662410205748	0.8317941513041193					COMPANION	NA
AA_tumors	CD8A	collapsed_maxmean	16	-0.5882352941176471	0.016539722195378175	-0.8268721222501503	-0.16195128975192397	-0.4821472492702912	0.06874664513223655			UNDERPOWERED	NA
AA_tumors	CD274	collapsed_maxmean	16	-0.24705882352941175	0.35627504151257744	-0.690186521636111	0.2365247780018382	-0.18984442418117503	0.4979737766215445			UNDERPOWERED	NA
AA_tumors	ImmuneScore	estimate_immunesignature_meanz	16	-0.4588235294117647	0.07383553449548094	-0.7734795098825956	-0.008691215361619957	-0.2743948088807983	0.3223204897800253			UNDERPOWERED	NA
AA_tumors	CD8A	named_201428_at_vs_205758_at	16	-0.5882352941176471	0.016539722195378175	-0.8268721222501503	-0.16195128975192397	-0.4821472492702912	0.06874664513223655			UNDERPOWERED	NA
AA_tumors	CD274	named_201428_at_vs_223834_at	16	-0.19117647058823528	0.47816401281702847	-0.6547721674876847	0.3533896492728822	-0.20475113673513348	0.46416088923566023			UNDERPOWERED	NA
AA_tumors	CD274	named_201428_at_vs_227458_at	16	-0.24705882352941175	0.35627504151257744	-0.690186521636111	0.2365247780018382	-0.18984442418117503	0.4979737766215445			UNDERPOWERED	NA
AA_tumors	epithelial_z	context	16	0.4764705882352941	0.06205917418922617	-0.19708955223880603	0.873517613053109					COMPANION	NA
EA_tumors	CD8A	collapsed_maxmean	16	-0.22941176470588234	0.39272049088162	-0.6821708157897098	0.3870231998338026	-0.007978685024756092	0.9774862035218933			UNDERPOWERED	NA
EA_tumors	CD274	collapsed_maxmean	16	-0.14411764705882352	0.5943782881736934	-0.5755016397831472	0.3891871509884533	-0.12034284872917268	0.6692267971684178			UNDERPOWERED	NA
EA_tumors	ImmuneScore	estimate_immunesignature_meanz	16	-0.5970588235294118	0.014609731954981034	-0.8560768927462873	-0.17311631497684007	-0.28094083533760883	0.3104383237037961			UNDERPOWERED	NA
EA_tumors	CD8A	named_201428_at_vs_205758_at	16	-0.22941176470588234	0.39272049088162	-0.6821708157897098	0.3870231998338026	-0.007978685024756092	0.9774862035218933			UNDERPOWERED	NA
EA_tumors	CD274	named_201428_at_vs_223834_at	16	0.008823529411764706	0.9741279946623942	-0.5432859674231583	0.5320938012709668	-0.095929980597317	0.733789808859322			UNDERPOWERED	NA
EA_tumors	CD274	named_201428_at_vs_227458_at	16	-0.14411764705882352	0.5943782881736934	-0.5755016397831472	0.3891871509884533	-0.12034284872917268	0.6692267971684178			UNDERPOWERED	NA
EA_tumors	epithelial_z	context	16	0.6735294117647058	0.0042327392484605075	0.18150372797707492	0.9252615844544095					COMPANION	NA
tumors	ancestry_AA	context	32	-0.1624591083221647	0.37434378597853823							COMPANION	NA
