subset	partner	source	n	rho	p	ci_low	ci_high	rho_adj_epithelial	p_adj_epithelial	rho_adj_histology	p_adj_histology	verdict_epithelial	verdict_histology
all_NSCLC	CD8A	collapsed_maxmean	58	-0.11452213233258483	0.39199239829034316	-0.3619299713690147	0.12963652738719106	0.005945039587567528	0.9649920541625078	-0.16172012865208177	0.22942529116772917	NO_EVIDENCE	NO_EVIDENCE
all_NSCLC	CD274	collapsed_maxmean	58	-0.10541696145682734	0.430958214288347	-0.38385321064214506	0.181882833391785	-0.04911852938152548	0.716724286265696	-0.004454179091218588	0.9737675400497922	NO_EVIDENCE	NO_EVIDENCE
all_NSCLC	CD8A	named_201428_at_vs_205758_at	58	-0.11452213233258483	0.39199239829034316	-0.3619299713690147	0.12963652738719106	0.005945039587567528	0.9649920541625078	-0.16172012865208177	0.22942529116772917	NO_EVIDENCE	NO_EVIDENCE
all_NSCLC	CD274	named_201428_at_vs_223834_at	58	-0.15081977298594237	0.2584408074210903	-0.4372838432647934	0.13752493757563344	-0.1594840462828621	0.23601543091159577	-0.06727042023942649	0.6190533335740245	NO_EVIDENCE	NO_EVIDENCE
all_NSCLC	CD274	named_201428_at_vs_227458_at	58	-0.10541696145682734	0.430958214288347	-0.38385321064214506	0.181882833391785	-0.04911852938152548	0.716724286265696	-0.004454179091218588	0.9737675400497922	NO_EVIDENCE	NO_EVIDENCE
all_NSCLC	CD8A	TACSTD2_companion_vs_CD8A	58	-0.22200006152142485	0.09395995112832126	-0.44421592616909683	0.03245069938990844	-0.18521288816278106	0.16779787591062384	-0.21373082407623897	0.11040164789074083	NO_EVIDENCE	NO_EVIDENCE
all_NSCLC	CD274	TACSTD2_companion_vs_CD274	58	-0.02974560890830232	0.8245837036286615	-0.311161189258098	0.2532356950737312	-0.005501970065799443	0.9675996610543612	-0.0862493760734304	0.5235175729494139	NO_EVIDENCE	NO_EVIDENCE
all_NSCLC	TACSTD2	CLDN4_vs_TACSTD2_companion	58	0.22470700421421766	0.08991864307994922	-0.05725634819925681	0.48878679076194925	0.1373665403369061	0.30822262085443214	0.3866391691168768	0.00296961322261792	NO_EVIDENCE	OPPOSITE
ADC	CD8A	collapsed_maxmean	40	-0.17016885553470923	0.2938121377801263	-0.433823795738847	0.12896146616541343	-0.0472417277051541	0.7751958586116005			NO_EVIDENCE	NA
ADC	CD274	collapsed_maxmean	40	0.08930581613508444	0.5836876858174842	-0.27707169994914727	0.41913654501536624	0.12914948208263088	0.4332823934554832			NO_EVIDENCE	NA
ADC	CD8A	named_201428_at_vs_205758_at	40	-0.17016885553470923	0.2938121377801263	-0.433823795738847	0.12896146616541343	-0.0472417277051541	0.7751958586116005			NO_EVIDENCE	NA
ADC	CD274	named_201428_at_vs_223834_at	40	0.02476547842401501	0.8794337989885963	-0.3445928456041868	0.3757773122449012	-0.0060001833232122236	0.9710812060351043			NO_EVIDENCE	NA
ADC	CD274	named_201428_at_vs_227458_at	40	0.08930581613508444	0.5836876858174842	-0.27707169994914727	0.41913654501536624	0.12914948208263088	0.4332823934554832			NO_EVIDENCE	NA
ADC	CD8A	TACSTD2_companion_vs_CD8A	40	-0.23320825515947471	0.14755456798584146	-0.5249925570941196	0.10392865883105458	-0.08764494807975004	0.5957255868741557			NO_EVIDENCE	NA
ADC	CD274	TACSTD2_companion_vs_CD274	40	-0.09455909943714824	0.561656207321889	-0.4083741552324119	0.24888721416566054	-0.06959998807106588	0.6737394505998398			NO_EVIDENCE	NA
ADC	TACSTD2	CLDN4_vs_TACSTD2_companion	40	0.3876172607879926	0.013464666675286324	0.053650475596201015	0.6587760442103813	0.22325573510239327	0.17188081076623452			NO_EVIDENCE	NA
SCC	CD8A	collapsed_maxmean	18	-0.07946336429308565	0.7539561864360347	-0.6142672753012267	0.42889470158083043	-0.056331427366131656	0.8299710013980964			UNDERPOWERED	NA
SCC	CD274	collapsed_maxmean	18	-0.003095975232198142	0.990272385227047	-0.49640966202353487	0.47807933194154495	-0.040284630087455066	0.8779981231743484			UNDERPOWERED	NA
SCC	CD8A	named_201428_at_vs_205758_at	18	-0.07946336429308565	0.7539561864360347	-0.6142672753012267	0.42889470158083043	-0.056331427366131656	0.8299710013980964			UNDERPOWERED	NA
SCC	CD274	named_201428_at_vs_223834_at	18	-0.011351909184726523	0.9643420040748253	-0.5057744344861665	0.4698801230633988	-0.08835225124177856	0.7359673307425076			UNDERPOWERED	NA
SCC	CD274	named_201428_at_vs_227458_at	18	-0.003095975232198142	0.990272385227047	-0.49640966202353487	0.47807933194154495	-0.040284630087455066	0.8779981231743484			UNDERPOWERED	NA
SCC	CD8A	TACSTD2_companion_vs_CD8A	18	-0.12074303405572755	0.6331873816566363	-0.5472170796076732	0.368360978543862	-0.12111459127241758	0.6433339112882392			UNDERPOWERED	NA
SCC	CD274	TACSTD2_companion_vs_CD274	18	0.05675954592363261	0.8229893024799763	-0.45113644039175954	0.5778584564237146	0.05695330830388293	0.8281200779336156			UNDERPOWERED	NA
SCC	TACSTD2	CLDN4_vs_TACSTD2_companion	18	0.4901960784313726	0.038903445723445826	-0.07596649952962188	0.8362917130896619	0.6354760562717013	0.006117553497246402			UNDERPOWERED	NA
all_NSCLC	epithelial_z	context	58	0.5438186348395829	1.0248536465672694e-05	0.2956658338103803	0.7505696085585701					COMPANION	NA
ADC	epithelial_z	context	40	0.41294559099437156	0.00809144509019189	0.07719652309992507	0.6940640546096252					COMPANION	NA
SCC	epithelial_z	context	18	0.632610939112487	0.004841232347066897	0.27021041852952205	0.8206847374138853					COMPANION	NA
all_NSCLC	histology_ADC	context	58	0.4608199650001394	0.0002724061093861504							COMPANION	NA
