gene	gate	site	pool	split	min_arm	score	n_patients	mean_delta	median_delta	frac_pos	wilcoxon_p	eligible
CLDN1	author	all	patient	median	10	cell_mean	20	0.08851556312292815	0.08067615702748299	0.9	7.62939453125e-06	True
CLDN1	author	all	patient	q4q1	10	cell_mean	20	0.14494733752217143	0.12490985542535782	0.9	2.6702880859375e-05	True
CLDN1	ts	tLung	patient	median	10	cell_mean	10	0.12017037272453308	0.09510582685470581	1.0	0.001953125	True
CLDN1	ts	tLung	patient	q4q1	10	cell_mean	10	0.1870213344693184	0.14108795672655106	1.0	0.001953125	True
CLDN1	broad	all	patient	median	10	cell_mean	30	0.09906716632346312	0.08864876255393028	0.9333333333333333	7.450580596923828e-09	True
CLDN1	broad	all	patient	q4q1	10	cell_mean	30	0.15897200317122043	0.12891937047243118	0.9333333333333333	3.725290298461914e-08	True
CLDN1	epi	no_mBrain	patient	median	10	cell_mean	21	0.12637930558550925	0.11602957546710968	0.9523809523809523	9.5367431640625e-06	True
CLDN1	epi	no_mBrain	patient	q4q1	10	cell_mean	21	0.20584351294452236	0.14722654223442078	0.9523809523809523	6.67572021484375e-06	True
CLDN3	author	all	patient	median	10	cell_mean	20	0.23725915215909482	0.2296653538942337	0.95	9.5367431640625e-06	True
CLDN3	author	all	patient	q4q1	10	cell_mean	20	0.37948504462838173	0.35368213057518005	1.0	1.9073486328125e-06	True
CLDN3	ts	tLung	patient	median	10	cell_mean	10	0.2961234003305435	0.30444078147411346	1.0	0.001953125	True
CLDN3	ts	tLung	patient	q4q1	10	cell_mean	10	0.5090118646621704	0.5262362658977509	1.0	0.001953125	True
CLDN3	broad	all	patient	median	10	cell_mean	30	0.2568805682162444	0.2357250452041626	0.9666666666666667	9.313225746154785e-09	True
CLDN3	broad	all	patient	q4q1	10	cell_mean	30	0.4226606513063113	0.4083670377731323	1.0	1.862645149230957e-09	True
CLDN3	epi	no_mBrain	patient	median	10	cell_mean	21	0.319446678672518	0.27349722385406494	1.0	9.5367431640625e-07	True
CLDN3	epi	no_mBrain	patient	q4q1	10	cell_mean	21	0.5298586594206947	0.5086044073104858	1.0	9.5367431640625e-07	True
CLDN4	author	all	patient	median	10	cell_mean	20	0.4468879785388708	0.4311918616294861	1.0	1.9073486328125e-06	True
CLDN4	author	all	patient	q4q1	10	cell_mean	20	0.6791737504303456	0.7139869928359985	0.95	9.5367431640625e-06	True
CLDN4	ts	tLung	patient	median	10	cell_mean	10	0.47090999484062196	0.47496843338012695	1.0	0.001953125	True
CLDN4	ts	tLung	patient	q4q1	10	cell_mean	10	0.75211381316185	0.7122435569763184	1.0	0.001953125	True
CLDN4	broad	all	patient	median	10	cell_mean	30	0.4548953173061212	0.45846790075302124	1.0	1.862645149230957e-09	True
CLDN4	broad	all	patient	q4q1	10	cell_mean	30	0.7034871046741803	0.7122435569763184	0.9666666666666667	9.313225746154785e-09	True
CLDN4	epi	no_mBrain	patient	median	10	cell_mean	21	0.5287423077083769	0.49372196197509766	1.0	9.5367431640625e-07	True
CLDN4	epi	no_mBrain	patient	q4q1	10	cell_mean	21	0.851188097681318	0.834895133972168	1.0	9.5367431640625e-07	True
CLDN7	author	all	patient	median	10	cell_mean	20	0.25264303758740425	0.26608438789844513	0.95	5.7220458984375e-06	True
CLDN7	author	all	patient	q4q1	10	cell_mean	20	0.41285382211208344	0.3968959450721741	0.9	9.5367431640625e-06	True
CLDN7	ts	tLung	patient	median	10	cell_mean	10	0.19917930662631989	0.11558723449707031	1.0	0.001953125	True
CLDN7	ts	tLung	patient	q4q1	10	cell_mean	10	0.37473038136959075	0.33801329135894775	1.0	0.001953125	True
CLDN7	broad	all	patient	median	10	cell_mean	30	0.23482179393370947	0.23928432911634445	0.9666666666666667	9.313225746154785e-09	True
CLDN7	broad	all	patient	q4q1	10	cell_mean	30	0.40014600853125254	0.3735818564891815	0.9333333333333333	1.30385160446167e-08	True
CLDN7	epi	no_mBrain	patient	median	10	cell_mean	21	0.24586390455563864	0.24073228240013123	1.0	9.5367431640625e-07	True
CLDN7	epi	no_mBrain	patient	q4q1	10	cell_mean	21	0.42548330199150813	0.4277240037918091	1.0	9.5367431640625e-07	True
OCLN	author	all	patient	median	10	cell_mean	20	0.10002200044691563	0.08305265381932259	1.0	1.9073486328125e-06	True
OCLN	author	all	patient	q4q1	10	cell_mean	20	0.147351192869246	0.15393079072237015	0.95	5.7220458984375e-06	True
OCLN	ts	tLung	patient	median	10	cell_mean	10	0.13408896028995515	0.0895775556564331	1.0	0.001953125	True
OCLN	ts	tLung	patient	q4q1	10	cell_mean	10	0.2169458508491516	0.14204110950231552	1.0	0.001953125	True
OCLN	broad	all	patient	median	10	cell_mean	30	0.1113776537279288	0.08469559252262115	1.0	1.862645149230957e-09	True
OCLN	broad	all	patient	q4q1	10	cell_mean	30	0.1705494121958812	0.14994976669549942	0.9666666666666667	5.587935447692871e-09	True
OCLN	epi	no_mBrain	patient	median	10	cell_mean	21	0.1310630249125617	0.13772039115428925	1.0	9.5367431640625e-07	True
OCLN	epi	no_mBrain	patient	q4q1	10	cell_mean	21	0.19881767105488551	0.19103452563285828	1.0	9.5367431640625e-07	True
TJP1	author	all	patient	median	10	cell_mean	20	0.09964316003024579	0.09663370996713638	0.95	5.7220458984375e-06	True
TJP1	author	all	patient	q4q1	10	cell_mean	20	0.1736571654677391	0.16522147506475449	0.95	5.7220458984375e-06	True
TJP1	ts	tLung	patient	median	10	cell_mean	10	0.06800360903143883	0.06419046968221664	0.9	0.00390625	True
TJP1	ts	tLung	patient	q4q1	10	cell_mean	10	0.12243419736623765	0.155826136469841	0.8	0.009765625	True
TJP1	broad	all	patient	median	10	cell_mean	30	0.08909664303064346	0.08913052082061768	0.9333333333333333	2.60770320892334e-08	True
TJP1	broad	all	patient	q4q1	10	cell_mean	30	0.1565828427672386	0.155826136469841	0.9	6.146728992462158e-08	True
TJP1	epi	no_mBrain	patient	median	10	cell_mean	21	0.10612807990539641	0.0996396541595459	0.9523809523809523	1.9073486328125e-06	True
TJP1	epi	no_mBrain	patient	q4q1	10	cell_mean	21	0.17605380572023846	0.1744590550661087	0.9047619047619048	6.67572021484375e-06	True
TJP2	author	all	patient	median	10	cell_mean	20	0.05307632982730866	0.04786044359207153	0.95	5.7220458984375e-06	True
TJP2	author	all	patient	q4q1	10	cell_mean	20	0.07669725529849529	0.06937414035201073	0.85	4.76837158203125e-05	True
TJP2	ts	tLung	patient	median	10	cell_mean	10	0.08648781329393387	0.07407838851213455	0.9	0.005859375	True
TJP2	ts	tLung	patient	q4q1	10	cell_mean	10	0.1134854406118393	0.11424065753817558	0.9	0.013671875	True
TJP2	broad	all	patient	median	10	cell_mean	30	0.0642134909828504	0.05273045599460602	0.9333333333333333	8.009374141693115e-08	True
TJP2	broad	all	patient	q4q1	10	cell_mean	30	0.08895998373627663	0.07327602431178093	0.8666666666666667	1.6838312149047852e-06	True
TJP2	epi	no_mBrain	patient	median	10	cell_mean	21	0.08554551963295255	0.08933375775814056	0.9047619047619048	1.33514404296875e-05	True
TJP2	epi	no_mBrain	patient	q4q1	10	cell_mean	21	0.11928396281741914	0.13113248348236084	0.9047619047619048	1.811981201171875e-05	True
TJP3	author	all	patient	median	10	cell_mean	20	0.01783805959858	0.012264013290405273	0.8	0.017181396484375	True
TJP3	author	all	patient	q4q1	10	cell_mean	20	0.04207480759359896	0.03838804364204407	0.9	0.0031528472900390625	True
TJP3	ts	tLung	patient	median	10	cell_mean	10	0.027271241694688798	0.0389876514673233	0.8	0.083984375	True
TJP3	ts	tLung	patient	q4q1	10	cell_mean	10	0.04302506186068058	0.04970654472708702	0.8	0.275390625	True
TJP3	broad	all	patient	median	10	cell_mean	30	0.02098245363061627	0.021554920822381973	0.8	0.0021877754479646683	True
TJP3	broad	all	patient	q4q1	10	cell_mean	30	0.0423915590159595	0.046473391354084015	0.8666666666666667	0.0014574769884347916	True
TJP3	epi	no_mBrain	patient	median	10	cell_mean	21	0.034091791936329434	0.03470849245786667	0.8571428571428571	0.00035381317138671875	True
TJP3	epi	no_mBrain	patient	q4q1	10	cell_mean	21	0.07277256090726171	0.06365840882062912	0.9047619047619048	0.00024127960205078125	True
F11R	author	all	patient	median	10	cell_mean	20	0.11864491663873196	0.10045097023248672	0.95	3.814697265625e-06	True
F11R	author	all	patient	q4q1	10	cell_mean	20	0.18565112873911857	0.15427979826927185	0.9	1.9073486328125e-05	True
F11R	ts	tLung	patient	median	10	cell_mean	10	0.15658199787139893	0.15281172096729279	1.0	0.001953125	True
F11R	ts	tLung	patient	q4q1	10	cell_mean	10	0.3199913829565048	0.3262217044830322	1.0	0.001953125	True
F11R	broad	all	patient	median	10	cell_mean	30	0.13129061038295428	0.12899833917617798	0.9666666666666667	3.725290298461914e-09	True
F11R	broad	all	patient	q4q1	10	cell_mean	30	0.23043121347824733	0.25148361921310425	0.9333333333333333	2.60770320892334e-08	True
F11R	epi	no_mBrain	patient	median	10	cell_mean	21	0.17258370632217043	0.16410881280899048	1.0	9.5367431640625e-07	True
F11R	epi	no_mBrain	patient	q4q1	10	cell_mean	21	0.2958230972290039	0.2926742434501648	1.0	9.5367431640625e-07	True
CGN	author	all	patient	median	10	cell_mean	20	0.03589325379580259	0.0419288594275713	0.9	0.0031528472900390625	True
CGN	author	all	patient	q4q1	10	cell_mean	20	0.056767947226762774	0.071851946413517	0.85	0.0014324188232421875	True
CGN	ts	tLung	patient	median	10	cell_mean	10	0.04571806415915489	0.060735974460840225	0.8	0.10546875	True
CGN	ts	tLung	patient	q4q1	10	cell_mean	10	0.06649277731776237	0.06963755190372467	0.9	0.037109375	True
CGN	broad	all	patient	median	10	cell_mean	30	0.03916819058358669	0.05114243924617767	0.8666666666666667	0.0006084088236093521	True
CGN	broad	all	patient	q4q1	10	cell_mean	30	0.060009557257095975	0.07112325727939606	0.8666666666666667	0.00016989745199680328	True
CGN	epi	no_mBrain	patient	median	10	cell_mean	21	0.06370637193322182	0.06691385805606842	0.8571428571428571	0.0013742446899414062	True
CGN	epi	no_mBrain	patient	q4q1	10	cell_mean	21	0.1042593637747424	0.10514315962791443	0.8095238095238095	0.0005102157592773438	True
MARVELD2	author	all	patient	median	10	cell_mean	20	0.046005739271640776	0.03903455659747124	1.0	1.9073486328125e-06	True
MARVELD2	author	all	patient	q4q1	10	cell_mean	20	0.07028948469087481	0.054742151871323586	0.95	5.7220458984375e-06	True
MARVELD2	ts	tLung	patient	median	10	cell_mean	10	0.06678987666964531	0.04380950704216957	0.9	0.005859375	True
MARVELD2	ts	tLung	patient	q4q1	10	cell_mean	10	0.1231936976313591	0.08891979604959488	1.0	0.001953125	True
MARVELD2	broad	all	patient	median	10	cell_mean	30	0.05293378507097562	0.04160427674651146	0.9666666666666667	2.60770320892334e-08	True
MARVELD2	broad	all	patient	q4q1	10	cell_mean	30	0.0879242223377029	0.06887250766158104	0.9666666666666667	5.587935447692871e-09	True
MARVELD2	epi	no_mBrain	patient	median	10	cell_mean	21	0.062103831342288425	0.04679188132286072	0.9523809523809523	2.86102294921875e-06	True
MARVELD2	epi	no_mBrain	patient	q4q1	10	cell_mean	21	0.10782151349953242	0.09432828426361084	1.0	9.5367431640625e-07	True
CRB3	author	all	patient	median	10	cell_mean	20	0.0792110875248909	0.08798280358314514	0.8	0.001209259033203125	True
CRB3	author	all	patient	q4q1	10	cell_mean	20	0.13853465989232064	0.15020465850830078	0.85	0.0001049041748046875	True
CRB3	ts	tLung	patient	median	10	cell_mean	10	0.020568625628948213	0.03723621368408203	0.7	0.232421875	True
CRB3	ts	tLung	patient	q4q1	10	cell_mean	10	0.04989175945520401	0.06405511498451233	0.8	0.10546875	True
