set	n_listed	n_in_fpkm	n_in_gsea_universe	missing_from_fpkm
EPITHELIAL_TJ_CORE	18	18	18	
GO_BICELLULAR_TIGHT_JUNCTION	76	76	63	
KEGG_TIGHT_JUNCTION	167	167	132	
GOCC_GAP_JUNCTION	34	32	18	Ccn3,Skp1
GOCC_ADHERENS_JUNCTION	154	150	115	Cdhr18,Niban2,Pals1,Vinac1
HALLMARK_INTERFERON_ALPHA_RESPONSE	94	92	81	Tent5a,Wars1
HALLMARK_INTERFERON_GAMMA_RESPONSE	188	184	159	Marchf1,Rigi,Tmt1b,Wars1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	194	192	164	Ccn1,Ccn2
HALLMARK_APICAL_JUNCTION	199	196	161	Fyb1,Nherf4,Pals1
COMPACT_ISG	15	15	13	
