panel	family	kp_block_mean	kp_b6al10_3	kl_mean	kl_max	n_kl_below_block	delta_kl_minus_two_kp_units	p_5kl_vs_2kp	complete_kl_lower	exact_floor_p_5v2	KL KL155	KL KL47	KL KLC	KL KLD	KL KLE
HALLMARK_INTERFERON_ALPHA_RESPONSE__2022_1	IFN	3.373175674434586	2.408176334456605	2.5206152494911067	3.128422165379604	5	-0.3700607549544892	0.38095238095238093	False	0.09523809523809523	2.2507239652893274	2.5957586366446255	2.3060238952304326	3.128422165379604	2.3221475849115434
HALLMARK_INTERFERON_GAMMA_RESPONSE__2022_1	IFN	3.095410902864809	2.2560843387447904	2.2753774326360583	2.600388396552628	5	-0.4003701881687416	0.38095238095238093	False	0.09523809523809523	2.110208075133544	2.2623531394242535	2.202116833780087	2.600388396552628	2.2018207182897784
HALLMARK_INTERFERON_ALPHA_RESPONSE__2023_1	IFN	3.373175674434586	2.408176334456605	2.5206152494911067	3.128422165379604	5	-0.3700607549544892	0.38095238095238093	False	0.09523809523809523	2.2507239652893274	2.5957586366446255	2.3060238952304326	3.128422165379604	2.3221475849115434
HALLMARK_INTERFERON_GAMMA_RESPONSE__2023_1	IFN	3.095410902864809	2.2560843387447904	2.2753774326360583	2.600388396552628	5	-0.4003701881687416	0.38095238095238093	False	0.09523809523809523	2.110208075133544	2.2623531394242535	2.202116833780087	2.600388396552628	2.2018207182897784
HALLMARK_INTERFERON_ALPHA_RESPONSE__2023_2	IFN	3.373175674434586	2.408176334456605	2.5206152494911067	3.1284221653796034	5	-0.3700607549544892	0.38095238095238093	False	0.09523809523809523	2.2507239652893274	2.5957586366446255	2.306023895230433	3.1284221653796034	2.3221475849115434
HALLMARK_INTERFERON_GAMMA_RESPONSE__2023_2	IFN	3.095410902864809	2.2560843387447904	2.275377432636058	2.600388396552628	5	-0.40037018816874204	0.38095238095238093	False	0.09523809523809523	2.110208075133544	2.2623531394242535	2.2021168337800865	2.600388396552628	2.2018207182897784
HALLMARK_INTERFERON_ALPHA_RESPONSE__2024_1	IFN	3.373175674434586	2.408176334456605	2.5206152494911067	3.1284221653796034	5	-0.3700607549544892	0.38095238095238093	False	0.09523809523809523	2.2507239652893274	2.5957586366446255	2.306023895230433	3.1284221653796034	2.3221475849115434
HALLMARK_INTERFERON_GAMMA_RESPONSE__2024_1	IFN	3.0954109028648085	2.2560843387447904	2.275377432636058	2.600388396552628	5	-0.4003701881687416	0.38095238095238093	False	0.09523809523809523	2.110208075133544	2.2623531394242535	2.2021168337800865	2.600388396552628	2.2018207182897784
HALLMARK_INTERFERON_ALPHA_RESPONSE__2025_1	IFN	3.373175674434586	2.408176334456605	2.5206152494911067	3.1284221653796034	5	-0.3700607549544892	0.38095238095238093	False	0.09523809523809523	2.2507239652893274	2.5957586366446255	2.306023895230433	3.1284221653796034	2.3221475849115434
HALLMARK_INTERFERON_GAMMA_RESPONSE__2025_1	IFN	3.0954109028648085	2.2560843387447904	2.275377432636058	2.600388396552628	5	-0.4003701881687416	0.38095238095238093	False	0.09523809523809523	2.110208075133544	2.2623531394242535	2.2021168337800865	2.600388396552628	2.2018207182897784
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	IFN	2.3160454107715482	2.156120927972099	2.265820719307211	2.366772163577067	4	0.02973754993538691	0.8571428571428571	False	0.09523809523809523	2.230608410119785	2.3030945896867245	2.18556421637093	2.366772163577067	2.2430642167815478
REACTOME_INTERFERON_GAMMA_SIGNALING	IFN	3.921897876696986	3.7915200096951294	3.603152404649947	3.8497709338098773	5	-0.2535565385461105	0.19047619047619047	False	0.09523809523809523	3.5618580516962877	3.5141312912952705	3.496495772475354	3.8497709338098773	3.593505973972946
REACTOME_INTERFERON_SIGNALING	IFN	3.219298453557071	3.071678062237574	3.3195501416130866	3.3638177375127953	0	0.17406188371576414	0.09523809523809523	False	0.09523809523809523	3.336801508058663	3.285372639937676	3.295359417380701	3.3638177375127953	3.3163994051756003
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	IFN	3.4706624247216173	3.288824523762337	3.671762382861499	3.7109319093068995	0	0.29201890861952196	0.09523809523809523	False	0.09523809523809523	3.7109319093068995	3.635389819714399	3.6719264571884915	3.6632229345599248	3.6773407935377787
REACTOME_ISG15_ANTIVIRAL_MECHANISM	IFN	3.982160060828604	3.825619126218641	4.094257591369856	4.245223820955984	0	0.19036799784623337	0.09523809523809523	False	0.09523809523809523	4.064506857338235	4.1173025395696445	4.011544586296048	4.245223820955984	4.032710152689368
