n_kl	n_kp	n5vs5	mean_kl	mean_kp	sd_kl	sd_kp	delta	welch_t	welch_df	welch_p	abs_t	min_kl	max_kp	complete_separation	U	mw_p	cliffs_delta	endpoint	dropped	arm_dropped	short
5	5	True	8.874985228159096	3.3053580662263338	0.6384958084607174	1.0423710267048671	5.569627161932762	10.188369532619777	6.6312328973923655	2.7230318422556286e-05	10.188369532619777	7.9645141540866495	4.247927513443585	True	25.0	0.007936507936507936	1.0	Cldn4	none	none	
5	4	False	8.874985228159096	3.1959265688955205	0.6384958084607174	1.1699920764822525	5.679058659263575	8.724058223987075	4.411984436120429	0.0006042549942390274	8.724058223987075	7.9645141540866495	4.247927513443585	True	20.0	0.015873015873015872	1.0	Cldn4	B6AL10-1-RNA	KP	KP B6AL10-1
5	4	False	8.874985228159096	3.0697157044220202	0.6384958084607174	1.038525072032566	5.805269523737076	9.796350755417995	4.76209421470909	0.0002466150447750709	9.796350755417995	7.9645141540866495	3.743084055549586	True	20.0	0.015873015873015872	1.0	Cldn4	B6AL10-2-RNA	KP	KP B6AL10-2
5	4	False	8.874985228159096	3.75018037986602	0.6384958084607174	0.360005377283804	5.124804848293076	15.182601244074085	6.452208414002249	2.7297495274753376e-06	15.182601244074085	7.9645141540866495	4.247927513443585	True	20.0	0.015873015873015872	1.0	Cldn4	B6AL10-3-RNA	KP	KP B6AL10-3
5	4	False	8.874985228159096	3.2808806521980913	0.6384958084607174	1.2019659664212399	5.594104575961005	8.40752192120473	4.341431320217786	0.000759759675240176	8.40752192120473	7.9645141540866495	4.247927513443585	True	20.0	0.015873015873015872	1.0	Cldn4	B6AL10-4-RNA	KP	KP B6AL10-4
5	4	False	8.874985228159096	3.2300870257500147	0.6384958084607174	1.1878320361857118	5.644898202409081	8.56594717911511	4.37199958770769	0.0006808171082692254	8.56594717911511	7.9645141540866495	4.247927513443585	True	20.0	0.015873015873015872	1.0	Cldn4	B6AL10-5-RNA	KP	KP B6AL10-5
4	5	False	9.102602996677208	3.3053580662263338	0.4451631232047892	1.0423710267048671	5.797244930450874	11.222458992906247	5.640852699787707	4.530702787631697e-05	11.222458992906247	8.533524414856684	4.247927513443585	True	20.0	0.015873015873015872	1.0	Cldn4	KL155mix-control-2-RNA	KL	KL KL155
4	5	False	8.960350431484699	3.3053580662263338	0.7035536537017366	1.0423710267048671	5.654992365258365	9.683228713790088	6.878630049361326	2.9615638212586908e-05	9.683228713790088	7.9645141540866495	4.247927513443585	True	20.0	0.015873015873015872	1.0	Cldn4	KL47-1-untreated-1-RNA	KL	KL KL47
4	5	False	8.801619914313727	3.3053580662263338	0.7125209246459674	1.0423710267048671	5.496261848087394	9.367931242185396	6.89906001843495	3.598752598950832e-05	9.367931242185396	7.9645141540866495	4.247927513443585	True	20.0	0.015873015873015872	1.0	Cldn4	KLC-RNA	KL	KL KLC
4	5	False	8.689103039991668	3.3053580662263338	0.5596617526474951	1.0423710267048671	5.383744973765334	9.901998781513408	6.309733729331784	4.474623694731349e-05	9.901998781513408	7.9645141540866495	4.247927513443585	True	20.0	0.015873015873015872	1.0	Cldn4	KLD-RNA	KL	KL KLD
