scale	summary	cohort	nhej_set	ifn_set	n_nhej	n_ifn	cldn4_delta	tacstd2_delta	nhej_delta	ifn_delta	cldn4_cliff	tacstd2_cliff	nhej_cliff	ifn_cliff	cldn4_mw_p	tacstd2_mw_p	nhej_mw_p	ifn_mw_p	n_limbs	hit_nhej_down_ifn_up	strength_cliff	limb_cldn4_kl_gt_kp	limb_tacstd2_kl_gt_kp	limb_nhej_kl_lt_kp	limb_ifn_kl_gt_kp
cpm	median	all_10	NHEJ_CORE	IFN_OAS	11	7	5.25773578599209	2.36095272767544	-0.3626323855045426	-2.3544408593723913	1.0	1.0	-0.6	-0.76	0.007936507936507936	0.007936507936507936	0.15079365079365079	0.05555555555555555	3	False	1.84	True	True	True	False
cpm	median	all_10	NHEJ_KEGG	IFN_OAS	13	7	5.25773578599209	2.36095272767544	-0.36693790636554535	-2.3544408593723913	1.0	1.0	-0.6	-0.76	0.007936507936507936	0.007936507936507936	0.15079365079365079	0.05555555555555555	3	False	1.84	True	True	True	False
cpm	median	all_10	NHEJ_CORE	IFN_COMPACT	11	15	5.25773578599209	2.36095272767544	-0.3626323855045426	-3.0811544738627132	1.0	1.0	-0.6	-0.84	0.007936507936507936	0.007936507936507936	0.15079365079365079	0.031746031746031744	3	False	1.7600000000000002	True	True	True	False
cpm	median	all_10	NHEJ_CORE	IFN_HALLMARK_ALPHA	11	90	5.25773578599209	2.36095272767544	-0.3626323855045426	-1.580611082112056	1.0	1.0	-0.6	-0.84	0.007936507936507936	0.007936507936507936	0.15079365079365079	0.031746031746031744	3	False	1.7600000000000002	True	True	True	False
cpm	median	all_10	NHEJ_CORE	IFN_HALLMARK_GAMMA	11	186	5.25773578599209	2.36095272767544	-0.3626323855045426	-1.735991672068014	1.0	1.0	-0.6	-0.84	0.007936507936507936	0.007936507936507936	0.15079365079365079	0.031746031746031744	3	False	1.7600000000000002	True	True	True	False
cpm	median	all_10	NHEJ_KEGG	IFN_COMPACT	13	15	5.25773578599209	2.36095272767544	-0.36693790636554535	-3.0811544738627132	1.0	1.0	-0.6	-0.84	0.007936507936507936	0.007936507936507936	0.15079365079365079	0.031746031746031744	3	False	1.7600000000000002	True	True	True	False
cpm	median	all_10	NHEJ_KEGG	IFN_HALLMARK_ALPHA	13	90	5.25773578599209	2.36095272767544	-0.36693790636554535	-1.580611082112056	1.0	1.0	-0.6	-0.84	0.007936507936507936	0.007936507936507936	0.15079365079365079	0.031746031746031744	3	False	1.7600000000000002	True	True	True	False
cpm	median	all_10	NHEJ_KEGG	IFN_HALLMARK_GAMMA	13	186	5.25773578599209	2.36095272767544	-0.36693790636554535	-1.735991672068014	1.0	1.0	-0.6	-0.84	0.007936507936507936	0.007936507936507936	0.15079365079365079	0.031746031746031744	3	False	1.7600000000000002	True	True	True	False
cpm	median	drop_B6AL10-3	NHEJ_CORE	IFN_COMPACT	11	15	5.198525033965279	2.2971773010788663	-0.3681094859971292	-3.0940361898817557	1.0	1.0	-0.7	-1.0	0.015873015873015872	0.015873015873015872	0.1111111111111111	0.015873015873015872	3	False	1.7000000000000002	True	True	True	False
cpm	median	drop_B6AL10-3	NHEJ_CORE	IFN_HALLMARK_ALPHA	11	90	5.198525033965279	2.2971773010788663	-0.3681094859971292	-1.6119239416637505	1.0	1.0	-0.7	-1.0	0.015873015873015872	0.015873015873015872	0.1111111111111111	0.015873015873015872	3	False	1.7000000000000002	True	True	True	False
cpm	median	drop_B6AL10-3	NHEJ_CORE	IFN_HALLMARK_GAMMA	11	186	5.198525033965279	2.2971773010788663	-0.3681094859971292	-1.7504405965466976	1.0	1.0	-0.7	-1.0	0.015873015873015872	0.015873015873015872	0.1111111111111111	0.015873015873015872	3	False	1.7000000000000002	True	True	True	False
cpm	median	drop_B6AL10-3	NHEJ_CORE	IFN_OAS	11	7	5.198525033965279	2.2971773010788663	-0.3681094859971292	-2.3822525037064493	1.0	1.0	-0.7	-1.0	0.015873015873015872	0.015873015873015872	0.1111111111111111	0.015873015873015872	3	False	1.7000000000000002	True	True	True	False
normalized	median	all_10	NHEJ_CORE	IFN_HALLMARK_ALPHA	11	90	5.601777708628678	2.608459913041722	-0.08283131325025472	-1.4809593287667084	1.0	1.0	-0.44	-0.76	0.007936507936507936	0.007936507936507936	0.30952380952380953	0.05555555555555555	3	False	1.68	True	True	True	False
normalized	median	all_10	NHEJ_CORE	IFN_OAS	11	7	5.601777708628678	2.608459913041722	-0.08283131325025472	-2.964814689884089	1.0	1.0	-0.44	-0.76	0.007936507936507936	0.007936507936507936	0.30952380952380953	0.05555555555555555	3	False	1.68	True	True	True	False
normalized	median	all_10	NHEJ_KEGG	IFN_HALLMARK_ALPHA	13	90	5.601777708628678	2.608459913041722	-0.11202879143849565	-1.4809593287667084	1.0	1.0	-0.44	-0.76	0.007936507936507936	0.007936507936507936	0.30952380952380953	0.05555555555555555	3	False	1.68	True	True	True	False
normalized	median	all_10	NHEJ_KEGG	IFN_OAS	13	7	5.601777708628678	2.608459913041722	-0.11202879143849565	-2.964814689884089	1.0	1.0	-0.44	-0.76	0.007936507936507936	0.007936507936507936	0.30952380952380953	0.05555555555555555	3	False	1.68	True	True	True	False
normalized	median	all_10	NHEJ_CORE	IFN_COMPACT	11	15	5.601777708628678	2.608459913041722	-0.08283131325025472	-3.4545884578502264	1.0	1.0	-0.44	-0.84	0.007936507936507936	0.007936507936507936	0.30952380952380953	0.031746031746031744	3	False	1.6	True	True	True	False
normalized	median	all_10	NHEJ_CORE	IFN_HALLMARK_GAMMA	11	186	5.601777708628678	2.608459913041722	-0.08283131325025472	-1.566899080803653	1.0	1.0	-0.44	-0.84	0.007936507936507936	0.007936507936507936	0.30952380952380953	0.031746031746031744	3	False	1.6	True	True	True	False
normalized	median	all_10	NHEJ_KEGG	IFN_COMPACT	13	15	5.601777708628678	2.608459913041722	-0.11202879143849565	-3.4545884578502264	1.0	1.0	-0.44	-0.84	0.007936507936507936	0.007936507936507936	0.30952380952380953	0.031746031746031744	3	False	1.6	True	True	True	False
normalized	median	all_10	NHEJ_KEGG	IFN_HALLMARK_GAMMA	13	186	5.601777708628678	2.608459913041722	-0.11202879143849565	-1.566899080803653	1.0	1.0	-0.44	-0.84	0.007936507936507936	0.007936507936507936	0.30952380952380953	0.031746031746031744	3	False	1.6	True	True	True	False
normalized	median	drop_B6AL10-3	NHEJ_CORE	IFN_COMPACT	11	15	5.527992010664082	2.533859307330312	-0.10073908652447194	-3.4558800123735995	1.0	1.0	-0.6	-1.0	0.015873015873015872	0.015873015873015872	0.19047619047619047	0.015873015873015872	3	False	1.6	True	True	True	False
normalized	median	drop_B6AL10-3	NHEJ_CORE	IFN_HALLMARK_ALPHA	11	90	5.527992010664082	2.533859307330312	-0.10073908652447194	-1.5009414060625446	1.0	1.0	-0.6	-1.0	0.015873015873015872	0.015873015873015872	0.19047619047619047	0.015873015873015872	3	False	1.6	True	True	True	False
normalized	median	drop_B6AL10-3	NHEJ_CORE	IFN_HALLMARK_GAMMA	11	186	5.527992010664082	2.533859307330312	-0.10073908652447194	-1.5849887779831597	1.0	1.0	-0.6	-1.0	0.015873015873015872	0.015873015873015872	0.19047619047619047	0.015873015873015872	3	False	1.6	True	True	True	False
normalized	median	drop_B6AL10-3	NHEJ_CORE	IFN_OAS	11	7	5.527992010664082	2.533859307330312	-0.10073908652447194	-2.998603257567705	1.0	1.0	-0.6	-1.0	0.015873015873015872	0.015873015873015872	0.19047619047619047	0.015873015873015872	3	False	1.6	True	True	True	False
cpm	median	drop_B6AL10-3	NHEJ_KEGG	IFN_COMPACT	13	15	5.198525033965279	2.2971773010788663	-0.3446848889598524	-3.0940361898817557	1.0	1.0	-0.5	-1.0	0.015873015873015872	0.015873015873015872	0.2857142857142857	0.015873015873015872	3	False	1.5	True	True	True	False
cpm	median	drop_B6AL10-3	NHEJ_KEGG	IFN_HALLMARK_ALPHA	13	90	5.198525033965279	2.2971773010788663	-0.3446848889598524	-1.6119239416637505	1.0	1.0	-0.5	-1.0	0.015873015873015872	0.015873015873015872	0.2857142857142857	0.015873015873015872	3	False	1.5	True	True	True	False
cpm	median	drop_B6AL10-3	NHEJ_KEGG	IFN_HALLMARK_GAMMA	13	186	5.198525033965279	2.2971773010788663	-0.3446848889598524	-1.7504405965466976	1.0	1.0	-0.5	-1.0	0.015873015873015872	0.015873015873015872	0.2857142857142857	0.015873015873015872	3	False	1.5	True	True	True	False
cpm	median	drop_B6AL10-3	NHEJ_KEGG	IFN_OAS	13	7	5.198525033965279	2.2971773010788663	-0.3446848889598524	-2.3822525037064493	1.0	1.0	-0.5	-1.0	0.015873015873015872	0.015873015873015872	0.2857142857142857	0.015873015873015872	3	False	1.5	True	True	True	False
normalized	median	drop_B6AL10-3	NHEJ_KEGG	IFN_COMPACT	13	15	5.527992010664082	2.533859307330312	-0.09478362629255699	-3.4558800123735995	1.0	1.0	-0.3	-1.0	0.015873015873015872	0.015873015873015872	0.5555555555555556	0.015873015873015872	3	False	1.2999999999999998	True	True	True	False
normalized	median	drop_B6AL10-3	NHEJ_KEGG	IFN_HALLMARK_ALPHA	13	90	5.527992010664082	2.533859307330312	-0.09478362629255699	-1.5009414060625446	1.0	1.0	-0.3	-1.0	0.015873015873015872	0.015873015873015872	0.5555555555555556	0.015873015873015872	3	False	1.2999999999999998	True	True	True	False
normalized	median	drop_B6AL10-3	NHEJ_KEGG	IFN_HALLMARK_GAMMA	13	186	5.527992010664082	2.533859307330312	-0.09478362629255699	-1.5849887779831597	1.0	1.0	-0.3	-1.0	0.015873015873015872	0.015873015873015872	0.5555555555555556	0.015873015873015872	3	False	1.2999999999999998	True	True	True	False
normalized	median	drop_B6AL10-3	NHEJ_KEGG	IFN_OAS	13	7	5.527992010664082	2.533859307330312	-0.09478362629255699	-2.998603257567705	1.0	1.0	-0.3	-1.0	0.015873015873015872	0.015873015873015872	0.5555555555555556	0.015873015873015872	3	False	1.2999999999999998	True	True	True	False
fpkm	median	all_10	NHEJ_KEGG	IFN_HALLMARK_ALPHA	13	90	5.483484879351163	2.479822446737872	0.3077034551675224	-0.9493284805288615	1.0	1.0	0.2	-0.44	0.007936507936507936	0.007936507936507936	0.6904761904761905	0.30952380952380953	2	False	1.36	True	True	False	False
fpkm	median	all_10	NHEJ_KEGG	IFN_OAS	13	7	5.483484879351163	2.479822446737872	0.3077034551675224	-0.9356094127300452	1.0	1.0	0.2	-0.44	0.007936507936507936	0.007936507936507936	0.6904761904761905	0.30952380952380953	2	False	1.36	True	True	False	False
fpkm	median	drop_B6AL10-3	NHEJ_KEGG	IFN_HALLMARK_ALPHA	13	90	5.415163965642174	2.412303874959811	0.33403798942399243	-0.967848558082482	1.0	1.0	0.2	-0.6	0.015873015873015872	0.015873015873015872	0.7301587301587302	0.19047619047619047	2	False	1.2000000000000002	True	True	False	False
