cohort	family	n_units	n_cells	spearman_rho	spearman_p	spearman_usable	q4_n	q4_n_q1	q4_n_q4	q4_median_q1	q4_median_q4	q4_delta_median	q4_r_rb	q4_p	q4_usable	ifn_mhc_down
KP_n20	IFN	15	2610	0.33928571428571425	0.2160289253419548	True	15	4	4	1.4247210116184832	1.6531190901298927	0.22839807851140947	0.625	0.2	True	False
KP_n20	MHC-I/APM	15	2610	0.13928571428571426	0.6205460876279013	True	15	4	4	2.621022123404706	2.8139209096238336	0.1928987862191276	0.25	0.6857142857142857	True	False
KP_n20	TJ	15	2610	0.7571428571428571	0.0010811081941858344	True	15	4	4	1.8860804848097517	2.4364482259727955	0.5503677411630439	1.0	0.02857142857142857	True	
KplusKP_n20	IFN	24	3681	0.2695652173913043	0.20272227336292592	True	24	6	6	1.5389682216158684	1.608033538112627	0.06906531649675851	0.33333333333333326	0.3939393939393939	True	False
KplusKP_n20	MHC-I/APM	24	3681	-0.28782608695652173	0.17261549938271945	True	24	6	6	3.207197662381776	3.036359907572563	-0.17083775480921304	-0.33333333333333337	0.3939393939393939	True	True
KplusKP_n20	TJ	24	3681	0.7365217391304346	4.065277793032388e-05	True	24	6	6	2.006812577995793	2.388718871641422	0.381906293645629	0.9444444444444444	0.004329004329004329	True	
all_n20	IFN	28	3880	0.0071154898741105635	0.9713338933815487	True	28	7	7	1.5861098022355096	1.5910848183264783	0.004975016090968731	-0.10204081632653061	0.8047785547785549	True	False
all_n20	MHC-I/APM	28	3880	-0.49972632731253414	0.006775904304272367	True	28	7	7	3.66423308306936	2.99968348034414	-0.66454960272522	-0.8367346938775511	0.006993006993006993	True	True
all_n20	TJ	28	3880	0.7263273125342091	1.2099557235737491e-05	True	28	7	7	1.9295753471958947	2.380506103239311	0.45093075604341615	0.9183673469387754	0.002331002331002331	True	
KP_all	IFN	16	2614	0.10294117647058824	0.7044103818167708	True	16	4	4	1.6294468151327801	1.6531190901298927	0.023672274997112552	0.125	0.8857142857142857	True	False
KP_all	MHC-I/APM	16	2614	-0.06176470588235294	0.8202418775044894	True	16	4	4	3.199486339987545	2.8139209096238336	-0.3855654303637115	-0.25	0.6857142857142857	True	True
KP_all	TJ	16	2614	0.7764705882352941	0.0004043508405454708	True	16	4	4	2.006488789237918	2.4364482259727955	0.42995943673487735	1.0	0.02857142857142857	True	
deposited_mouseID_KP30w_tumors	IFN	12	1554	0.5664335664335665	0.054842119775407906	True	12	3	3	1.1447719154838616	1.5632730618856796	0.418501146401818	0.7777777777777777	0.2	True	False
deposited_mouseID_KP30w_tumors	MHC-I/APM	12	1554	0.25874125874125875	0.41677476889913817	True	12	3	3	1.9539058705296912	2.2680129456049465	0.31410707507525526	0.33333333333333326	0.7	True	False
deposited_mouseID_KP30w_tumors	TJ	12	1554	0.8601398601398602	0.000331668339126921	True	12	3	3	1.7853174236273983	2.5726243469139525	0.7873069232865542	1.0	0.1	True	
