unit	unit_col	animal	mouse_id	genotype	week	timesimple	n_cells	n_tumors	Cldn4_mean	Cldn4_pct_pos	IFN_mean	MHC-I/APM_mean	TJ_mean	Epcam_mean	Ptprc_pct_pos	any_tnk_marker_pct
KP_12w_ND_m1	animal	KP_12w_ND_m1	1	KP	12w	06_KP_12w_ND	131	1	4.012416809259207	0.6870229007633588	1.5458180641333383	2.5138229225848043	2.4234457200424684	7.586301677465009	0.007633587786259542	0.04580152671755725
KP_12w_ND_m2	animal	KP_12w_ND_m2	1	KP	12w	06_KP_12w_ND	124	1	4.941851472271285	0.7580645161290323	1.8075594245904014	3.073036334800986	2.6003128467404433	7.162665176106438	0.04032258064516129	0.056451612903225805
KP_12w_ND_m3	animal	KP_12w_ND_m3	1	KP	12w	06_KP_12w_ND	74	1	4.575462543329693	0.7702702702702703	1.5910848183264783	2.5548054844466805	2.4759648119020587	7.603092603679691	0.013513513513513514	0.02702702702702703
KP_12w_ND_m4	animal	KP_12w_ND_m4	1	KP	12w	06_KP_12w_ND	62	1	3.713092031824252	0.43548387096774194	1.6179666826682249	3.091274189754563	2.2178261931585186	6.364098839211003	0.016129032258064516	0.03225806451612903
KP_12w_ND_m5	animal	KP_12w_ND_m5	1	KP	12w	06_KP_12w_ND	48	1	4.505916668124287	0.6666666666666666	1.3219530991241253	2.2816010417194756	2.1746935086935797	7.243096943701468	0.1875	0.375
KP_12w_ND_m6	animal	KP_12w_ND_m6	1	KP	12w	06_KP_12w_ND	52	1	3.4517444009702967	0.5192307692307693	1.5353480691469932	2.9239344913440917	2.1543887836065445	7.5942448417687265	0.1346153846153846	0.4807692307692308
KP_20w_ND_m2	animal	KP_20w_ND_m2	1	KP	20w	07_KP_20w_ND	43	1	4.556387791013466	0.7441860465116279	1.6249822578987756	2.99968348034414	2.2746481464999797	7.302877974501868	0.023255813953488372	0.06976744186046512
KP_20w_ND_m3	animal	KP_20w_ND_m3	1	KP	20w	07_KP_20w_ND	60	1	5.958287187039804	0.8166666666666667	1.7151533619333073	3.1462698734725185	2.3969316400435328	7.555402503661901	0.016666666666666666	0.016666666666666666
KP_20w_ND_m4	animal	KP_20w_ND_m4	1	KP	20w	07_KP_20w_ND	173	1	3.0143118199471437	0.5606936416184971	1.6141872192378	2.6021127042392114	2.3255618350548053	7.304833145362567	0.10982658959537572	0.1329479768786127
KP_20w_ND_m5	animal	KP_20w_ND_m5	1	KP	20w	07_KP_20w_ND	126	1	1.4945639439444076	0.31746031746031744	1.3589000609565132	2.1833106934131994	1.7500283400509358	6.152595897145051	0.007936507936507936	0.007936507936507936
KP_20w_ND_m6	animal	KP_20w_ND_m6	1	KP	20w	07_KP_20w_ND	136	1	1.5981494486128138	0.33088235294117646	1.7683516679851068	3.058733553396213	2.2052373096215576	7.429937772027098	0.014705882352941176	0.029411764705882353
KP_2w_ND_m2	animal	KP_2w_ND_m2	1	KP	2w	02_KorKP_early_ND	27	1	1.6224947511610195	0.2962962962962963	1.4905419622804532	3.3402391265788776	1.9614774252225662	5.7278157629481985	0.0	0.0
KP_30w_ND_m1	animal	KP_30w_ND_m1	4	KP	30w	08_KP_30w_ND	520	4	2.944708570475915	0.4480769230769231	1.1760350452553967	1.9098752154665437	1.8106835443969374	5.131976548573859	0.025	0.03076923076923077
KP_30w_ND_m2	animal	KP_30w_ND_m2	5	KP	30w	08_KP_30w_ND	619	5	5.225930476661118	0.7754442649434572	1.5003266718943198	2.368960930718731	2.380506103239311	7.100849005320181	0.01615508885298869	0.030694668820678513
KP_30w_ND_m3	animal	KP_30w_ND_m3	3	KP	30w	08_KP_30w_ND	415	3	4.391503474931386	0.6674698795180722	1.6089974536994784	2.673201995030348	2.386114574850308	7.4649931886762415	0.02891566265060241	0.033734939759036145
