contrast	n	rho	p	q
CLDN4 vs Slingshot PT	9	-0.39999999999999997	0.286105101908313	0.40872157415473287
CLDN4 vs Slingshot CLDN4-ward PT	9	0.2333333333333333	0.5456987782182728	0.606331975798081
CLDN4 vs AT2 score	9	0.16666666666666669	0.668231040071504	0.668231040071504
CLDN4 vs barrier/keratin (no CLDN4)	9	0.5166666666666667	0.15439012098622507	0.38597530246556266
CLDN4 vs IFN (Hallmark α∪γ)	9	0.5166666666666667	0.15439012098622507	0.38597530246556266
barrier/keratin vs Slingshot PT	9	-0.8499999999999999	0.0037047773275858125	0.03704777327585813
IFN vs Slingshot PT	9	0.39999999999999997	0.286105101908313	0.40872157415473287
CLDN4 vs TACSTD2 (comparator)	9	0.7999999999999999	0.009627924725379839	0.04813962362689919
SFTPC vs Slingshot PT (control)	9	0.3666666666666667	0.3317398014330152	0.414674751791269
AT2 score vs Slingshot PT (control)	9	-0.43333333333333335	0.24395243588005172	0.40872157415473287
