module	requested	used_symbol	present	n_umi_all	pct_cells_all
nhej	XRCC6	XRCC6	True	64859	35.13267626990144
nhej	XRCC5	XRCC5	True	134800	52.772663273042355
nhej	PRKDC	PRKDC	True	51987	29.155204158994906
nhej	LIG4	LIG4	True	9520	8.424130835048196
nhej	XRCC4	XRCC4	True	5696	5.1716668471785985
nhej	NHEJ1		False	0	0.0
nhej	DCLRE1C	DCLRE1C	True	8335	7.6324055020036825
nhej	PAXX	PAXX	True	17105	14.694032275533415
nhej	PNKP	PNKP	True	10662	9.570020578360229
nhej	APLF	APLF	True	1281	1.2357846853677028
nhej	POLL	POLL	True	4156	4.038773962958952
nhej	POLM	POLM	True	6991	6.234160077981155
sting	CGAS	CGAS	True	22084	16.045705621141558
sting	STING1	TMEM173	True	41887	24.43842738004982
sting	TBK1	TBK1	True	15373	13.373768006065202
sting	IKBKE	IKBKE	True	13464	11.260695331961443
sting	IRF3	IRF3	True	36454	27.43745261561789
sting_no_irf3	CGAS	CGAS	True	22084	16.045705621141558
sting_no_irf3	STING1	TMEM173	True	41887	24.43842738004982
sting_no_irf3	TBK1	TBK1	True	15373	13.373768006065202
sting_no_irf3	IKBKE	IKBKE	True	13464	11.260695331961443
ifn_effector	ISG15	ISG15	True	107257	29.61550958518358
ifn_effector	IFI6	IFI6	True	833697	55.21932199718401
ifn_effector	IFI27	IFI27	True	203384	20.07364886819019
ifn_effector	IFI44	IFI44	True	36880	21.03541644102675
ifn_effector	IFI44L	IFI44L	True	59462	20.542618867107116
ifn_effector	IFIT1	IFIT1	True	23809	10.922776995559406
ifn_effector	IFIT2	IFIT2	True	44179	15.90165709953428
ifn_effector	IFIT3	IFIT3	True	74406	23.490739737896675
ifn_effector	IFIT5	IFIT5	True	16640	13.31853135492256
ifn_effector	IFITM1	IFITM1	True	13362	11.241200043322863
ifn_effector	IFITM2	IFITM2	True	359903	64.41784901982021
ifn_effector	IFITM3	IFITM3	True	334611	48.00606520090978
ifn_effector	MX1	MX1	True	129784	34.12433661865049
ifn_effector	MX2	MX2	True	39075	21.94519657749377
ifn_effector	OAS1	OAS1	True	53129	23.22863641286689
ifn_effector	OAS2	OAS2	True	56319	28.548684068016893
ifn_effector	OAS3	OAS3	True	54759	24.826167009639338
ifn_effector	OASL	OASL	True	21873	14.24780678002816
ifn_effector	RSAD2	RSAD2	True	27151	12.152063251380916
ifn_effector	USP18	USP18	True	8826	6.983645618975415
ifn_effector	BST2	BST2	True	76882	31.8282248456623
ifn_effector	XAF1	XAF1	True	116964	44.956135600563194
ifn_effector	SAMD9	SAMD9	True	58639	31.247698472869057
ifn_effector	SAMD9L	SAMD9L	True	68664	34.950720242608035
ifn_effector	HERC5	HERC5	True	18911	13.015271309433555
ifn_effector	HERC6	HERC6	True	10547	8.653742012347015
ifn_effector	EPSTI1	EPSTI1	True	68853	30.17545759774721
ifn_effector	CMPK2	CMPK2	True	9813	7.411458897433121
ifn_effector	PARP9	PARP9	True	84182	37.208924509910105
ifn_effector	DTX3L	DTX3L	True	32020	22.273367269576518
ifn_effector	LY6E	LY6E	True	121870	39.79421639770389
ifn_effector	SP100	SP100	True	103275	53.76042456406368
ifn_effector	SP110	SP110	True	100303	50.10397487273909
ifn_effector	PLSCR1	PLSCR1	True	125262	38.53785335210658
ifn_isg40	ISG15	ISG15	True	107257	29.61550958518358
ifn_isg40	IFI6	IFI6	True	833697	55.21932199718401
ifn_isg40	IFI27	IFI27	True	203384	20.07364886819019
ifn_isg40	IFI44	IFI44	True	36880	21.03541644102675
ifn_isg40	IFI44L	IFI44L	True	59462	20.542618867107116
ifn_isg40	IFIT1	IFIT1	True	23809	10.922776995559406
ifn_isg40	IFIT2	IFIT2	True	44179	15.90165709953428
ifn_isg40	IFIT3	IFIT3	True	74406	23.490739737896675
ifn_isg40	IFIT5	IFIT5	True	16640	13.31853135492256
ifn_isg40	IFITM1	IFITM1	True	13362	11.241200043322863
ifn_isg40	IFITM2	IFITM2	True	359903	64.41784901982021
ifn_isg40	IFITM3	IFITM3	True	334611	48.00606520090978
ifn_isg40	MX1	MX1	True	129784	34.12433661865049
ifn_isg40	MX2	MX2	True	39075	21.94519657749377
ifn_isg40	OAS1	OAS1	True	53129	23.22863641286689
ifn_isg40	OAS2	OAS2	True	56319	28.548684068016893
ifn_isg40	OAS3	OAS3	True	54759	24.826167009639338
ifn_isg40	OASL	OASL	True	21873	14.24780678002816
ifn_isg40	RSAD2	RSAD2	True	27151	12.152063251380916
ifn_isg40	USP18	USP18	True	8826	6.983645618975415
ifn_isg40	BST2	BST2	True	76882	31.8282248456623
ifn_isg40	XAF1	XAF1	True	116964	44.956135600563194
ifn_isg40	STAT1	STAT1	True	244376	54.407018303909894
ifn_isg40	STAT2	STAT2	True	34654	23.335860500379074
ifn_isg40	IRF7	IRF7	True	40295	24.904148164193654
ifn_isg40	IRF9	IRF9	True	1207	1.2541969024152495
ifn_isg40	DDX58	DDX58	True	18823	14.15791183797249
ifn_isg40	IFIH1	IFIH1	True	39344	22.811653850319505
ifn_isg40	SAMD9	SAMD9	True	58639	31.247698472869057
ifn_isg40	SAMD9L	SAMD9L	True	68664	34.950720242608035
ifn_isg40	HERC5	HERC5	True	18911	13.015271309433555
ifn_isg40	HERC6	HERC6	True	10547	8.653742012347015
ifn_isg40	EPSTI1	EPSTI1	True	68853	30.17545759774721
ifn_isg40	CMPK2	CMPK2	True	9813	7.411458897433121
ifn_isg40	PARP9	PARP9	True	84182	37.208924509910105
ifn_isg40	DTX3L	DTX3L	True	32020	22.273367269576518
