name	role	n_defined	n_present	genes_present	genes_missing
CLDN4	anchor	1	1	CLDN4	
CXCL9	gene	1	1	CXCL9	
CXCL10	gene	1	1	CXCL10	
CXCL13	gene	1	1	CXCL13	
CXCL11	gene	1	1	CXCL11	
CD8A	gene	1	1	CD8A	
CD274	gene	1	1	CD274	
GEP18	gep_like	18	18	CCL5,CD27,CD274,CD276,CD8A,CMKLR1,CXCL9,CXCR6,HLA-DQA1,HLA-DRB1,HLA-E,IDO1,LAG3,NKG7,PDCD1LG2,PSMB10,STAT1,TIGIT	
IFN_compact	context_known	8	8	IFNG,STAT1,IRF1,CXCL9,CXCL10,CXCL11,IDO1,GBP1	
CHEMO3	sensitivity	3	3	CXCL9,CXCL10,CXCL13	
epithelial	covariate	4	4	EPCAM,KRT8,KRT18,KRT19	
