library	tissue	treatment	ligand	receptor	note	n_cells	n_myeloid	n_TNK	pct_ligand	pct_receptor	pct_product	mean_ligand_log1p_cp10k	mean_receptor_log1p_cp10k	pct_receptor_myeloid	pct_receptor_TNK	mean_receptor_myeloid
Tumor anti-LILRB2	tumor	anti-LILRB2	CLDN4	LILRB2	paper CLDN–LILRB2	6940	50	4164	0.043227665706051875	0.11527377521613834	4.983016219717796e-05	0.0003347096499055624	0.0020717589650303125	10.0	0.0	0.1959189772605896
Tumor anti-LILRB2	tumor	anti-LILRB2	CLDN4	LILRB5	paper CLDN–LILRB5	6940	50	4164	0.043227665706051875	0.014409221902017292	6.228770274647245e-06	0.0003347096499055624	0.00019771442748606205	0.0	0.0	0.0
Tumor anti-LILRB2	tumor	anti-LILRB2	CLDN1	LILRB2	other claudin–LILRB2	6940	50	4164	0.0	0.11527377521613834	0.0	0.0	0.0020717589650303125	10.0	0.0	0.1959189772605896
Tumor anti-LILRB2	tumor	anti-LILRB2	CLDN3	LILRB2	other claudin–LILRB2	6940	50	4164	0.014409221902017292	0.11527377521613834	1.6610054065725985e-05	0.0001266072504222393	0.0020717589650303125	10.0	0.0	0.1959189772605896
Tumor anti-LILRB2	tumor	anti-LILRB2	CLDN7	LILRB2	other claudin–LILRB2	6940	50	4164	0.05763688760806917	0.11527377521613834	6.644021626290394e-05	0.0009801308624446392	0.0020717589650303125	10.0	0.0	0.1959189772605896
Tumor anti-LILRB2	tumor	anti-LILRB2	CLDN18	LILRB2	paper CLDN18.2–LILRB2	6940	50	4164	0.0	0.11527377521613834	0.0	0.0	0.0020717589650303125	10.0	0.0	0.1959189772605896
Tumor anti-LILRB2	tumor	anti-LILRB2	CLDN18	LILRB5	paper CLDN18–LILRB5	6940	50	4164	0.0	0.014409221902017292	0.0	0.0	0.00019771442748606205	0.0	0.0	0.0
Tumor anti-LILRB2	tumor	anti-LILRB2	HLA-A	LILRB1	classical MHC-I–LILRB1	6940	50	4164	91.78674351585015	1.080691642651297	0.9919316662375738	2.852916955947876	0.015881570056080818	10.0	0.04803073967339097	0.14973628520965576
Tumor anti-LILRB2	tumor	anti-LILRB2	HLA-B	LILRB1	classical MHC-I–LILRB1	6940	50	4164	94.30835734870317	1.080691642651297	1.0191825361891553	3.036059617996216	0.015881570056080818	10.0	0.04803073967339097	0.14973628520965576
Tumor anti-LILRB2	tumor	anti-LILRB2	HLA-C	LILRB1	classical MHC-I–LILRB1	6940	50	4164	85.60518731988472	1.080691642651297	0.9251281050419818	2.364908456802368	0.015881570056080818	10.0	0.04803073967339097	0.14973628520965576
Tumor anti-LILRB2	tumor	anti-LILRB2	HLA-A	LILRB2	classical MHC-I–LILRB2	6940	50	4164	91.78674351585015	0.11527377521613834	0.10580604439867454	2.852916955947876	0.0020717589650303125	10.0	0.0	0.1959189772605896
Tumor anti-LILRB2	tumor	anti-LILRB2	HLA-B	LILRB2	classical MHC-I–LILRB2	6940	50	4164	94.30835734870317	0.11527377521613834	0.10871280386017658	3.036059617996216	0.0020717589650303125	10.0	0.0	0.1959189772605896
Tumor anti-LILRB2	tumor	anti-LILRB2	HLA-C	LILRB2	classical MHC-I–LILRB2	6940	50	4164	85.60518731988472	0.11527377521613834	0.09868033120447807	2.364908456802368	0.0020717589650303125	10.0	0.0	0.1959189772605896
Tumor anti-LILRB2	tumor	anti-LILRB2	HLA-G	LILRB1	nonclassical MHC-I–LILRB1	6940	50	4164	0.30259365994236315	1.080691642651297	0.003270104394189804	0.004805855453014374	0.015881570056080818	10.0	0.04803073967339097	0.14973628520965576
Tumor anti-LILRB2	tumor	anti-LILRB2	HLA-G	LILRB2	nonclassical MHC-I–LILRB2	6940	50	4164	0.30259365994236315	0.11527377521613834	0.00034881113538024573	0.004805855453014374	0.0020717589650303125	10.0	0.0	0.1959189772605896
Tumor anti-LILRB2	tumor	anti-LILRB2	HLA-E	LILRB1	HLA-E–LILRB1	6940	50	4164	82.80979827089338	1.080691642651297	0.894918569209943	2.1962730884552	0.015881570056080818	10.0	0.04803073967339097	0.14973628520965576
Tumor anti-LILRB2	tumor	anti-LILRB2	HLA-E	LILRB2	HLA-E–LILRB2	6940	50	4164	82.80979827089338	0.11527377521613834	0.09545798071572724	2.1962730884552	0.0020717589650303125	10.0	0.0	0.1959189772605896
Tumor anti-LILRB2	tumor	anti-LILRB2	HLA-F	LILRB1	HLA-F–LILRB1	6940	50	4164	12.55043227665706	1.080691642651297	0.13563147273044376	0.22834362089633942	0.015881570056080818	10.0	0.04803073967339097	0.14973628520965576
Tumor anti-LILRB2	tumor	anti-LILRB2	HLA-F	LILRB2	HLA-F–LILRB2	6940	50	4164	12.55043227665706	0.11527377521613834	0.014467357091247333	0.22834362089633942	0.0020717589650303125	10.0	0.0	0.1959189772605896
Tumor anti-LILRB2	tumor	anti-LILRB2	ANGPTL2	LILRB2	known LILRB2 ligand	6940	50	4164	0.0	0.11527377521613834	0.0	0.0	0.0020717589650303125	10.0	0.0	0.1959189772605896
Tumor anti-LILRB2	tumor	anti-LILRB2	CD274	PDCD1	PD-L1–PD-1	6940	50	4164	0.6340057636887608	4.265129682997118	0.0270411680190019	0.009743932634592056	0.08266960084438324	0.0	5.595581171950048	0.0
Tumor anti-LILRB2	tumor	anti-LILRB2	CD47	SIRPA	don't-eat-me	6940	50	4164	27.219020172910664	1.2536023054755043	0.34121826441545067	0.5051023364067078	0.011238896287977695	20.0	0.0	0.3365696370601654
Tumor anti-LILRB2	tumor	anti-LILRB2	HLA-E	KLRC1	NKG2A	6940	50	4164	82.80979827089338	0.69164265129683	0.5727478842943635	2.1962730884552	0.014718163758516312	0.0	0.8405379442843419	0.0
Tumor anti-LILRB2	tumor	anti-LILRB2	LGALS9	HAVCR2	galectin-9–TIM3	6940	50	4164	12.838616714697407	1.6138328530259365	0.20719381441586593	0.23409177362918854	0.02983553521335125	10.0	1.8491834774255522	0.11322681605815887
Tumor anti-LILRB2	tumor	anti-LILRB2	NECTIN2	TIGIT	nectin–TIGIT	6940	50	4164	0.1729106628242075	8.256484149855908	0.014276341469491482	0.0014801096403971314	0.16647914052009583	0.0	11.575408261287222	0.0
Tumor anti-LILRB2	tumor	anti-LILRB2	PVR	TIGIT	PVR–TIGIT	6940	50	4164	0.24495677233429394	8.256484149855908	0.020224817081779603	0.0025154943577945232	0.16647914052009583	0.0	11.575408261287222	0.0
Tumor isotype	tumor	isotype	CLDN4	LILRB2	paper CLDN–LILRB2	4261	22	1228	0.04693733865289838	0.30509270124383947	0.00014320239438809644	0.0002539378183428198	0.005382090341299772	22.727272727272727	0.0	0.42878371477127075
Tumor isotype	tumor	isotype	CLDN4	LILRB5	paper CLDN–LILRB5	4261	22	1228	0.04693733865289838	0.0	0.0	0.0002539378183428198	0.0	0.0	0.0	0.0
Tumor isotype	tumor	isotype	CLDN1	LILRB2	other claudin–LILRB2	4261	22	1228	0.0	0.30509270124383947	0.0	0.0	0.005382090341299772	22.727272727272727	0.0	0.42878371477127075
Tumor isotype	tumor	isotype	CLDN3	LILRB2	other claudin–LILRB2	4261	22	1228	0.16428068528514433	0.30509270124383947	0.0005012083803583375	0.0012274817563593388	0.005382090341299772	22.727272727272727	0.0	0.42878371477127075
Tumor isotype	tumor	isotype	CLDN7	LILRB2	other claudin–LILRB2	4261	22	1228	0.11734334663224597	0.30509270124383947	0.00035800598597024116	0.0013436786830425262	0.005382090341299772	22.727272727272727	0.0	0.42878371477127075
Tumor isotype	tumor	isotype	CLDN18	LILRB2	paper CLDN18.2–LILRB2	4261	22	1228	0.0	0.30509270124383947	0.0	0.0	0.005382090341299772	22.727272727272727	0.0	0.42878371477127075
Tumor isotype	tumor	isotype	CLDN18	LILRB5	paper CLDN18–LILRB5	4261	22	1228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor isotype	tumor	isotype	HLA-A	LILRB1	classical MHC-I–LILRB1	4261	22	1228	85.35555034029571	4.318235156066651	3.6858533824488173	2.2706997394561768	0.07276375591754913	22.727272727272727	0.40716612377850164	0.4334791302680969
Tumor isotype	tumor	isotype	HLA-B	LILRB1	classical MHC-I–LILRB1	4261	22	1228	92.91246186341235	4.318235156066651	4.012178592552892	2.647207736968994	0.07276375591754913	22.727272727272727	0.40716612377850164	0.4334791302680969
Tumor isotype	tumor	isotype	HLA-C	LILRB1	classical MHC-I–LILRB1	4261	22	1228	87.60854259563483	4.318235156066651	3.7831428860823295	2.2815933227539062	0.07276375591754913	22.727272727272727	0.40716612377850164	0.4334791302680969
Tumor isotype	tumor	isotype	HLA-A	LILRB2	classical MHC-I–LILRB2	4261	22	1228	85.35555034029571	0.30509270124383947	0.26041355419475337	2.2706997394561768	0.005382090341299772	22.727272727272727	0.0	0.42878371477127075
Tumor isotype	tumor	isotype	HLA-B	LILRB2	classical MHC-I–LILRB2	4261	22	1228	92.91246186341235	0.30509270124383947	0.2834691396912369	2.647207736968994	0.005382090341299772	22.727272727272727	0.0	0.42878371477127075
