set	label	interaction_high_n	interaction_high_mean	interaction_high_wilcoxon_p	interaction_low_n	interaction_low_mean	interaction_low_wilcoxon_p	naive_mean_KO_minus_WT	naive_HR_minus_NHEJ
DDR_TXN_CORE	DDR transcript core	10	0.07633265260000004	0.431640625	10	-0.0359046878	1.0	0.18811847309999993	0.1764663523888889
HALLMARK_P53_PATHWAY	Hallmark p53	184	0.2174721347663044	0.00013688783846817673	183	0.09133341183060109	0.01603399718672525	0.018150662233695655	0.1764663523888889
GO_P53_MEDIATOR_0030330	GO p53 mediator	31	0.08428106412903223	0.5948144253343344	31	0.002603072999999997	0.9768865816295147	0.08821829922580646	0.1764663523888889
KEGG_P53_mmu04115	KEGG p53	66	-0.1345363849242424	0.11533447705363323	66	-0.23499494366666668	0.0010370421162801606	0.17413287230303032	0.1764663523888889
HALLMARK_DNA_REPAIR	Hallmark DNA repair	144	-0.00883793424305555	0.8700988220360177	143	-0.037916265874125867	0.8073565537125847	0.05568558404166665	0.1764663523888889
DSB_CHROMATIN_CORE	DSB chromatin core	10	-0.21541708410000004	0.130859375	10	-0.26732124970000004	0.064453125	0.2077071004	0.1764663523888889
GO_DSB_CHROMATIN_0140861	GO DSB chromatin	14	-0.2829893587142857	0.067626953125	14	-0.17561269621428569	0.267578125	0.09211350392857143	0.1764663523888889
REACTOME_DSB_SENSING_R-HSA-5693548	Reactome DSB sensing	6	-0.06359036799999997	0.84375	6	-0.138016811	0.84375	0.027513032333333336	0.1764663523888889
HR_CORE	HR core	18	-0.2951875085	0.0138702392578125	17	-0.32524990941176474	0.0714111328125	0.1471123606111111	0.1764663523888889
KEGG_HR_mmu03440	KEGG HR	37	-0.10561196094594594	0.09129394091723952	36	-0.14710453988888889	0.07973560818936676	0.05119406756756757	0.1764663523888889
GO_HR_0000724	GO HR	94	-0.15787012164893616	0.0016504251567858062	92	-0.15481062246739133	0.004057000489603026	0.06657307045263158	0.1764663523888889
REACTOME_HDR_R-HSA-5685942	Reactome HDR	62	-0.12602910456451613	0.10308575357956214	60	-0.1493113803666666	0.0421736612655226	0.14977264831746034	0.1764663523888889
NHEJ_CORE	NHEJ core	9	-0.0323164121111111	0.91015625	9	-0.028343565444444448	1.0	-0.02935399177777778	0.1764663523888889
STING_CORE	STING core	6	0.15015082483333334	0.5625	6	-0.00319171366666667	1.0	0.06087839766666666	0.1764663523888889
CYTOSOLIC_SENSORS_BEYOND	Sensors beyond cGAS/STING	10	0.04284718490000003	0.845703125	10	-0.1214963341	0.556640625	0.14636866920000002	0.1764663523888889
KEGG_CYTOSOLIC_BEYOND_CGAS_STING	KEGG cytosolic DNA minus cGAS/STING/IFN	22	0.030645085772727267	0.6101517677307129	22	-0.03192275922727274	0.898735523223877	0.08583855163636364	0.1764663523888889
AIM2_CORE	AIM2 core	3	0.23167287800000003		3	0.15756179533333334		-0.09726949666666668	0.1764663523888889
ZBP1_CORE	ZBP1 core	3	-0.08383362833333335		3	-0.525175379		0.45122784000000005	0.1764663523888889
POLR3_CYTOSOLIC	RNA pol III cytosolic	12	0.012447924416666664	0.6220703125	12	0.012707326916666649	0.67724609375	-0.009450201333333333	0.1764663523888889
MICRONUCLEUS_ENVELOPE	Micronucleus envelope proxy	8	0.078655285125	0.640625	8	-0.05862465587500002	0.546875	0.142055271625	0.1764663523888889
GO_HOMOLOGOUS_CHROMOSOME_SEGREGATION_0045143	GO chromosome segregation	8	0.05176087199999999	0.7421875	8	0.01110219175000001	0.9453125	-0.10992392399999999	0.1764663523888889
