symbol	class	logFC	logCPM	author_PValue	author_FDR
Cldn4	target	-6.061296179	2.250629984	1.7663E-29	4.0673E-26
Cldn3	claudin	0.091112223	7.125918582	0.523842584	1
Cldn7	claudin	0.112854612	5.420554985	0.473673217	1
Cldn5	claudin	0.208424808	8.807902207	0.135865801	0.683571603
Cldn1	claudin	-0.079914082	3.826547345	0.718607969	1
Cldn18	claudin	-0.452490177	9.995127489	0.041302892	0.376994602
Cldn8	claudin	-0.549220911	3.517416524	0.012443968	0.188614757
Cldn15	claudin	-0.608159076	3.186089731	0.059090517	0.450970347
Cldn10	claudin	-0.100039144	4.379913001	0.656163109	1
Cldn12	claudin	-0.039337491	5.716604448	0.79185611	1
Cldn23	claudin	-0.549085464	2.444401727	0.081036061	0.529945075
Cldn25	claudin	0.136843136	5.726363415	0.334724558	0.990144039
Tacstd2	epithelial	-0.144934323	5.894486173	0.485961384	1
Epcam	epithelial	-0.088099852	5.990073081	0.527066536	1
Cdh1	epithelial	-0.139780571	8.921905662	0.372915549	1
Tjp1	junction	-0.103722846	9.291946899	0.459751347	1
Ocln	junction	-0.045588289	6.309162954	0.764313783	1
F11r	junction	-0.117393214	7.7934684	0.461547387	1
Actb	housekeeping	-0.022967572	10.68658667	0.871199485	1
Gapdh	housekeeping	0.135883428	0.572558079	0.889926398	1
Isg15	ifn_mhc	1.075372735	2.786682884	3.92718E-05	0.003095569
B2m	ifn_mhc	0.655249264	9.732933766	0.000930043	0.033588316
Nlrc5	ifn_mhc	0.747974933	4.594037806	0.004173122	0.092615153
