set	set_class	left_out	left_out_logFC	left_out_FDR	mean_without	delta_vs_full
HALLMARK_DNA_REPAIR	repair	Aaas	-0.024349861	1.0	0.05006455072142857	0.0005277617852583599
HALLMARK_DNA_REPAIR	repair	Ada	0.232884795	1.0	0.04822716032142856	-0.0013096286147416467
HALLMARK_DNA_REPAIR	repair	Adcy6	-0.044906961	1.0	0.050211387149999995	0.0006745982138297857
HALLMARK_DNA_REPAIR	repair	Adrm1	0.262380271	0.483253063	0.048016478349999996	-0.0015203105861702135
HALLMARK_DNA_REPAIR	repair	Ago4	0.00185496	1.0	0.049877373428571424	0.00034058449240121497
HALLMARK_DNA_REPAIR	repair	Ak1	-0.115188938	1.0	0.050713401271428565	0.0011766123352583563
HALLMARK_DNA_REPAIR	repair	Ak3	-0.059878096	1.0	0.05031832382857142	0.0007815348924012089
HALLMARK_DNA_REPAIR	repair	Alyref	0.2166415	0.889516755	0.04834318385714285	-0.0011936050790273614
HALLMARK_DNA_REPAIR	repair	Aprt	0.016746503	1.0	0.04977100526428571	0.00023421632811550241
HALLMARK_DNA_REPAIR	repair	Arl6ip1	0.064469764	1.0	0.049430124828571426	-0.00010666410759878342
HALLMARK_DNA_REPAIR	repair	Bcam	0.412092259	0.158664733	0.04694710700714286	-0.0025896819290273515
HALLMARK_DNA_REPAIR	repair	Bcap31	0.072590183	1.0	0.04937212183571428	-0.00016466710045592858
HALLMARK_DNA_REPAIR	repair	Brf2	0.428131072	0.546004831	0.04683254405714285	-0.0027042448790273593
HALLMARK_DNA_REPAIR	repair	Cant1	0.193139247	0.783580404	0.048511057092857135	-0.001025731843313074
HALLMARK_DNA_REPAIR	repair	Ccno	-0.128801771	1.0	0.05081063579285714	0.0012738468566869318
HALLMARK_DNA_REPAIR	repair	Cda	-1.669851398	0.130390507	0.061818133128571415	0.012281344192401206
HALLMARK_DNA_REPAIR	repair	Cetn2	-0.207426991	0.749684047	0.05137224450714285	0.0018354555709726439
HALLMARK_DNA_REPAIR	repair	Clp1	0.054401117	1.0	0.049502043735714284	-3.4745200455925385e-05
HALLMARK_DNA_REPAIR	repair	Cox17	0.127206782	1.0	0.04898200327142857	-0.0005547856647416388
HALLMARK_DNA_REPAIR	repair	Cstf3	-0.194485329	0.896414272	0.051279804064285714	0.0017430151281155049
HALLMARK_DNA_REPAIR	repair	Dad1	0.107056943	1.0	0.04912593069285714	-0.00041085824331307114
HALLMARK_DNA_REPAIR	repair	Dctn4	0.080719506	1.0	0.04931405524285715	-0.00022273369331306248
HALLMARK_DNA_REPAIR	repair	Ddb1	0.017240794	1.0	0.04976747461428571	0.00023068567811550256
HALLMARK_DNA_REPAIR	repair	Ddb2	-0.290923803	0.519826358	0.05196865030714285	0.002431861370972642
HALLMARK_DNA_REPAIR	repair	Dgcr8	-0.070556704	1.0	0.0503945996	0.0008578106638297903
HALLMARK_DNA_REPAIR	repair	Dguok	-0.07480008	1.0	0.050424909428571425	0.0008881204924012162
HALLMARK_DNA_REPAIR	repair	Dut	0.2705188	0.861008345	0.047958346	-0.0015784429361702101
HALLMARK_DNA_REPAIR	repair	Edf1	0.13035453	1.0	0.04895951935714286	-0.0005772695790273522
HALLMARK_DNA_REPAIR	repair	Eif1b	0.121263787	1.0	0.049024453235714284	-0.0005123357004559251
