source	interaction	pathway	ligand	receptor	n_patients	n_cohorts	median_delta	mean_delta	n_pos	n_neg	wilcoxon_p	re_k	re_mu	re_p	re_I2	cohorts	fdr	class
liana	CDH1_ITGAE+ITGB7	other	CDH1	ITGAE+ITGB7	13	2	0.08197170495986938	0.10671970964624332	13	0	0.000244140625	1				GSE131907	0.00421142578125	barrier
liana	HLA-A_CD8A	MHC_I	HLA-A	CD8A	24	3	0.0640590488910675	0.087524536686639	18	6	0.0025163888931274414	2	0.07938785805868562	0.17697767725070324	81.52867173916981	GSE131907+GSE148071	0.03472616672515869	MHC_I
liana	HLA-B_CD8A	MHC_I	HLA-B	CD8A	24	3	0.08920776844024658	0.09411058761179447	20	4	0.00433504581451416	2	0.084904136610176	0.2696556632900401	86.82226931371866	GSE131907+GSE148071	0.03621826171875	MHC_I
liana	CXCL16_CXCR6	T_recruit	CXCL16	CXCR6	16	2	0.021720362827181816	0.028249806870007887	13	3	0.005157470703125	2	0.02824840689917095	0.0021951030370378046	0.0	GSE131907+GSE148071	0.03621826171875	recruit
liana	HLA-C_CD8A	MHC_I	HLA-C	CD8A	24	3	0.0566556379199028	0.07471089344471693	19	5	0.009575724601745605	2	0.07485662255650288	0.0440085465370149	42.72166931884592	GSE131907+GSE148071	0.06006590886549517	MHC_I
liana	F11R_ITGAL+ITGB2	other	F11R	ITGAL+ITGB2	17	3	0.07270902395248413	0.06094727205003009	14	3	0.030517578125	2	0.06275380804133798	0.27851276175159867	75.8499733347966	GSE131907+GSE148071	0.10267857142857142	barrier
liana	NECTIN2_TIGIT	other	NECTIN2	TIGIT	12	2	0.015143176540732384	0.02933605449895064	8	4	0.0771484375	1				GSE148071	0.15656594669117646	barrier
liana	HLA-E_KLRD1	MHC_I	HLA-E	KLRD1	22	3	0.06780888140201569	0.026256255128166893	16	6	0.08540916442871094	2	0.02522764436036154	0.5869277056149867	64.05994365833737	GSE131907+GSE148071	0.16370089848836264	inhibitory
liana	PVR_TIGIT	other	PVR	TIGIT	11	2	0.011734846979379654	0.01223913969641382	8	3	0.3203125	1				GSE131907	0.48046875	barrier
liana	LGALS9_HAVCR2	other	LGALS9	HAVCR2	6	1	0.010973051190376282	0.031153591660161812	3	3	0.5625	1				GSE131907	0.7233087221781412	inhibitory
liana	CCL5_CCR5	T_recruit	CCL5	CCR5	6	2	0.0074501633644104	0.00689069755996267	4	2	0.84375	1				GSE148071	0.8722051364272388	recruit
