dataset	unit_id	stratum	n_cells	n_metacells
GSE123902	LX653	CLDN4pos	104	4
GSE123902	LX653	CLDN4neg	41	0
GSE123902	LX661	CLDN4pos	69	2
GSE123902	LX661	CLDN4neg	48	0
GSE123902	LX666	CLDN4pos	528	40
GSE123902	LX666	CLDN4neg	258	23
GSE123902	LX675	CLDN4pos	194	17
GSE123902	LX675	CLDN4neg	424	35
GSE123902	LX676	CLDN4pos	62	2
GSE123902	LX676	CLDN4neg	85	4
GSE123902	LX255B	CLDN4pos	80	2
GSE123902	LX255B	CLDN4neg	148	13
GSE123902	LX679	CLDN4pos	215	32
GSE123902	LX679	CLDN4neg	282	27
GSE123902	LX680	CLDN4pos	189	15
GSE123902	LX680	CLDN4neg	69	2
GSE123902	LX681	CLDN4pos	764	40
GSE123902	LX681	CLDN4neg	443	40
GSE123902	LX682	CLDN4pos	79	3
GSE123902	LX682	CLDN4neg	342	28
GSE123902	LX684	CLDN4pos	126	12
GSE123902	LX684	CLDN4neg	47	0
GSE123902	LX699	CLDN4pos	7	0
GSE123902	LX699	CLDN4neg	39	0
GSE123902	LX701	CLDN4pos	10	0
GSE123902	LX701	CLDN4neg	80	3
GSE131907	BRONCHO_58	CLDN4pos	332	40
GSE131907	BRONCHO_58	CLDN4neg	128	11
GSE131907	EBUS_06	CLDN4pos	844	40
GSE131907	EBUS_06	CLDN4neg	342	40
GSE131907	EBUS_28	CLDN4pos	4470	40
GSE131907	EBUS_28	CLDN4neg	170	20
GSE131907	EBUS_49	CLDN4pos	56	0
GSE131907	EBUS_49	CLDN4neg	58	0
GSE131907	BRONCHO_11	CLDN4pos	164	18
GSE131907	BRONCHO_11	CLDN4neg	39	0
GSE131907	EBUS_10	CLDN4pos	310	40
GSE131907	EBUS_10	CLDN4neg	57	0
GSE131907	EBUS_12	CLDN4pos	227	22
GSE131907	EBUS_12	CLDN4neg	30	0
GSE131907	EBUS_13	CLDN4pos	1	0
GSE131907	EBUS_13	CLDN4neg	375	40
GSE131907	EBUS_15	CLDN4pos	121	7
GSE131907	EBUS_15	CLDN4neg	135	14
GSE131907	EBUS_19	CLDN4pos	204	19
GSE131907	EBUS_19	CLDN4neg	13	0
GSE131907	EBUS_51	CLDN4pos	1097	40
GSE131907	EBUS_51	CLDN4neg	188	15
GSE131907	NS_02	CLDN4pos	106	6
GSE131907	NS_02	CLDN4neg	75	3
GSE131907	NS_03	CLDN4pos	2527	40
GSE131907	NS_03	CLDN4neg	186	19
GSE131907	NS_04	CLDN4pos	1098	40
GSE131907	NS_04	CLDN4neg	131	9
GSE131907	NS_06	CLDN4pos	50	0
GSE131907	NS_06	CLDN4neg	33	0
GSE131907	NS_07	CLDN4pos	4618	40
GSE131907	NS_07	CLDN4neg	490	40
GSE131907	NS_12	CLDN4pos	2427	40
GSE131907	NS_12	CLDN4neg	384	40
GSE131907	NS_13	CLDN4pos	979	40
GSE131907	NS_13	CLDN4neg	373	40
GSE131907	NS_16	CLDN4pos	9	0
GSE131907	NS_16	CLDN4neg	70	2
GSE131907	NS_17	CLDN4pos	981	40
GSE131907	NS_17	CLDN4neg	131	14
GSE131907	NS_19	CLDN4pos	507	40
GSE131907	NS_19	CLDN4neg	248	36
GSE205335	P1006	CLDN4pos	951	40
GSE205335	P1006	CLDN4neg	331	35
GSE205335	P1017	CLDN4pos	1406	40
GSE205335	P1017	CLDN4neg	780	40
GSE205335	P1018	CLDN4pos	791	40
GSE205335	P1018	CLDN4neg	389	36
GSE205335	P1027	CLDN4pos	1029	40
GSE205335	P1027	CLDN4neg	289	40
GSE205335	P1037	CLDN4pos	3159	40
GSE205335	P1037	CLDN4neg	512	40
GSE205335	P1062	CLDN4pos	85	3
GSE205335	P1062	CLDN4neg	103	5
GSE205335	P1063	CLDN4pos	46	0
GSE205335	P1063	CLDN4neg	85	3
GSE205335	P1076	CLDN4pos	504	40
GSE205335	P1076	CLDN4neg	345	40
GSE205335	P1079	CLDN4pos	279	35
GSE205335	P1079	CLDN4neg	264	40
GSE205335	P1084	CLDN4pos	170	17
GSE205335	P1084	CLDN4neg	26	0
GSE205335	P1089	CLDN4pos	933	40
GSE205335	P1089	CLDN4neg	130	18
GSE205335	P1119	CLDN4pos	441	40
GSE205335	P1119	CLDN4neg	781	40
GSE205335	P1016	CLDN4pos	4410	40
GSE205335	P1016	CLDN4neg	926	40
GSE205335	P1115	CLDN4pos	3350	40
GSE205335	P1115	CLDN4neg	419	40
GSE205335	P1015	CLDN4pos	121	7
GSE205335	P1015	CLDN4neg	170	24
GSE205335	P1025	CLDN4pos	910	40
GSE205335	P1025	CLDN4neg	70	0
GSE205335	P1056	CLDN4pos	1186	40
GSE205335	P1056	CLDN4neg	1200	40
GSE205335	P1072	CLDN4pos	239	21
GSE205335	P1072	CLDN4neg	167	15
GSE205335	P0031	CLDN4pos	189	15
GSE205335	P0031	CLDN4neg	130	10
GSE205335	P1030	CLDN4pos	372	40
GSE205335	P1030	CLDN4neg	231	40
GSE205335	P1090	CLDN4pos	216	16
GSE205335	P1090	CLDN4neg	350	40
GSE205335	P4001	CLDN4pos	13	0
GSE205335	P4001	CLDN4neg	14	0
GSE189357	TD1	CLDN4pos	1227	40
GSE189357	TD1	CLDN4neg	959	40
GSE189357	TD2	CLDN4pos	430	40
GSE189357	TD2	CLDN4neg	777	40
GSE189357	TD3	CLDN4pos	319	22
GSE189357	TD3	CLDN4neg	345	30
GSE189357	TD4	CLDN4pos	149	10
GSE189357	TD4	CLDN4neg	342	31
GSE189357	TD5	CLDN4pos	640	40
GSE189357	TD5	CLDN4neg	1096	40
GSE189357	TD6	CLDN4pos	769	40
GSE189357	TD6	CLDN4neg	442	40
GSE189357	TD7	CLDN4pos	311	40
GSE189357	TD7	CLDN4neg	538	40
GSE189357	TD8	CLDN4pos	462	40
GSE189357	TD8	CLDN4neg	557	40
GSE189357	TD9	CLDN4pos	3841	40
GSE189357	TD9	CLDN4neg	1048	40
