stratum_network	module	role	dataset	n_genes_in_module	n_genes_scored	rho_tnk	p_tnk	q_tnk	I2_tnk	ci_lo_tnk	ci_hi_tnk	N_tnk	rho_tnk_partial_cldn4	p_tnk_partial_cldn4	rho_cldn4	p_cldn4
CLDN4pos	ME1			1054	1053	0.2472349200282323	0.2450692817678421	0.48329409946629714	0.5662716133314895	-0.171517796559615	0.5903226577986094	65	0.20802482796832442	0.351923341424186	-0.1127843535519161	0.4096039590974228
CLDN4pos	ME1	cohort:	GSE123902	1054	1053	0.06593406593406594	0.830542385756094					13	0.24058511676382943	0.47608387206269004	0.17032967032967034	0.5779754288392673
CLDN4pos	ME1	cohort:	GSE131907	1054	1053	-0.16753246753246753	0.4679157387083451					21	-0.3076469454043603	0.20008454657166583	-0.174025974025974	0.4505852392484295
CLDN4pos	ME1	cohort:	GSE205335	1054	1053	0.37323546019198195	0.08709931441089197					22	0.38659452307957565	0.09222422060135962	-0.059288537549407126	0.7932554520311477
CLDN4pos	ME1	cohort:	GSE189357	1054	1053	0.75	0.019942126131992536					9	0.6423833039611423	0.11975418317616103	-0.5166666666666667	0.15439012098622507
CLDN4pos	ME2			558	558	0.21723743611470803	0.10802809198652742	0.48329409946629714	0.0	-0.04843389795680318	0.454201818045299	65	0.17063439351102855	0.22772493990431625	-0.14257652962806558	0.2959799057538466
CLDN4pos	ME2	cohort:	GSE123902	558	558	0.32417582417582413	0.27988186889314004					13	0.29520975515871556	0.37814455006953007	-0.15934065934065936	0.6030877531318971
CLDN4pos	ME2	cohort:	GSE131907	558	558	0.05454545454545454	0.8143428221052689					21	-0.15072507217224262	0.5379422050190441	-0.3363636363636363	0.135996753010022
CLDN4pos	ME2	cohort:	GSE205335	558	558	0.3122529644268775	0.15713592444827057					22	0.3187365898587061	0.170783440624156	-0.059288537549407126	0.7932554520311477
CLDN4pos	ME2	cohort:	GSE189357	558	558	0.19999999999999998	0.6059012741795534					9	0.4370643709968013	0.3268056438081736	0.2333333333333333	0.5456987782182728
CLDN4pos	ME3	IFN		311	311	0.2983552523299678	0.11449445038257715	0.48329409946629714	0.46514162633840894	-0.07427867933852068	0.5978805359978588	65	0.4394344692930273	0.0009644118928424982	0.07185195844613818	0.7481669197214829
CLDN4pos	ME3	cohort:IFN	GSE123902	311	311	0.06593406593406594	0.830542385756094					13	0.37001299540015614	0.2626851131511975	0.3021978021978022	0.3156083662499548
CLDN4pos	ME3	cohort:IFN	GSE131907	311	311	0.022077922077922082	0.9243230289105082					21	0.3542083125304939	0.1367838765057688	0.4688311688311688	0.032044958116342656
CLDN4pos	ME3	cohort:IFN	GSE205335	311	311	0.6295878035008471	0.0016912901526022412					22	0.6161239921688229	0.003820030663623312	-0.19706380575945792	0.37938905896201564
CLDN4pos	ME3	cohort:IFN	GSE189357	311	311	0.33333333333333337	0.38071318167686347					9	0.07537783614444099	0.8723978389593268	-0.4666666666666666	0.2053863511058121
CLDN4pos	ME4	TJ		177	177	0.12298525125142312	0.5910457882304236	0.6940723454198118	0.6127735510571191	-0.3160818107197411	0.5186637392444963	65	0.2649643181607829	0.17121782912241412	0.18546080362050174	0.17194441213659298
CLDN4pos	ME4	cohort:TJ	GSE123902	177	177	-0.2857142857142857	0.3440002182586698					13	-0.12064175988456823	0.7238383016474171	0.3021978021978022	0.3156083662499548
CLDN4pos	ME4	cohort:TJ	GSE131907	177	177	-0.1883116883116883	0.4136637589062404					21	0.015727470954692024	0.9490467506717138	0.3844155844155844	0.08532754860745444
CLDN4pos	ME4	cohort:TJ	GSE205335	177	177	0.5042348955392434	0.01671415573279198					22	0.538543792330414	0.014292755451999949	-0.04573687182382835	0.8398323612677269
CLDN4pos	ME4	cohort:TJ	GSE189357	177	177	0.43333333333333335	0.24395243588005172					9	0.5929858804931916	0.160533941669748	0.06666666666666667	0.8646897846262036
CLDN4pos	ME5			140	140	0.130484418494192	0.6169531959287216	0.6940723454198118	0.7021001661499305	-0.36532835893445337	0.5686236613326062	65	0.13032532407982533	0.6053107641167853	0.040275642520277946	0.7769794445431499
