pair	n	rho	p	rho_lo	rho_hi	subset	scale	partial_rho_CD8A	partial_p_CD8A	rho_log2SF	p_log2SF
CLDN4 vs CD274	347	-0.16862810536395276	0.001618988703593775	-0.26913440335251465	-0.06448854026937569	all_patients	log2(TPM+1)	-0.09606338423301314	0.07391472918135136	-0.19761772509490785	0.00021178714535445534
CLDN4 vs CD8A	347	-0.14569282882005216	0.006554203760325757	-0.24718568903907903	-0.04103782630667534	all_patients	log2(TPM+1)				
CLDN4 vs CXCL9	347	-0.10820214153721726	0.043985712563278996	-0.21108198378465118	-0.002951272718193574	all_patients	log2(TPM+1)	0.02416554116866757	0.6537235631131397		
CD274 vs CD8A	347	0.67781531266317	5.207209423019465e-48	0.6165284107612312	0.7309375825735479	all_patients	log2(TPM+1)				
CD274 vs CXCL9	347	0.697299498707277	7.872067746803463e-52	0.63892130261864	0.7476922919820791	all_patients	log2(TPM+1)	0.3258771848718667	5.000330009112982e-10		
CD8A vs CXCL9	347	0.8333714362521892	7.478477118728345e-91	0.7981143682805274	0.8629405818189096	all_patients	log2(TPM+1)				
CLDN4 vs CD274	298	-0.16823189131330363	0.0035830161131086224	-0.27656812296573274	-0.05567325806922142	ORR_evaluable	log2(TPM+1)	-0.0868061676057152	0.13490600472889763	-0.19744911574500135	0.0006080820237692916
CLDN4 vs CD8A	298	-0.1537720134160169	0.007832779278975136	-0.26280314072437366	-0.040863148156023904	ORR_evaluable	log2(TPM+1)				
CLDN4 vs CXCL9	298	-0.09956969075731842	0.08618365352739923	-0.21080756919983273	0.014213943754425334	ORR_evaluable	log2(TPM+1)	0.05501740204002822	0.3439073271676936		
CD274 vs CD8A	298	0.6906308035575616	1.4686659897574334e-43	0.6261422510306474	0.7457347614828918	ORR_evaluable	log2(TPM+1)				
CD274 vs CXCL9	298	0.7049773168827735	4.4590623467052e-46	0.6428475534956198	0.7578918571991594	ORR_evaluable	log2(TPM+1)	0.31852752422559727	1.8804568135609144e-08		
CD8A vs CXCL9	298	0.8395705387243175	2.0014586382720454e-80	0.802501879550445	0.8701828169852244	ORR_evaluable	log2(TPM+1)				
CLDN4 vs CD274	194	-0.11512780793267947	0.10993138067937719	-0.2519193453538985	0.026174100811577616	bladder_tissue	log2(TPM+1)	-0.02972269458349256	0.6807757702849813	-0.15683333812707242	0.02897319082171797
CLDN4 vs CD8A	194	-0.14393133174181194	0.045261788024075704	-0.27914852250783756	-0.0031171435590757247	bladder_tissue	log2(TPM+1)				
CLDN4 vs CXCL9	194	-0.09817769432106271	0.1732255375193899	-0.23579381931549995	0.043298562336543965	bladder_tissue	log2(TPM+1)	0.04088882663026776	0.5713449844092473		
CD274 vs CD8A	194	0.6434477119483262	4.618414510132174e-24	0.5526681598636058	0.7191372968069544	bladder_tissue	log2(TPM+1)				
CD274 vs CXCL9	194	0.6758555797068696	3.053939215866993e-27	0.5912751306960805	0.7457299565335839	bladder_tissue	log2(TPM+1)	0.3282118866793102	2.9828819426246984e-06		
CD8A vs CXCL9	194	0.8362644993487363	5.394109094033565e-52	0.7882516320171267	0.8741568118992	bladder_tissue	log2(TPM+1)				
CLDN4 vs CD274	168	-0.13971634077576042	0.07087456954625886	-0.28509768434487665	0.011948966637002576	bladder_ORR_evaluable	log2(TPM+1)	-0.03962432997213114	0.6100823838453767	-0.18415577973385439	0.016867431301226348
CLDN4 vs CD8A	168	-0.17057010239875284	0.027066306764973846	-0.3138763204611586	-0.019665462126637435	bladder_ORR_evaluable	log2(TPM+1)				
CLDN4 vs CXCL9	168	-0.10894356679709055	0.15980877119249348	-0.2561311057342241	0.043181255551796985	bladder_ORR_evaluable	log2(TPM+1)	0.06773815106786829	0.3829715079237262		
CD274 vs CD8A	168	0.6439985624693133	4.667518419486465e-21	0.5458074145939418	0.7247419062537686	bladder_ORR_evaluable	log2(TPM+1)				
CD274 vs CXCL9	168	0.6810681257940586	3.0592242490795882e-24	0.5905549502294719	0.7546585675069694	bladder_ORR_evaluable	log2(TPM+1)	0.33353377228723347	9.962229461156722e-06		
CD8A vs CXCL9	168	0.8468270559472771	2.21774309594823e-47	0.7976951836963434	0.8847914280255775	bladder_ORR_evaluable	log2(TPM+1)				
