cohort	split	interaction_name	pathway_name	annotation	ligand	receptor	ligand_genes	receptor_genes	direction	partner	prob_high	prob_low	pval_high	pval_low	sig_high	sig_low	delta_prob	ligand_class	sig_either	sig_diff
GSE253013	GSE253013	GDF15_TGFBR2	GDF	Secreted Signaling	GDF15	TGFBR2	GDF15	TGFBR2	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	WNT5A_FZD1	ncWNT	Secreted Signaling	WNT5A	FZD1	WNT5A	FZD1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	WNT5A_FZD10	ncWNT	Secreted Signaling	WNT5A	FZD10	WNT5A	FZD10	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	WNT5A_FZD2	ncWNT	Secreted Signaling	WNT5A	FZD2	WNT5A	FZD2	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	WNT5A_FZD3	ncWNT	Secreted Signaling	WNT5A	FZD3	WNT5A	FZD3	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	WNT5A_FZD4	ncWNT	Secreted Signaling	WNT5A	FZD4	WNT5A	FZD4	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	WNT5A_FZD5	ncWNT	Secreted Signaling	WNT5A	FZD5	WNT5A	FZD5	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	WNT5A_FZD6	ncWNT	Secreted Signaling	WNT5A	FZD6	WNT5A	FZD6	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	WNT5A_FZD7	ncWNT	Secreted Signaling	WNT5A	FZD7	WNT5A	FZD7	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	WNT5A_FZD8	ncWNT	Secreted Signaling	WNT5A	FZD8	WNT5A	FZD8	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	WNT5A_FZD9	ncWNT	Secreted Signaling	WNT5A	FZD9	WNT5A	FZD9	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	WNT5A_MCAM	ncWNT	Secreted Signaling	WNT5A	MCAM	WNT5A	MCAM	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	WNT5B_FZD1	ncWNT	Secreted Signaling	WNT5B	FZD1	WNT5B	FZD1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	WNT5B_FZD10	ncWNT	Secreted Signaling	WNT5B	FZD10	WNT5B	FZD10	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	WNT5B_FZD2	ncWNT	Secreted Signaling	WNT5B	FZD2	WNT5B	FZD2	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	WNT5B_FZD3	ncWNT	Secreted Signaling	WNT5B	FZD3	WNT5B	FZD3	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	WNT5B_FZD4	ncWNT	Secreted Signaling	WNT5B	FZD4	WNT5B	FZD4	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	WNT5B_FZD5	ncWNT	Secreted Signaling	WNT5B	FZD5	WNT5B	FZD5	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	WNT5B_FZD6	ncWNT	Secreted Signaling	WNT5B	FZD6	WNT5B	FZD6	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	WNT5B_FZD7	ncWNT	Secreted Signaling	WNT5B	FZD7	WNT5B	FZD7	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	WNT5B_FZD8	ncWNT	Secreted Signaling	WNT5B	FZD8	WNT5B	FZD8	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	WNT5B_FZD9	ncWNT	Secreted Signaling	WNT5B	FZD9	WNT5B	FZD9	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	WNT11_FZD1	ncWNT	Secreted Signaling	WNT11	FZD1	WNT11	FZD1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	WNT11_FZD10	ncWNT	Secreted Signaling	WNT11	FZD10	WNT11	FZD10	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	WNT11_FZD2	ncWNT	Secreted Signaling	WNT11	FZD2	WNT11	FZD2	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	WNT11_FZD3	ncWNT	Secreted Signaling	WNT11	FZD3	WNT11	FZD3	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	WNT11_FZD4	ncWNT	Secreted Signaling	WNT11	FZD4	WNT11	FZD4	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
GSE253013	GSE253013	WNT11_FZD5	ncWNT	Secreted Signaling	WNT11	FZD5	WNT11	FZD5	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	other	False	False
