split	direction	interaction_name	pathway_name	ligand	receptor	ligand_genes	receptor_genes	focus	ligand_class	n_paired	n_GSE131907	n_GSE205335	median_prob_high	median_prob_low	delta_median	median_paired_delta	wilcoxon_w	p	thin	test
median	outgoing	NECTIN2_TIGIT	NECTIN	NECTIN2	TIGIT	NECTIN2	TIGIT	NECTIN2–TIGIT	barrier|inhibitory	39	26	13	0.1810643345881024	0.08658768309924786	0.09447665148885454	0.06465166394855573	0.0	3.637978807091713e-12	False	wilcoxon_signed_rank_paired_patient
median	outgoing	CD55_ADGRE5	ADGRE	CD55	ADGRE5	CD55	ADGRE5	other	other	44	27	17	0.3557705166621828	0.25793373160801225	0.09783678505417054	0.05946001762816501	17.0	2.3533175408374518e-11	False	wilcoxon_signed_rank_paired_patient
median	outgoing	LAMB3_CD44	LAMININ	LAMB3	CD44	LAMB3	CD44	other	other	40	26	14	0.42999964426882725	0.2575207789570667	0.17247886531176054	0.1031001570572368	10.0	7.821654435247183e-11	False	wilcoxon_signed_rank_paired_patient
median	outgoing	LAMA5_CD44	LAMININ	LAMA5	CD44	LAMA5	CD44	other	other	37	25	12	0.2925219048021712	0.12054425811932062	0.1719776466828506	0.08457834839451425	4.0	1.0186340659856796e-10	False	wilcoxon_signed_rank_paired_patient
median	outgoing	ICAM1_SPN	ICAM	ICAM1	SPN	ICAM1	SPN	other	other	36	24	12	0.19253240888273898	0.12342533207246106	0.06910707681027792	0.047074535759092886	8.0	7.275957614183426e-10	False	wilcoxon_signed_rank_paired_patient
median	outgoing	APP_CD74	APP	APP	CD74	APP	CD74	other	other	47	28	19	0.6822490664044879	0.6003878393974337	0.08186122700705423	0.06772371840995683	70.0	4.235516826156527e-09	False	wilcoxon_signed_rank_paired_patient
median	outgoing	LAMC2_CD44	LAMININ	LAMC2	CD44	LAMC2	CD44	other	other	28	22	6	0.1914762000691712	0.05694202760395027	0.13453417246522092	0.07997735327201358	6.0	1.043081283569336e-07	False	wilcoxon_signed_rank_paired_patient
median	outgoing	CDH1_KLRG1	CDH1	CDH1	KLRG1	CDH1	KLRG1	other	barrier	24	12	12	0.06352725696758307	0.025930071173848296	0.03759718579373478	0.03146088388536602	0.0	1.1920928955078125e-07	False	wilcoxon_signed_rank_paired_patient
median	outgoing	IGFBP3_TMEM219	IGFBP	IGFBP3	TMEM219	IGFBP3	TMEM219	other	other	25	16	9	0.2389309639393905	0.11489723772142131	0.1240337262179692	0.09815792930360286	3.0	2.980232238769531e-07	False	wilcoxon_signed_rank_paired_patient
median	outgoing	HLA-E_CD8A	MHC-I	HLA-E	CD8A	HLA-E	CD8A	MHC-I	inhibitory	46	27	19	0.3389447170466686	0.2635064697219446	0.07543824732472404	0.052707855877845544	116.0	5.095428150525549e-07	False	wilcoxon_signed_rank_paired_patient
median	outgoing	LAMC1_CD44	LAMININ	LAMC1	CD44	LAMC1	CD44	other	other	36	25	11	0.14934012188516643	0.08643603362746619	0.06290408825770025	0.059793215799845034	48.0	7.114140316843987e-07	False	wilcoxon_signed_rank_paired_patient
median	outgoing	HLA-E_CD8B	MHC-I	HLA-E	CD8B	HLA-E	CD8B	MHC-I	inhibitory	41	23	18	0.23788698440942738	0.21093175087110322	0.026955233538324158	0.056292223782732784	83.0	9.396662790095434e-07	False	wilcoxon_signed_rank_paired_patient
q4q1	outgoing	LAMB3_CD44	LAMININ	LAMB3	CD44	LAMB3	CD44	other	other	21	18	3	0.461919964080112	0.3449419584687758	0.1169780056113362	0.12591217191337467	0.0	9.5367431640625e-07	False	wilcoxon_signed_rank_paired_patient
median	outgoing	MDK_NCL	MK	MDK	NCL	MDK	NCL	other	other	49	29	20	0.6591058153384006	0.586917897205051	0.07218791813334957	0.021228311009653167	156.0	1.1607336638519428e-06	False	wilcoxon_signed_rank_paired_patient
q4q1	outgoing	NECTIN2_TIGIT	NECTIN	NECTIN2	TIGIT	NECTIN2	TIGIT	NECTIN2–TIGIT	barrier|inhibitory	22	18	4	0.17744070683778182	0.08794867175013434	0.08949203508764748	0.0955068216347304	2.0	1.430511474609375e-06	False	wilcoxon_signed_rank_paired_patient
q4q1	outgoing	CD55_ADGRE5	ADGRE	CD55	ADGRE5	CD55	ADGRE5	other	other	23	19	4	0.358973434374649	0.2909695106020716	0.06800392377257741	0.06451311590308034	4.0	1.6689300537109375e-06	False	wilcoxon_signed_rank_paired_patient
q4q1	outgoing	LAMA5_CD44	LAMININ	LAMA5	CD44	LAMA5	CD44	other	other	24	19	5	0.21390207879668377	0.09313730388346678	0.120764774913217	0.09242746846487758	7.0	2.2649765014648438e-06	False	wilcoxon_signed_rank_paired_patient
median	outgoing	APP_SORL1	APP	APP	SORL1	APP	SORL1	other	other	32	17	15	0.1240518619470549	0.050171674275007724	0.07388018767204718	0.026393564341533417	7.0	2.32656939002073e-06	False	wilcoxon_signed_rank_paired_patient
median	outgoing	ICAM1_ITGAL	ICAM	ICAM1	ITGAL	ICAM1	ITGAL	other	other	25	15	10	0.05668662583000117	0.023580919517841265	0.03310570631215991	0.028170492552451798	12.0	4.172325134277344e-06	False	wilcoxon_signed_rank_paired_patient
q4q1	outgoing	HLA-E_CD8A	MHC-I	HLA-E	CD8A	HLA-E	CD8A	MHC-I	inhibitory	22	18	4	0.3391606466704571	0.27411885244218115	0.06504179422827594	0.06808935273868313	5.0	4.76837158203125e-06	False	wilcoxon_signed_rank_paired_patient
median	outgoing	LAMB2_CD44	LAMININ	LAMB2	CD44	LAMB2	CD44	other	other	30	25	5	0.12957345612032753	0.08002756682164039	0.04954588929868714	0.042796528443124884	32.0	5.144625902175903e-06	False	wilcoxon_signed_rank_paired_patient
median	outgoing	COL6A1_CD44	COLLAGEN	COL6A1	CD44	COL6A1	CD44	other	other	22	16	6	0.207299672346798	0.09035993522969303	0.11693973711710497	0.05422489772471307	7.0	9.059906005859375e-06	False	wilcoxon_signed_rank_paired_patient
