ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
APP,APP,0.8476499,0.6995,CD74,CD74,1.6552918,0.719,Malig_CLDN4high,NK,1.2514708,0.0
APP,APP,0.8476499,0.6995,CD74,CD74,1.6425945,0.7065,Malig_CLDN4high,T,1.2451222,0.0
MDK,MDK,1.9106026,0.8965,SORL1,SORL1,0.37288424,0.2195,Malig_CLDN4high,NK,1.1417434,0.0
HLA-B,HLA-B,1.8857118,0.8505,KIR3DL2,KIR3DL2,0.2641086,0.1525,Malig_CLDN4high,NK,1.0749102,1.0
MDK,MDK,1.9106026,0.8965,SORL1,SORL1,0.21495762,0.1385,Malig_CLDN4high,T,1.0627801,0.0
HLA-C,HLA-C,1.6977401,0.8235,KIR2DL3,KIR2DL3,0.2515309,0.1515,Malig_CLDN4high,NK,0.9746355,1.0
CD58,CD58,0.12309395,0.1965,CD2,CD2,1.7195399,0.7725,Malig_CLDN4high,T,0.9213169,0.0
CLEC2B,CLEC2B,0.17952333,0.222,KLRF1,KLRF1,1.49142,0.6735,Malig_CLDN4high,NK,0.8354717,0.0
HLA-E,HLA-E,0.81238955,0.6715,KLRC1,KLRC1_KLRD1,0.65545744,0.287,Malig_CLDN4high,NK,0.7339235,1.0
HLA-E,HLA-E,0.81238955,0.6715,KLRC1,KLRC1,0.65545744,0.287,Malig_CLDN4high,NK,0.7339235,1.0
ALOX5,ALOX5,0.08950696,0.1275,ALOX5AP,ALOX5AP,1.0512342,0.5165,Malig_CLDN4high,NK,0.5703706,0.0
HLA-E,HLA-E,0.81238955,0.6715,KLRC2,KLRC2_KLRD1,0.3127364,0.164,Malig_CLDN4high,NK,0.56256294,1.0
HLA-E,HLA-E,0.81238955,0.6715,KLRC2,KLRC2,0.3127364,0.164,Malig_CLDN4high,NK,0.56256294,1.0
LGALS9,LGALS9,0.14743964,0.222,CD44,CD44,0.94880694,0.5305,Malig_CLDN4high,T,0.5481233,0.0
SPP1,SPP1,0.14180176,0.165,CD44,CD44,0.94880694,0.5305,Malig_CLDN4high,T,0.54530436,0.0
FGFR2,FGFR2,0.11727456,0.1545,CD44,CD44,0.94880694,0.5305,Malig_CLDN4high,T,0.53304076,0.0
HBEGF,HBEGF,0.112713225,0.17,CD44,CD44,0.94880694,0.5305,Malig_CLDN4high,T,0.5307601,0.0
CD58,CD58,0.12309395,0.1965,CD2,CD2,0.9032691,0.4625,Malig_CLDN4high,NK,0.5131815,0.0
CDH1,CDH1,0.7386785,0.6665,ITGAE,ITGAE_ITGB7,0.26773965,0.1745,Malig_CLDN4high,T,0.5032091,0.0
ALOX5,ALOX5,0.08950696,0.1275,ALOX5AP,ALOX5AP,0.87342453,0.4415,Malig_CLDN4high,T,0.48146576,0.0
CDH1,CDH1,0.7386785,0.6665,ITGAE,ITGAE_ITGB7,0.2221216,0.1355,Malig_CLDN4high,NK,0.48040006,0.0
CDH1,CDH1,0.7386785,0.6665,KLRG1,KLRG1,0.20711657,0.1185,Malig_CLDN4high,T,0.47289753,0.0
CDH1,CDH1,0.7386785,0.6665,KLRG1,KLRG1,0.20269041,0.116,Malig_CLDN4high,NK,0.47068447,0.0
