graph	nhood	n_cells	n_tnk	n_malig	frac_tnk	frac_malig	cldn4_all_mean	cldn4_malig_mean	dominant_lineage	n_samples_present	n_cells_da	cldn4_rho	cldn4_p	cldn4_testable	cldn4_BH_FDR	cldn4_SpatialFDR
GSE131907_tumor_no_brain	0	31	31	0	1.0	0.0	0.04189359396696091		NK cells	1	31			False		
GSE131907_tumor_no_brain	1	31	30	0	0.967741935483871	0.0	0.06385118514299393		T lymphocytes	1	31			False		
GSE131907_tumor_no_brain	2	31	0	31	0.0	1.0	2.999258279800415	2.999258279800415	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	3	31	31	0	1.0	0.0	0.059937261044979095		T lymphocytes	4	31			False		
GSE131907_tumor_no_brain	4	31	31	0	1.0	0.0	0.11343379318714142		T lymphocytes	1	31			False		
GSE131907_tumor_no_brain	5	31	0	26	0.0	0.8387096774193549	0.0	0.0	Epithelial cells	4	31			False		
GSE131907_tumor_no_brain	6	31	0	31	0.0	1.0	2.9341137409210205	2.9341137409210205	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	7	31	0	0	0.0	0.0	0.04073135554790497		B lymphocytes	1	31			False		
GSE131907_tumor_no_brain	8	31	31	0	1.0	0.0	0.12744919955730438		T lymphocytes	1	31			False		
GSE131907_tumor_no_brain	9	31	31	0	1.0	0.0	0.044860005378723145		T lymphocytes	3	31			False		
GSE131907_tumor_no_brain	10	31	31	0	1.0	0.0	0.0		T lymphocytes	1	31			False		
GSE131907_tumor_no_brain	11	31	2	1	0.06451612903225806	0.03225806451612903	0.0	0.0	B lymphocytes	7	31	0.7500000000000002	0.0521814004570578	True	0.7019875193562681	0.769959264436903
GSE131907_tumor_no_brain	12	31	2	11	0.06451612903225806	0.3548387096774194	0.4830394685268402	0.9996480941772461	B lymphocytes	10	31	-0.4424242424242424	0.20042268671194213	True	0.8016432432432432	0.8172341259511722
GSE131907_tumor_no_brain	13	31	0	0	0.0	0.0	0.10956805944442749		Myeloid cells	1	31			False		
GSE131907_tumor_no_brain	14	31	0	7	0.0	0.22580645161290322	1.0258010625839233	1.3574206829071045	Epithelial cells	2	31			False		
GSE131907_tumor_no_brain	15	31	31	0	1.0	0.0	0.05255640670657158		T lymphocytes	1	31			False		
GSE131907_tumor_no_brain	16	31	31	0	1.0	0.0	0.0		T lymphocytes	2	31			False		
GSE131907_tumor_no_brain	17	31	0	31	0.0	1.0	1.763316035270691	1.763316035270691	Epithelial cells	1	31			False		
GSE131907_tumor_no_brain	18	31	31	0	1.0	0.0	0.061208389699459076		T lymphocytes	1	31			False		
