ligand	vs	k	n_patients_total	method	pooled_z	pooled_rho	se_z	ci95_rho	p	Q	df	tau2	I2	fixed_z	fixed_rho
NUCB2	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	-0.4543507177435703	-0.4254687256120874	0.14907119849998599	[-0.6330743952252933, -0.1607642939671355]	0.0023046403026036762	0.41847558998361817	1	0.0	0.0	-0.4543507177435703	-0.4254687256120874
MMP14	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.4537083064764827	0.42494246219965226	0.14907119849998599	[0.16013842136886708, 0.6326892950300396]	0.0023379071739070504	0.594165996141262	1	0.0	0.0	0.4537083064764827	0.42494246219965226
TGFA	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.4439892395918262	0.41694565108009807	0.14907119849998599	[0.15065413060234184, 0.6268248525726501]	0.0028978558689943855	0.43893912927806866	1	0.0	0.0	0.4439892395918262	0.41694565108009807
CLCF1	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.43465008910133557	0.40920011755381835	0.14907119849998599	[0.14151435392504752, 0.6211219228434358]	0.00354867183875071	0.0016160764891322546	1	0.0	0.0	0.43465008910133557	0.40920011755381835
HLA-E	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.42356009823194657	0.3999253785008962	0.14907119849998599	[0.13062981878323196, 0.6142634047195172]	0.004492614716190158	0.2656032032728579	1	0.0	0.0	0.42356009823194657	0.3999253785008962
HLA-F	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.4155955102927102	0.3932134119057118	0.14907119849998599	[0.12279315210108951, 0.6092797348581654]	0.0053051009045657375	0.8179751482256328	1	0.0	0.0	0.4155955102927102	0.3932134119057118
JAG1	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.41517899602133845	0.3928612400748611	0.14907119849998599	[0.12238289713898838, 0.6090177732985772]	0.005351033040057475	0.20823818050923057	1	0.0	0.0	0.41517899602133845	0.3928612400748611
ANGPTL4	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.3899884902043837	0.3713503053361948	0.14907119849998599	[0.09749823075327574, 0.592927040752306]	0.008893469043117727	0.5250218393680885	1	0.0	0.0	0.3899884902043837	0.3713503053361948
HBEGF	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.45140494298073675	0.42305318521466656	0.17438101134112852	[0.1091811984409968, 0.6602133426325918]	0.009636334043455584	1.3531636256024928	1	0.016085387805781556	26.099107226980596	0.44427806830071764	0.41718424000560017
NECTIN4	tnk_cyto	1	22	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.5841728133413925	0.525691699604743	0.22941573387056174	[0.13371243356602283, 0.7754389388758174]	0.010885590298189973	0.0	0	0.0	0.0	0.5841728133413925	0.525691699604743
MPZL3	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.3588710305529733	0.3442192197664496	0.14907119849998599	[0.06659278132562382, 0.5723767846345977]	0.01606743905724239	0.05151821512525073	1	0.0	0.0	0.3588710305529733	0.3442192197664496
JAM3	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	-0.3803380152774254	-0.3630009786828152	0.16106084021160247	[-0.6018336894427759, -0.06456881137644375]	0.018203353929778614	1.1599413122044067	1	0.007284776365585324	13.788741768361257	-0.3768519062974808	-0.35997041048501677
PRNP	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.34786078265013026	0.33447701298548105	0.14907119849998599	[0.055623760170654415, 0.5649270136179617]	0.01962081378625259	0.12975074037939488	1	0.0	0.0	0.34786078265013026	0.33447701298548105
TGFB1	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.35412096191517073	0.34002514586047244	0.1532873228546911	[0.05362631438220397, 0.5747344811011562]	0.02087831559989097	1.0547216265312376	1	0.0024923817752081894	5.188253009583747	0.35537176339162396	0.3411308624554976
COL6A1	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.337609416636612	0.32534151302553815	0.14907119849998599	[0.045398639532974384, 0.557906884925979]	0.02352785236722598	0.25812692105974155	1	0.0	0.0	0.337609416636612	0.32534151302553815
LAMA3	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.3308123944330953	0.31925056046175543	0.14907119849998599	[0.03861363704177705, 0.5532077572583162]	0.02647604495677413	0.8393651906102139	1	0.0	0.0	0.3308123944330953	0.31925056046175543
COL6A2	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.33043808544299674	0.318914361228871	0.14907119849998599	[0.038239880766630485, 0.5529479475640448]	0.026647287159734714	0.0354774551081926	1	0.0	0.0	0.33043808544299674	0.318914361228871
WNT7B	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.32744122397023	0.31621973235383566	0.14907119849998599	[0.03524706755425971, 0.5508639335821132]	0.02805313622778955	0.010782566876523802	1	0.0	0.0	0.32744122397023	0.31621973235383566
ADAM17	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.32302801762613853	0.3122422993647208	0.14907119849998599	[0.03083868686728397, 0.5477824481193151]	0.03023959581655668	0.06877995686071965	1	0.0	0.0	0.32302801762613853	0.3122422993647208
THY1	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	-0.3203093693960535	-0.3097866279200854	0.14907119849998599	[-0.5458767393907116, -0.02812240309863786]	0.03165814337619718	0.07309999597698215	1	0.0	0.0	-0.3203093693960535	-0.3097866279200854
CD58	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.3105940442894505	0.30097742504705255	0.14907119849998599	[0.01841241409905145, 0.5390202538439696]	0.0372031049588611	0.06380261542775782	1	0.0	0.0	0.3105940442894505	0.30097742504705255
NECTIN2	tnk_cyto	1	22	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.4720627654337996	0.43986448334274425	0.22941573387056174	[0.022404177347059677, 0.7267089541147617]	0.03962144843721483	5.854827030937197e-32	0	0.0	0.0	0.4720627654337996	0.43986448334274425
LAMC2	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.30267305616637097	0.29375691576207047	0.14907119849998599	[0.010493121963761197, 0.5333766744135818]	0.0423166497159833	0.32912424650479744	1	0.0	0.0	0.30267305616637097	0.29375691576207047
THBS1	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.30109834726180706	0.29231742872029753	0.14907119849998599	[0.008918561727539225, 0.532249009302562]	0.04340111578421995	0.0005603887430849178	1	0.0	0.0	0.30109834726180706	0.29231742872029753
MDK	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	-0.2948967014855241	-0.2866354826774701	0.14907119849998599	[-0.527789558934064, -0.002717145738734122]	0.0479030801320307	0.0010960063212353275	1	0.0	0.0	-0.2948967014855241	-0.2866354826774701
ITGB2	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.2896538315716413	0.2818161681582943	0.14907119849998599	[-0.002525712117618118, 0.5239966917859155]	0.052009275079948576	0.15006069805083655	1	0.0	0.0	0.2896538315716413	0.2818161681582943
GRN	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.2836215306113628	0.2762535657153647	0.14907119849998599	[-0.008557809525886738, 0.5196068724212879]	0.057093925684409776	7.379637944068193e-07	1	0.0	0.0	0.2836215306113628	0.2762535657153647
ADAM9	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.38721015112891893	0.3689526345379819	0.20602759714479918	[-0.01660241359203639, 0.6589888750365357]	0.06018864797456875	1.876804158896539	1	0.03993541209549013	46.71793563224269	0.37218594838517416	0.35590225794270863
PTDSS1	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.2691512331082044	0.26283487965990127	0.14907119849998599	[-0.0230242461508036, 0.5089641509972204]	0.07099313604682891	0.14816770076341718	1	0.0	0.0	0.2691512331082044	0.26283487965990127
ST14	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.26294054123770977	0.25704385715723904	0.14907119849998599	[-0.02923067833725336, 0.5043477716304249]	0.07775575944684747	0.24662252010441227	1	0.0	0.0	0.26294054123770977	0.25704385715723904
COL17A1	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.26218535721247826	0.2563384325072414	0.14907119849998599	[-0.02998520030950608, 0.5037844668126628]	0.07861270064266387	0.6418948581870094	1	0.0	0.0	0.26218535721247826	0.2563384325072414
LAMB1	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.25291201982170736	0.24765404564703727	0.14907119849998599	[-0.03924735896904476, 0.4968324121466056]	0.08977507087018734	0.012941944059064042	1	0.0	0.0	0.25291201982170736	0.24765404564703727
FAM3C	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.24787343990843144	0.24291862566800915	0.14907119849998599	[-0.04427714047142996, 0.4930280763088271]	0.09635536325889045	0.0408370180436363	1	0.0	0.0	0.24787343990843144	0.24291862566800915
LRFN5	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	-0.2443610885841464	-0.23961072754672577	0.14907119849998599	[-0.49036489485024404, 0.047782046468387705]	0.10116661406023779	0.012983803906879319	1	0.0	0.0	-0.2443610885841464	-0.23961072754672577
NECTIN3	tnk_cyto	1	22	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.3410642003218213	0.32842713740589036	0.22941573387056174	[-0.10816581081749392, 0.6588161767961265]	0.13710347423381516	0.0	0	0.0	0.0	0.3410642003218213	0.32842713740589036
ADAM15	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.21644042375602718	0.21312275597151972	0.14907119849998599	[-0.07559463315427375, 0.46886925155997883]	0.1465220427321064	0.9706656711056261	1	0.0	0.0	0.21644042375602718	0.21312275597151972
AGRN	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.2907256790606721	0.28280259080129994	0.20954949032345419	[-0.11941874427246893, 0.6052827049200415]	0.16532460090217516	1.940649094547668	1	0.042843329205106334	48.47084911901175	0.2748748330157844	0.2681550193335472
COL21A1	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	-0.20658638426361864	-0.20369680932440276	0.14907119849998599	[-0.4611460750209137, 0.08538475159957869]	0.16580077563640017	0.7697826696169541	1	0.0	0.0	-0.20658638426361864	-0.20369680932440276
TNFSF13	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	-0.20319484900466805	-0.2004437620911545	0.14907119849998599	[-0.4584715964632266, 0.08875057308358732]	0.17285966734163627	0.0028975973191107535	1	0.0	0.0	-0.20319484900466805	-0.2004437620911545
GPC3	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	-0.20240527559839222	-0.19968579212706253	0.14907119849998599	[-0.4578477626940297, 0.0895338722327262]	0.17453481521957337	0.0008290312367470699	1	0.0	0.0	-0.20240527559839222	-0.19968579212706253
TRAF2	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.19936350387270793	0.19676354331400736	0.14907119849998599	[-0.09255042932287734, 0.45544027566387707]	0.1811015524405729	0.012101686850474708	1	0.0	0.0	0.19936350387270793	0.19676354331400736
MIF	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.2406556763514657	0.23611496752666025	0.18198664607264836	[-0.11552012762849831, 0.5351608479553595]	0.18604132467058732	1.470750711104938	1	0.02144107489850426	32.007512051534206	0.231543549348837	0.22749253152444485
PLXNA1	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.19502835354446965	0.1925927005989194	0.14907119849998599	[-0.09684669590348642, 0.45199757183966044]	0.190774976426359	0.0003966141522701762	1	0.0	0.0	0.19502835354446965	0.1925927005989194
ICAM4	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.1926624815438359	0.19031354915805587	0.14907119849998599	[-0.09918983647395577, 0.45011304001638147]	0.1962120054434746	0.01946496379486825	1	0.0	0.0	0.1926624815438359	0.19031354915805587
LIF	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.18756789735183807	0.18539876426977933	0.14907119849998599	[-0.10423170553664811, 0.4460413257118551]	0.20830363281353148	0.3260575004862566	1	0.0	0.0	0.18756789735183807	0.18539876426977933
SLPI	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	-0.2062216112629955	-0.20334714566184586	0.16491121962884536	[-0.48495872129701467, 0.11647335595942215]	0.21111666506333893	1.2141238936562235	1	0.009752606492439331	17.636082674512643	-0.21078336610868778	-0.2077161885466565
FBLN1	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	-0.18461901552463192	-0.182549694095721	0.14907119849998599	[-0.4436760280958813, 0.10714764526323264]	0.21554480158735745	0.7196670565327572	1	0.0	0.0	-0.18461901552463192	-0.182549694095721
CD40	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.18400753724119923	0.18195852703813478	0.14907119849998599	[-0.10775206372225062, 0.4431847851329938]	0.21706875561035288	0.0340376484708241	1	0.0	0.0	0.18400753724119923	0.18195852703813478
HLA-A	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.24876753495648382	0.2437597777353261	0.2069329428897558	[-0.15554799666818342, 0.574595163121501]	0.22929961862226678	1.893110244924138	1	0.04067809819998604	47.17687452797696	0.23352997486486096	0.22937530056091043
ADAM28	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	-0.17914438230069846	-0.1772522583948796	0.14907119849998599	[-0.4392684058414381, 0.1125561996549361]	0.22946542169535822	0.2611948394298465	1	0.0	0.0	-0.17914438230069846	-0.1772522583948796
COL1A1	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.17833008974059222	0.1764634358936004	0.14907119849998599	[-0.1133601021672882, 0.4386110015093015]	0.23158941378595688	0.004706564888774217	1	0.0	0.0	0.17833008974059222	0.1764634358936004
S100A8	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.2505261610937579	0.24541319786992977	0.21134755651859904	[-0.16226789872678643, 0.5815273310653225]	0.23586911584123638	1.9736724297346284	1	0.04434742847981607	49.33303090551578	0.23425668198587302	0.23006365855679856
LGALS3	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.19502157417457922	0.19258617268054348	0.1650229247537144	[-0.12772197508469527, 0.4765155911764373]	0.2372911244108632	1.2157161494610187	1	0.00982512826492494	17.743956889661728	0.19961424035363093	0.19700456041259834
CLEC11A	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.17605509980556025	0.17425840624256886	0.14907119849998599	[-0.11560527442735419, 0.4367718412454869]	0.2375973552717615	0.05643059940847121	1	0.0	0.0	0.17605509980556025	0.17425840624256886
PLAU	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.20556797787636458	0.20272045684927614	0.1746617960491148	[-0.1359226832960306, 0.4989484794224961]	0.2392159731741852	1.3574112161282994	1	0.016278850937017687	26.33035677631514	0.2127692757190851	0.2096156280448376
PSEN1	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.22712640707030332	0.22329980309041111	0.19415606902057878	[-0.15222700842136674, 0.5424864976933578]	0.24207599563450333	1.6697900364073157	1	0.030506631212883814	40.11223098734147	0.21495877515983672	0.21170796007511547
TSPAN3	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	-0.1715508108350233	-0.16988749326116714	0.14907119849998599	[-0.4331196734855284, 0.1200470225258995]	0.24981542026815917	0.02319223843831417	1	0.0	0.0	-0.1715508108350233	-0.16988749326116714
TCTN1	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	-0.16342566874687633	-0.16198612421955838	0.14907119849998599	[-0.4264955828876466, 0.1280470915456705]	0.27295069698939844	0.017941821407757283	1	0.0	0.0	-0.16342566874687633	-0.16198612421955838
COL18A1	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.21227689077860407	0.2091448293103802	0.19505028395504784	[-0.16840209729547262, 0.5331783360399128]	0.27645439429982555	1.6849422848602895	1	0.03119676398655165	40.650786143519625	0.22466370934783686	0.22095861964660723
PDGFA	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.18102292996516245	0.17907117736924172	0.16811451362314386	[-0.14739987558112247, 0.47035600340799966]	0.2815770101048688	1.2602380865326102	1	0.011852949285392163	20.649914433916468	0.17558112628856787	0.17379878747439625
CLEC2B	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.15815378058316773	0.15684822776402227	0.14907119849998599	[-0.1332289954766755, 0.42217296408908056]	0.288722708388474	0.6336870781636599	1	0.0	0.0	0.15815378058316773	0.15684822776402227
SPON2	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.15781263266750858	0.15651545476002823	0.14907119849998599	[-0.13356407278616267, 0.42189257859918755]	0.2897640711345397	0.28403865703706055	1	0.0	0.0	0.15781263266750858	0.15651545476002823
L1CAM	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.15560522964356427	0.1543613859649222	0.14907119849998599	[-0.13573145462060057, 0.4200763901868843]	0.2965633024896882	0.4925714276290654	1	0.0	0.0	0.15560522964356427	0.1543613859649222
HLA-B	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.252292082966187	0.2470720418046126	0.24791878082370547	[-0.22946885535238737, 0.6280642196257475]	0.3088490422707142	2.7078763018815204	1	0.07778788824359152	63.07069125332026	0.2279285472576125	0.22406180966800307
ZG16B	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	-0.23506109916694715	-0.23082535738030416	0.23355218498176117	[-0.5997927284882826, 0.21909110210739363]	0.3141939999092035	2.4052630710627683	1	0.0640048969613609	58.424506157733965	-0.2563314500805792	-0.2508610253253414
ZDHHC5	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.3412234213220461	0.32856917670212316	0.34541133460218293	[-0.3237072641661717, 0.7691444739750892]	0.3232135881296825	5.2436049942073755	1	0.19328160398717803	80.92915082076733	0.2977205141418272	0.2892251881648276
CDH1	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.14696421807411816	0.14591521194211682	0.14907119849998599	[-0.14420312568401317, 0.41293446095641684]	0.3241988998586045	0.13676072264855654	1	0.0	0.0	0.14696421807411816	0.14591521194211682
MCAM	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	-0.14569289642726987	-0.14467072813339918	0.14907119849998599	[-0.4118793652258679, 0.14544778192857769]	0.3284020141896612	0.5417333028380644	1	0.0	0.0	-0.14569289642726987	-0.14467072813339918
CD99	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.1383900971325862	0.13751333909521113	0.14907119849998599	[-0.152588378578226, 0.40579726040648745]	0.3532265674769962	0.3720058974776127	1	0.0	0.0	0.1383900971325862	0.13751333909521113
HLA-DMA	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	-0.1376426538685622	-0.1367799546791561	0.14907119849998599	[-0.40517271036730945, 0.1533183355729469]	0.35583265787672835	0.16788125882883215	1	0.0	0.0	-0.1376426538685622	-0.1367799546791561
PLAT	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	-0.1360139426453041	-0.13518135990327557	0.14907119849998599	[-0.40381047865533254, 0.15490836302248687]	0.3615533141289349	0.11434146052729605	1	0.0	0.0	-0.1360139426453041	-0.13518135990327557
CD55	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.15004839214496055	0.14893235273057778	0.1654905005651337	[-0.17256868507202902, 0.44175543467159994]	0.3645713597580884	1.2223934513562615	1	0.010129256387683977	18.193279022356762	0.14532651372616712	0.14431199468428896
CEACAM1	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.23514825659579258	0.23090786937102115	0.26303602134886345	[-0.27327741936679045, 0.6355656963624983]	0.37133398705329634	3.0460635646296366	1	0.093191154259447	67.17074418236615	0.20762828674410905	0.204695268514199
LAMB2	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.13186734722318535	0.13110827957641505	0.14907119849998599	[-0.15895283313423322, 0.4003342382913795]	0.3763761525601752	0.02606231659755287	1	0.0	0.0	0.13186734722318535	0.13110827957641505
COL27A1	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.16753020948809486	0.16598028578284743	0.19033423489588264	[-0.20267914020400585, 0.49343089666352874]	0.3787566195693832	1.605841576428574	1	0.027593998926402664	37.727356503994535	0.1563072850756855	0.15504663884152106
ADGRE5	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.1294927067223009	0.1287737352384416	0.14907119849998599	[-0.16126659826752215, 0.3983382817883814]	0.38503121964581866	0.002452934906397288	1	0.0	0.0	0.1294927067223009	0.1287737352384416
TGM2	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.12953694375264954	0.12881723845265064	0.14963258323944253	[-0.16229503448418145, 0.39930078386279066]	0.38665463975411873	1.0071906025571078	1	0.0003275072014877032	0.7139266926093154	0.12936875081137703	0.12865183290287582
HLA-DRA	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	-0.12904084774075164	-0.12832934345964583	0.14907119849998599	[-0.39795805238911286, 0.1617066736924804]	0.3866918245208898	0.26344989736447244	1	0.0	0.0	-0.12904084774075164	-0.12832934345964583
HLA-DPB1	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	-0.1273861186553831	-0.12670152096562975	0.14907119849998599	[-0.3965644673391919, 0.16331770063686946]	0.3928102523214967	0.15024964616585085	1	0.0	0.0	-0.1273861186553831	-0.12670152096562975
CD82	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.12219120472797111	0.12158668182877896	0.14907119849998599	[-0.16836972064414737, 0.3921775249613913]	0.4123965471527582	0.039017412176310946	1	0.0	0.0	0.12219120472797111	0.12158668182877896
TYROBP	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.12191470652966535	0.12131426204074751	0.14907119849998599	[-0.16863836805776827, 0.39194352770599217]	0.4134549998068815	0.5768457965925579	1	0.0	0.0	0.12191470652966535	0.12131426204074751
TGFBI	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.12178184632454914	0.12118335505005481	0.14907119849998599	[-0.16876744697209106, 0.3918310715942251]	0.41396416871868835	0.5069963908769068	1	0.0	0.0	0.12178184632454914	0.12118335505005481
APP	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	-0.1213781160664586	-0.12078553429261367	0.14907119849998599	[-0.3914892726320574, 0.1691596512580781]	0.41551368595470284	0.06494144739275365	1	0.0	0.0	-0.1213781160664586	-0.12078553429261367
NECTIN1	tnk_cyto	1	22	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.18327849488509673	0.18125352907961606	0.22941573387056174	[-0.2602498067031348, 0.5600687367750611]	0.42435278427834444	0.0	0	0.0	0.0	0.18327849488509673	0.18125352907961606
LGALS1	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	-0.11795764431043773	-0.11741358434696063	0.14907119849998599	[-0.3885891633857527, 0.17248031195344413]	0.42877832185264	0.047918094045618545	1	0.0	0.0	-0.11795764431043773	-0.11741358434696063
CRLF1	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	-0.1301322102546449	-0.12940258221955372	0.16581684252904652	[-0.4261093643651431, 0.19243906154786175]	0.4325738382023666	1.2270657244475829	1	0.010342062348321083	18.504772802598364	-0.1349441034908489	-0.1341309194732379
LGALS9	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.11670460818917137	0.11617764132938124	0.14907119849998599	[-0.1736958075952299, 0.38752481995676485]	0.4336985747381513	0.38193774273811226	1	0.0	0.0	0.11670460818917137	0.11617764132938124
CD320	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	-0.11462141744837935	-0.11412207340760641	0.14907119849998599	[-0.3857530456286925, 0.1757154142857942]	0.44195039571200245	0.03764436896164203	1	0.0	0.0	-0.11462141744837935	-0.11412207340760641
LAMC1	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.18743223423461972	0.1852677609662716	0.24482773526528384	[-0.28436996445500823, 0.5831974551294878]	0.44393350138102095	2.6412207180932317	1	0.07475195578359861	62.138718920775126	0.16372597899449384	0.1622785402414126
TIMP2	tnk_cyto	2	51	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.11235884670428765	0.11188839709580377	0.14907119849998599	[-0.1779072509609138, 0.38382547857795035]	0.4510137319860742	0.2644037711879565	1	0.0	0.0	0.11235884670428765	0.11188839709580377
