sample_id	geo_gsm	sra_study	geo_series	organism	model_class	model_name	host_strain	tissue	library_strategy	library_kit	platform	arm	arm_code	factor_vehicle	factor_polyIC	factor_anti_PD1	factor_anti_C5aR1	timepoint	response_label	batch	notes
C_339_S25	GSM7666074	SRP451881	GSE239485	Mus_musculus	syngeneic	LLC	C57BL/6	tumor_bulk	RNA-seq	Illumina_Stranded_mRNA_Prep_Ligation	GPL30172_NextSeq2000	vehicle	C	1	0	0	0	on_treatment	NA	GSE239485_run	reference arm; not a responder label
C_351_S29	GSM7666075	SRP451881	GSE239485	Mus_musculus	syngeneic	LLC	C57BL/6	tumor_bulk	RNA-seq	Illumina_Stranded_mRNA_Prep_Ligation	GPL30172_NextSeq2000	vehicle	C	1	0	0	0	on_treatment	NA	GSE239485_run	reference arm; not a responder label
C_356_S27	GSM7666076	SRP451881	GSE239485	Mus_musculus	syngeneic	LLC	C57BL/6	tumor_bulk	RNA-seq	Illumina_Stranded_mRNA_Prep_Ligation	GPL30172_NextSeq2000	vehicle	C	1	0	0	0	on_treatment	NA	GSE239485_run	reference arm; not a responder label
C_358_S26	GSM7666077	SRP451881	GSE239485	Mus_musculus	syngeneic	LLC	C57BL/6	tumor_bulk	RNA-seq	Illumina_Stranded_mRNA_Prep_Ligation	GPL30172_NextSeq2000	vehicle	C	1	0	0	0	on_treatment	NA	GSE239485_run	reference arm; not a responder label
C_361_S32	GSM7666078	SRP451881	GSE239485	Mus_musculus	syngeneic	LLC	C57BL/6	tumor_bulk	RNA-seq	Illumina_Stranded_mRNA_Prep_Ligation	GPL30172_NextSeq2000	vehicle	C	1	0	0	0	on_treatment	NA	GSE239485_run	reference arm; not a responder label
C_364_S28	GSM7666079	SRP451881	GSE239485	Mus_musculus	syngeneic	LLC	C57BL/6	tumor_bulk	RNA-seq	Illumina_Stranded_mRNA_Prep_Ligation	GPL30172_NextSeq2000	vehicle	C	1	0	0	0	on_treatment	NA	GSE239485_run	reference arm; not a responder label
C_369_S30	GSM7666080	SRP451881	GSE239485	Mus_musculus	syngeneic	LLC	C57BL/6	tumor_bulk	RNA-seq	Illumina_Stranded_mRNA_Prep_Ligation	GPL30172_NextSeq2000	vehicle	C	1	0	0	0	on_treatment	NA	GSE239485_run	reference arm; not a responder label
C_375_S31	GSM7666081	SRP451881	GSE239485	Mus_musculus	syngeneic	LLC	C57BL/6	tumor_bulk	RNA-seq	Illumina_Stranded_mRNA_Prep_Ligation	GPL30172_NextSeq2000	vehicle	C	1	0	0	0	on_treatment	NA	GSE239485_run	reference arm; not a responder label
D_344_S33	GSM7666082	SRP451881	GSE239485	Mus_musculus	syngeneic	LLC	C57BL/6	tumor_bulk	RNA-seq	Illumina_Stranded_mRNA_Prep_Ligation	GPL30172_NextSeq2000	polyIC_aPD1	D	0	1	1	0	on_treatment	NA	GSE239485_run	doublet combo; treatment-arm DE only
D_357_S37	GSM7666083	SRP451881	GSE239485	Mus_musculus	syngeneic	LLC	C57BL/6	tumor_bulk	RNA-seq	Illumina_Stranded_mRNA_Prep_Ligation	GPL30172_NextSeq2000	polyIC_aPD1	D	0	1	1	0	on_treatment	NA	GSE239485_run	doublet combo; treatment-arm DE only
D_359_S39	GSM7666084	SRP451881	GSE239485	Mus_musculus	syngeneic	LLC	C57BL/6	tumor_bulk	RNA-seq	Illumina_Stranded_mRNA_Prep_Ligation	GPL30172_NextSeq2000	polyIC_aPD1	D	0	1	1	0	on_treatment	NA	GSE239485_run	doublet combo; treatment-arm DE only
D_366_S34	GSM7666085	SRP451881	GSE239485	Mus_musculus	syngeneic	LLC	C57BL/6	tumor_bulk	RNA-seq	Illumina_Stranded_mRNA_Prep_Ligation	GPL30172_NextSeq2000	polyIC_aPD1	D	0	1	1	0	on_treatment	NA	GSE239485_run	doublet combo; treatment-arm DE only
D_367_S35	GSM7666086	SRP451881	GSE239485	Mus_musculus	syngeneic	LLC	C57BL/6	tumor_bulk	RNA-seq	Illumina_Stranded_mRNA_Prep_Ligation	GPL30172_NextSeq2000	polyIC_aPD1	D	0	1	1	0	on_treatment	NA	GSE239485_run	doublet combo; treatment-arm DE only
D_368_S36	GSM7666087	SRP451881	GSE239485	Mus_musculus	syngeneic	LLC	C57BL/6	tumor_bulk	RNA-seq	Illumina_Stranded_mRNA_Prep_Ligation	GPL30172_NextSeq2000	polyIC_aPD1	D	0	1	1	0	on_treatment	NA	GSE239485_run	doublet combo; treatment-arm DE only
D_370_S38	GSM7666088	SRP451881	GSE239485	Mus_musculus	syngeneic	LLC	C57BL/6	tumor_bulk	RNA-seq	Illumina_Stranded_mRNA_Prep_Ligation	GPL30172_NextSeq2000	polyIC_aPD1	D	0	1	1	0	on_treatment	NA	GSE239485_run	doublet combo; treatment-arm DE only
D_373_S40	GSM7666089	SRP451881	GSE239485	Mus_musculus	syngeneic	LLC	C57BL/6	tumor_bulk	RNA-seq	Illumina_Stranded_mRNA_Prep_Ligation	GPL30172_NextSeq2000	polyIC_aPD1	D	0	1	1	0	on_treatment	NA	GSE239485_run	doublet combo; treatment-arm DE only
T_331_S44	GSM7666090	SRP451881	GSE239485	Mus_musculus	syngeneic	LLC	C57BL/6	tumor_bulk	RNA-seq	Illumina_Stranded_mRNA_Prep_Ligation	GPL30172_NextSeq2000	polyIC_aPD1_aC5aR1	T	0	1	1	1	on_treatment	NA	GSE239485_run	nested add-on; C5aR1 only exists on doublet background
T_352_S48	GSM7666091	SRP451881	GSE239485	Mus_musculus	syngeneic	LLC	C57BL/6	tumor_bulk	RNA-seq	Illumina_Stranded_mRNA_Prep_Ligation	GPL30172_NextSeq2000	polyIC_aPD1_aC5aR1	T	0	1	1	1	on_treatment	NA	GSE239485_run	nested add-on; C5aR1 only exists on doublet background
T_353_S45	GSM7666092	SRP451881	GSE239485	Mus_musculus	syngeneic	LLC	C57BL/6	tumor_bulk	RNA-seq	Illumina_Stranded_mRNA_Prep_Ligation	GPL30172_NextSeq2000	polyIC_aPD1_aC5aR1	T	0	1	1	1	on_treatment	NA	GSE239485_run	nested add-on; C5aR1 only exists on doublet background
T_354_S47	GSM7666093	SRP451881	GSE239485	Mus_musculus	syngeneic	LLC	C57BL/6	tumor_bulk	RNA-seq	Illumina_Stranded_mRNA_Prep_Ligation	GPL30172_NextSeq2000	polyIC_aPD1_aC5aR1	T	0	1	1	1	on_treatment	NA	GSE239485_run	nested add-on; C5aR1 only exists on doublet background
T_355_S43	GSM7666094	SRP451881	GSE239485	Mus_musculus	syngeneic	LLC	C57BL/6	tumor_bulk	RNA-seq	Illumina_Stranded_mRNA_Prep_Ligation	GPL30172_NextSeq2000	polyIC_aPD1_aC5aR1	T	0	1	1	1	on_treatment	NA	GSE239485_run	nested add-on; C5aR1 only exists on doublet background
T_360_S46	GSM7666095	SRP451881	GSE239485	Mus_musculus	syngeneic	LLC	C57BL/6	tumor_bulk	RNA-seq	Illumina_Stranded_mRNA_Prep_Ligation	GPL30172_NextSeq2000	polyIC_aPD1_aC5aR1	T	0	1	1	1	on_treatment	NA	GSE239485_run	nested add-on; C5aR1 only exists on doublet background
T_362_S42	GSM7666096	SRP451881	GSE239485	Mus_musculus	syngeneic	LLC	C57BL/6	tumor_bulk	RNA-seq	Illumina_Stranded_mRNA_Prep_Ligation	GPL30172_NextSeq2000	polyIC_aPD1_aC5aR1	T	0	1	1	1	on_treatment	NA	GSE239485_run	nested add-on; C5aR1 only exists on doublet background
T_363_S41	GSM7666097	SRP451881	GSE239485	Mus_musculus	syngeneic	LLC	C57BL/6	tumor_bulk	RNA-seq	Illumina_Stranded_mRNA_Prep_Ligation	GPL30172_NextSeq2000	polyIC_aPD1_aC5aR1	T	0	1	1	1	on_treatment	NA	GSE239485_run	nested add-on; C5aR1 only exists on doublet background
