ligand	n_patients	n_cohorts	median_delta	mean_delta	paired_p	frac_patients_expressed_high	paired_fdr
A2M	60	3	0.0	-0.002309199971932685	0.9524829312117657	0.16666666666666666	0.9764615791414664
AANAT	50	2	0.0	-0.00011328004875394981	0.6654143977847693	0.0	0.7675388082555978
ABCA1	60	3	0.05017173895612359	0.06683152804616839	2.8461156319045537e-08	0.7833333333333333	5.23247412327068e-07
ACE	60	3	0.00031852698884904385	0.0035491305772059906	0.08740949523042936	0.18333333333333332	0.1797837294326387
ACE2	50	2	0.0005248219385975972	0.0022140369314001874	0.08140401540817782	0.1	0.16947351639855834
ACP4	21	1	0.0	-8.819477148963848e-05	0.916511907863894	0.0	0.9507219877581192
ADAM10	60	3	0.05576200783252716	0.07749876013646523	9.353700370283567e-09	0.9833333333333333	2.2355343884977727e-07
ADAM11	60	3	0.0	7.790859963279218e-05	0.5832091077992169	0.016666666666666666	0.7091580779461208
ADAM12	60	3	0.002185251796618104	0.006152687813543404	0.0005285436276199272	0.11666666666666667	0.0025571240283636153
ADAM15	60	3	0.06926806643605232	0.09767064601182937	6.310856184922302e-09	0.9833333333333333	1.6045687534004576e-07
ADAM17	60	3	0.04326975345611572	0.06324962998429934	2.9684561254999844e-08	1.0	5.374704651473457e-07
ADAM2	50	2	0.0	4.169076986727305e-05	0.6858304344516057	0.0	0.7753712101889014
ADAM20	50	2	0.0	0.00035777769793639893	0.3870936972590958	0.0	0.5353900095192355
ADAM21	50	2	0.0	0.0004906761660822668	0.044233691013677856	0.0	0.10364560933597067
ADAM23	60	3	0.0	-0.0036801491398364304	0.26450786232203294	0.11666666666666667	0.4159038098353018
ADAM28	60	3	0.016787320491857827	0.031933430581799864	3.326548716471329e-06	0.5333333333333333	2.8805983450603173e-05
ADAM29	50	2	0.0	0.0011128423357149586	0.07032573521121915	0.0	0.1516954035693265
ADAM7	21	1	0.0	6.255998076604945e-05	0.31731050786291415	0.0	0.4669779025815054
ADAM9	60	3	0.06897884979844093	0.10113669928784172	1.4707471245801184e-07	0.95	2.143344894967368e-06
ADAMTS3	60	3	0.0	0.0013220966725687807	0.8627958052262049	0.016666666666666666	0.915573440810781
ADCYAP1	60	3	0.0	0.0010150285769971864	0.9031748075260909	0.05	0.9417922294883758
ADGRB1	60	3	0.0003837337135337293	0.0029826553489935275	0.0009613202026847222	0.03333333333333333	0.004335009970597143
ADGRE5	60	3	0.013838183134794235	0.026283359405351803	0.0013986199593512493	0.8333333333333334	0.005969110183659796
ADGRF5	60	3	0.006064970977604389	0.04081565373780904	0.0031854723933106353	0.7166666666666667	0.011868260613810282
ADIPOQ	50	2	0.0	-5.711493897251785e-05	0.32698934959801507	0.0	0.47769226499954526
ADM	60	3	0.06314153224229813	0.13718920767617723	1.876072116366325e-09	0.7666666666666667	6.593841703111054e-08
ADM2	60	3	0.012843455653637648	0.01707513424141022	2.4504182318697446e-05	0.4166666666666667	0.00017516847617538934
AGRN	60	3	0.1105639897286892	0.11954852082999423	7.857047324502202e-09	0.9333333333333333	1.9161574597510474e-07
AGRP	60	3	0.0	-0.0019117975139427775	0.03303323305084945	0.0	0.08223898644951061
AGT	60	3	0.0015113204717636108	0.014775408243197792	4.216304051333992e-05	0.18333333333333332	0.00027532695854339456
AHSG	60	3	0.0	-0.00028038636373821645	0.6377328900501884	0.0	0.7524727196229466
AIMP1	60	3	0.039051398634910583	0.04735575479765733	9.553939154485742e-05	1.0	0.0005766140045257809
ALB	50	2	0.0	0.002169690122973407	0.9262550873076122	0.1	0.9566766027075164
ALCAM	60	3	0.08779547177255154	0.16791743573267012	6.0392812576580876e-09	0.95	1.6037646895336476e-07
ALKAL1	31	2	0.002427079016342759	0.015452906883682215	0.00100530430207743	0.16129032258064516	0.004499395659110595
ALKAL2	31	2	0.0	-0.005066037882164481	0.13372989286451814	0.0	0.24699725189041602
ALOX5AP	60	3	-0.0062736570835113525	-0.041776634686781715	0.003639424177037437	0.4666666666666667	0.013219185080728686
AMBN	50	2	0.0	-0.0003920862218365073	0.06788915486182899	0.0	0.14697018126790878
AMELX	50	2	0.0	-2.8711026534438133e-05	0.6547208460185769	0.0	0.7588665480040732
AMELY	50	2	0.0	0.00018562116543762385	0.28504940740261275	0.0	0.4378329586711083
AMH	60	3	0.00028450984973460436	0.003595365346700419	0.021867950968859056	0.08333333333333333	0.05925669253466343
ANG	60	3	0.020966999232769012	0.03684727486300592	2.9925976692830513e-05	0.8166666666666667	0.00020791594272053757
ANGPT1	60	3	0.0	-0.0009802733088387565	0.9122935477913553	0.016666666666666666	0.9496435449570292
ANGPT2	60	3	0.0	0.0015450077364221216	0.2008761306841198	0.03333333333333333	0.3352611398987754
ANGPT4	60	3	0.0	-3.004956209527639e-05	0.3739447986092539	0.0	0.5243140522155547
ANGPTL1	60	3	0.0	0.0005311870273241463	0.28597919066405664	0.016666666666666666	0.43869721802766065
ANGPTL2	60	3	0.0	0.0032161347112075116	0.10103879830847332	0.08333333333333333	0.2012356066310427
ANGPTL3	50	2	0.0	-0.00011551830641110428	0.21322298815094953	0.0	0.3501441724522578
ANGPTL4	60	3	0.030684524856042117	0.05496544381894637	1.8643622625467746e-07	0.6166666666666667	2.4802957431352963e-06
ANGPTL5	50	2	0.0	0.000702240731625352	0.13295729296233563	0.0	0.24671423150619734
ANGPTL6	60	3	0.0	-0.0016752216872797968	0.8877953706512135	0.0	0.9322631528367312
ANGPTL7	50	2	0.0	-9.547206573188305e-05	0.6001794871405538	0.0	0.7208185800331274
ANOS1	60	3	0.009243602398782969	0.018922690850498233	0.00017103058355440978	0.4166666666666667	0.0009418504486060816
ANPEP	60	3	0.005237236153334379	0.027932442531406802	1.1139527670100158e-05	0.3	8.58821649404496e-05
ANTXR1	60	3	0.0012494297698140144	0.014449872390832752	0.004470641731807893	0.35	0.015530281597414045
ANXA1	60	3	0.21974021196365356	0.3148186325095594	5.683749081014049e-11	0.9666666666666667	8.490100189764736e-09
ANXA2	60	3	0.1579093337059021	0.24694923510154088	1.9441038635532113e-08	1.0	3.899179826324123e-07
APELA	50	2	0.0	-0.000747321936651133	0.7221076526150257	0.0	0.8027150184883309
APLN	60	3	0.0	-7.249946211231872e-05	0.5766138649393062	0.016666666666666666	0.7067216088230471
APOA1	60	3	0.0	-0.0012896496399965448	0.15116355253383335	0.0	0.2692107977316406
APOA2	50	2	0.0	-0.0009429738859034842	0.33915541347158473	0.0	0.4899484240907891
APOA4	50	2	0.0	3.2028804998844865e-05	1.0	0.0	1.0
APOA5	50	2	0.0	-1.385014591505751e-05	1.0	0.0	1.0
APOB	60	3	0.0	0.000315407164938127	0.5196565532398361	0.0	0.6627423491159061
APOC1	60	3	-0.0071481914492323995	-0.033283208392094824	0.12035190213847893	0.8166666666666667	0.23011283688877174
APOC2	60	3	0.0	-0.0006083967552209894	0.287036927721668	0.0	0.4397552931120426
APOC3	50	2	0.0	-0.0007386320002842695	0.7150006546880893	0.0	0.7970389760748756
APOC4	50	2	0.0	-0.00023714125039987267	0.916511907863894	0.0	0.9507219877581192
APOD	60	3	0.006841513328254223	0.05441988144011702	0.001734304854724519	0.48333333333333334	0.007146532073778621
APOE	60	3	0.006271976977586746	0.028612669452559202	0.10066515762653477	0.8666666666666667	0.20082614918816205
APOO	60	3	0.01641431637108326	0.03301380077997843	0.0007472905659468843	0.9166666666666666	0.003474755744383372
APP	60	3	0.13815899938344955	0.2294304515661982	3.2443940549068886e-09	0.9666666666666667	9.456221696618859e-08
AREG	60	3	0.08927398920059204	0.14131422251230105	7.952760493022661e-05	0.85	0.0004898736489258804
ARF1	60	3	0.09157383441925049	0.09169131418069204	2.4626195813778587e-05	1.0	0.00017516847617538934
ARMH4	31	2	0.00835987739264965	0.029030818527849812	0.00070173479616642	0.3870967741935484	0.0033145181083749876
ARTN	60	3	0.0018655145540833473	0.016526278453723838	4.397236427770176e-05	0.18333333333333332	0.0002840377043883979
ASIP	50	2	0.0	-0.0002496451641491149	0.9353114289860184	0.0	0.9632585513333812
ATP1B1	60	3	0.19906063377857208	0.279465834548076	1.5045510168523422e-09	1.0	6.593841703111054e-08
AVP	50	2	0.0	0.004295100415474735	0.265156633625956	0.04	0.41629445375135005
AZGP1	50	2	0.0029760944307781756	0.035053666156018154	0.05809775069378956	0.42	0.1297697422038851
B2M	60	3	0.11219418048858643	0.14465400576591492	4.394608446499839e-05	1.0	0.0002840377043883979
BACE1	60	3	0.005251972004771233	0.007670710037928075	0.016400331787624508	0.43333333333333335	0.04655201065608382
BACE2	60	3	0.037978645414114	0.08957235268511189	3.9948989575036536e-05	0.8666666666666667	0.0002637516162550755
BCAN	50	2	0.0	0.000588123450288549	0.6241950204767168	0.02	0.7414642638863584
BDNF	60	3	0.0	0.006903484765886484	0.16597741534373123	0.13333333333333333	0.29125258639612156
BGN	60	3	0.0	-0.002221462722324456	0.11580410335886271	0.1	0.22356365672672202
BMP1	60	3	0.00977333408081904	0.016132157994434237	0.0017559266192262912	0.6333333333333333	0.007161543720052621
BMP10	21	1	0.0	-5.589687221107029e-06	0.31731050786291415	0.0	0.4669779025815054
BMP15	50	2	0.0	0.0004920438703265972	0.043114446783075355	0.0	0.10202329486292089
BMP2	60	3	0.004823570139706135	0.008524804138384448	0.0040763428661557445	0.4666666666666667	0.01441192226347963
BMP3	60	3	0.002188020764151588	0.01780993496843924	0.003188043227642762	0.4666666666666667	0.011868260613810282
BMP4	60	3	0.0015622097998857498	0.013352100038415908	0.03922854324681158	0.4666666666666667	0.09513730673254339
BMP5	60	3	0.00010827490041265264	0.0072461772518484695	0.0007414747022423875	0.18333333333333332	0.00346118073898302
BMP6	60	3	0.0	0.004612966311591056	0.0036554788226121036	0.05	0.013237264221277164
BMP7	60	3	0.0008848306169966236	0.008761804610306475	0.008490911806257967	0.25	0.02684296192719119
BMP8A	50	2	0.0	-0.00022242069302592427	0.8190952935504228	0.02	0.8802328019719021
BMP8B	60	3	0.0019648993329610676	0.006463463706556164	0.0009069529534494481	0.13333333333333333	0.004152524058896899
BOC	60	3	0.0	0.00472191505941737	0.03522752498123245	0.1	0.0865514197132248
BPI	60	3	0.0	0.0003642135680517337	0.05933611988090862	0.0	0.1322885508538914
BST2	60	3	0.04608859121799469	0.08386916616388286	0.00023250195736898227	0.85	0.0012403564243568474
BTC	60	3	0.006151267210952938	0.02455086459546389	0.00035646719162259503	0.48333333333333334	0.001804992771139835
BTLA	60	3	0.0	-0.0032580797357998864	0.007969184101149924	0.0	0.025531300270440104
BTN1A1	60	3	0.0	-0.00027003914862386107	0.027991815485665747	0.0	0.07147482800292856
BTN2A1	60	3	0.025906018912792206	0.024009960587136447	1.3121503324743323e-05	0.8333333333333334	9.867271557746452e-05
BTNL8	60	3	0.0	0.0014760031447319003	0.08297978868920647	0.0	0.17208780513591154
BTNL9	60	3	0.0	0.005780271894279091	0.4597422414990979	0.08333333333333333	0.6084075067457608
C10orf99	50	2	0.0	0.015473626191233053	0.4838398513935682	0.04	0.6318522046758631
C1QA	60	3	-0.00045992917148396373	-0.02175034128886182	0.48433189914902974	0.6333333333333333	0.6318522046758631
C1QB	60	3	0.0004345885827206075	-0.020182968413185638	0.8482109054822544	0.6166666666666667	0.904167577714745
C1QTNF1	60	3	0.0001459679624531418	-0.00019646584235791427	0.39723333791291016	0.06666666666666667	0.5442099997835135
C1QTNF5	50	2	0.0	0.0011128382122842595	0.1095109374886408	0.0	0.21453372180151764
C3	60	3	0.008189854503143579	0.03527313744367954	0.1275457309689271	0.6666666666666666	0.24006138993103
C4A	50	2	0.0	0.0020598852906550747	0.03700451161641875	0.02	0.09043024822417262
C4BPA	50	2	0.0	-0.021171100263745756	0.5277561255172449	0.4	0.6694995435170995
C5	60	3	0.0001349968952126801	0.007635274581843987	0.9218340782442966	0.2	0.9538106866224093
C6orf15	50	2	0.0	0.0019520968931465176	0.03334022025101753	0.06	0.08283069272342193
