unit_id	file	tissue
LX255B	GSM3516668_MSK_LX255B_METASTASIS_dense.csv.gz	METASTASIS
LX653	GSM3516662_MSK_LX653_PRIMARY_TUMOUR_dense.csv.gz	PRIMARY
LX661	GSM3516663_MSK_LX661_PRIMARY_TUMOUR_dense.csv.gz	PRIMARY
LX666	GSM3516664_MSK_LX666_METASTASIS_dense.csv.gz	METASTASIS
LX675	GSM3516665_MSK_LX675_PRIMARY_TUMOUR_dense.csv.gz	PRIMARY
LX676	GSM3516667_MSK_LX676_PRIMARY_TUMOUR_dense.csv.gz	PRIMARY
LX679	GSM3516669_MSK_LX679_PRIMARY_TUMOUR_dense.csv.gz	PRIMARY
LX680	GSM3516670_MSK_LX680_PRIMARY_TUMOUR_dense.csv.gz	PRIMARY
LX681	GSM3516671_MSK_LX681_METASTASIS_dense.csv.gz	METASTASIS
LX682	GSM3516672_MSK_LX682_PRIMARY_TUMOUR_dense.csv.gz	PRIMARY
LX684	GSM3516674_MSK_LX684_PRIMARY_TUMOUR_dense.csv.gz	PRIMARY
LX699	GSM3516677_MSK_LX699_METASTASIS_dense.csv.gz	METASTASIS
LX701	GSM3516678_MSK_LX701_METASTASIS_dense.csv.gz	METASTASIS
