dataset	x	y	n	rho	p	label
GSE123902	mal_CLDN4_pct	nhej_score	13	0.3021978021978022	0.3156083662499548	CLDN4 %pos vs NHEJ
GSE131907	mal_CLDN4_pct	nhej_score	21	-0.04025974025974026	0.8624424916554133	CLDN4 %pos vs NHEJ
GSE205335	mal_CLDN4_pct	nhej_score	22	0.03444381705251271	0.8790527918698183	CLDN4 %pos vs NHEJ
GSE189357	mal_CLDN4_pct	nhej_score	9	-0.16666666666666669	0.668231040071504	CLDN4 %pos vs NHEJ
GSE123902	mal_CLDN4_pct	sting_ifn	13	-0.3736263736263736	0.20855405979520916	CLDN4 %pos vs STING/IFN
GSE131907	mal_CLDN4_pct	sting_ifn	21	0.17142857142857143	0.45747702762159437	CLDN4 %pos vs STING/IFN
GSE205335	mal_CLDN4_pct	sting_ifn	22	-0.4963297571993225	0.018799296027891203	CLDN4 %pos vs STING/IFN
GSE189357	mal_CLDN4_pct	sting_ifn	9	-0.45	0.22421610749233675	CLDN4 %pos vs STING/IFN
GSE123902	mal_CLDN4_pct	mhc_score	13	-0.10989010989010989	0.7208097995138618	CLDN4 %pos vs MHC-I
GSE131907	mal_CLDN4_pct	mhc_score	21	0.006493506493506493	0.9777139815073872	CLDN4 %pos vs MHC-I
GSE205335	mal_CLDN4_pct	mhc_score	22	-0.4748729531338228	0.025531919822233972	CLDN4 %pos vs MHC-I
GSE189357	mal_CLDN4_pct	mhc_score	9	-0.25	0.5164895523012261	CLDN4 %pos vs MHC-I
GSE123902	mal_CLDN4_pct	sting_score	13	-0.38461538461538464	0.19441291997748633	CLDN4 %pos vs STING core
GSE131907	mal_CLDN4_pct	sting_score	21	0.24415584415584415	0.286152904374841	CLDN4 %pos vs STING core
GSE205335	mal_CLDN4_pct	sting_score	22	-0.5256916996047432	0.011980930269026196	CLDN4 %pos vs STING core
GSE189357	mal_CLDN4_pct	sting_score	9	-0.31666666666666665	0.406397014486386	CLDN4 %pos vs STING core
GSE123902	mal_CLDN4_pct	ifn_score	13	-0.2912087912087912	0.33438585619752936	CLDN4 %pos vs Hallmark IFN
GSE131907	mal_CLDN4_pct	ifn_score	21	-0.005194805194805195	0.9821704184352004	CLDN4 %pos vs Hallmark IFN
GSE205335	mal_CLDN4_pct	ifn_score	22	-0.4138904573687183	0.05550702963051303	CLDN4 %pos vs Hallmark IFN
GSE189357	mal_CLDN4_pct	ifn_score	9	-0.3666666666666667	0.3317398014330152	CLDN4 %pos vs Hallmark IFN
GSE123902	mal_CLDN4_pct	ifn_not_mhc_score	13	-0.2912087912087912	0.33438585619752936	CLDN4 %pos vs IFN minus MHC genes
GSE131907	mal_CLDN4_pct	ifn_not_mhc_score	21	0.007792207792207793	0.9732581834484768	CLDN4 %pos vs IFN minus MHC genes
GSE205335	mal_CLDN4_pct	ifn_not_mhc_score	22	-0.4138904573687183	0.05550702963051303	CLDN4 %pos vs IFN minus MHC genes
GSE189357	mal_CLDN4_pct	ifn_not_mhc_score	9	-0.3666666666666667	0.3317398014330152	CLDN4 %pos vs IFN minus MHC genes
GSE123902	mal_CLDN4_pct	nhej_core_score	13	0.3186813186813187	0.28858316144472024	CLDN4 %pos vs NHEJ core
GSE131907	mal_CLDN4_pct	nhej_core_score	21	-0.2311688311688312	0.313347333132429	CLDN4 %pos vs NHEJ core
GSE205335	mal_CLDN4_pct	nhej_core_score	22	0.011857707509881424	0.9582317578505689	CLDN4 %pos vs NHEJ core
GSE189357	mal_CLDN4_pct	nhej_core_score	9	0.03333333333333333	0.9321567355405039	CLDN4 %pos vs NHEJ core
GSE123902	cldn4_logcpm	nhej_score	13	-0.07692307692307691	0.8027630076692551	CLDN4 logCPM vs NHEJ
GSE131907	cldn4_logcpm	nhej_score	21	-0.07922077922077922	0.7328457347746481	CLDN4 logCPM vs NHEJ
GSE205335	cldn4_logcpm	nhej_score	22	0.21287408243929987	0.34152891382319295	CLDN4 logCPM vs NHEJ
GSE189357	cldn4_logcpm	nhej_score	9	-0.3666666666666667	0.3317398014330152	CLDN4 logCPM vs NHEJ
GSE123902	cldn4_logcpm	sting_ifn	13	0.06043956043956044	0.8445023706449681	CLDN4 logCPM vs STING/IFN
GSE131907	cldn4_logcpm	sting_ifn	21	-0.2571428571428571	0.2604731897004084	CLDN4 logCPM vs STING/IFN
GSE205335	cldn4_logcpm	sting_ifn	22	0.233201581027668	0.2962759077686691	CLDN4 logCPM vs STING/IFN
GSE189357	cldn4_logcpm	sting_ifn	9	0.06666666666666667	0.8646897846262036	CLDN4 logCPM vs STING/IFN
GSE123902	cldn4_logcpm	mhc_score	13	-0.19780219780219782	0.5171309114848299	CLDN4 logCPM vs MHC-I
GSE131907	cldn4_logcpm	mhc_score	21	-0.033766233766233764	0.8844723124673912	CLDN4 logCPM vs MHC-I
GSE205335	cldn4_logcpm	mhc_score	22	0.22190852625635235	0.3209369353188612	CLDN4 logCPM vs MHC-I
GSE189357	cldn4_logcpm	mhc_score	9	0.38333333333333336	0.3084952723803716	CLDN4 logCPM vs MHC-I
GSE123902	cldn4_logcpm	ifn_score	13	0.0879120879120879	0.775195408889122	CLDN4 logCPM vs Hallmark IFN
GSE131907	cldn4_logcpm	ifn_score	21	-0.3116883116883117	0.16899965782484547	CLDN4 logCPM vs Hallmark IFN
GSE205335	cldn4_logcpm	ifn_score	22	0.29757199322416716	0.17863505141387861	CLDN4 logCPM vs Hallmark IFN
GSE189357	cldn4_logcpm	ifn_score	9	0.2333333333333333	0.5456987782182728	CLDN4 logCPM vs Hallmark IFN
