dataset	unit_id	n_cells	n_malignant	n_tnk	mal_CLDN4_pct	mal_CLDN4_mean	lib_umi
GSE123902	LX255B	3886	228	1583	35.08771929824561	0.4488016514639581	875902.0
GSE123902	LX653	392	145	49	71.72413793103448	1.2524068271342224	2016792.0
GSE123902	LX661	4566	117	3726	58.97435897435898	0.8576085684228482	1029399.0
GSE123902	LX666	1316	786	177	67.17557251908397	0.9923952117887153	21807106.0
GSE123902	LX675	3435	618	1336	31.3915857605178	0.582960587751478	7639844.0
GSE123902	LX676	4014	147	2606	42.17687074829932	0.831390019521496	1125713.0
GSE123902	LX679	2017	497	625	43.25955734406438	0.5643712240448416	2954316.0
GSE123902	LX680	941	258	344	73.25581395348837	1.8590778846234401	6147903.0
GSE123902	LX681	1630	1207	86	63.29743164871583	1.1775350457817828	19376320.0
GSE123902	LX682	4092	421	2558	18.76484560570071	0.46131823402558575	4379677.0
GSE123902	LX684	378	173	92	72.83236994219652	0.9118972941270771	1511890.0
GSE123902	LX699	2671	46	2263	15.217391304347828	0.31411776431478144	366899.0
GSE123902	LX701	788	90	322	11.11111111111111	0.1116109679423314	1634709.0
GSE189357	TD1	15216	2186	9915	56.1299176578225	0.9674971541301649	14246106.0
GSE189357	TD2	18064	1207	11334	35.62551781275891	0.5306434754503818	6106078.0
GSE189357	TD3	12658	664	6525	48.04216867469879	0.6981268538447051	4809980.0
GSE189357	TD4	11756	491	7096	30.346232179226067	0.5108686257635009	3488167.0
GSE189357	TD5	19079	1736	11055	36.86635944700461	0.5360227792318812	8409277.0
GSE189357	TD6	8999	1211	3392	63.501238645747314	1.1397017546722699	13870894.0
GSE189357	TD7	3507	849	1851	36.63133097762073	0.45111739216566615	2977187.0
GSE189357	TD8	15521	1019	7257	45.338567222767416	0.6825880840310956	7563332.0
GSE189357	TD9	17573	4889	4345	78.56412354264675	1.286821189923943	24414446.0
GSE131907	BRONCHO_11	3178	203	809	80.78817733990148	1.8059599708830327	3837709.0
GSE131907	BRONCHO_58	2813	460	1546	72.17391304347827	1.4263533362235619	10627623.0
GSE131907	EBUS_06	2303	1186	611	71.16357504215851	1.3552293035869711	15704987.0
GSE131907	EBUS_10	5144	367	1530	84.46866485013624	1.9049734855942484	11913433.0
GSE131907	EBUS_12	3115	257	328	88.32684824902724	2.3549040610356684	10364460.0
GSE131907	EBUS_13	3550	376	1150	0.26595744680851063	0.0018434765440424076	8254137.0
GSE131907	EBUS_15	1105	256	479	47.265625	1.1294928392821784	5668929.0
GSE131907	EBUS_19	2112	217	1427	94.00921658986175	2.4779035334230066	5869514.0
GSE131907	EBUS_28	5182	4640	232	96.33620689655173	2.197978326433922	59974822.0
GSE131907	EBUS_49	1775	114	1126	49.12280701754386	0.9512107328950752	1679793.0
GSE131907	EBUS_51	3275	1285	1143	85.36964980544747	1.581328884787959	23362801.0
GSE131907	NS_02	2313	181	977	58.56353591160221	1.126727726322637	2904753.0
GSE131907	NS_03	2990	2713	145	93.14412089937339	2.264933208146411	44668609.0
GSE131907	NS_04	1904	1229	131	89.34092758340114	1.9523515591538418	32193616.0
GSE131907	NS_06	1070	83	383	60.24096385542169	1.434511918266367	2013539.0
GSE131907	NS_07	5730	5108	166	90.40720438527799	1.5931307483262624	45860794.0
GSE131907	NS_12	3182	2811	22	86.33938100320171	1.728830943634575	45456965.0
GSE131907	NS_13	4845	1352	1780	72.41124260355029	0.9959480312401604	9836768.0
GSE131907	NS_16	1317	79	385	11.39240506329114	0.10313755860663223	1295144.0
GSE131907	NS_17	2409	1112	410	88.21942446043165	2.3008201233302157	23329786.0
GSE131907	NS_19	3300	755	370	67.1523178807947	1.0082934839931024	8156716.0
