type	id	name	description	mentions_cldn4
EXPR	OEX00032672	RNA	RNA-Seq	no
SAMP	OES00439177	RNA_rep3_CLDN6_pos	colorectal cancer	no
SAMP	OES00439178	RNA_rep3_CLDN6_neg	colorectal cancer	no
SAMP	OES00439179	RNA_rep2_CLDN6_neg	colorectal cancer	no
SAMP	OES00439180	RNA_rep1_CLDN6_neg	colorectal cancer	no
SAMP	OES00439181	RNA_rep1_CLDN6_pos	colorectal cancer	no
SAMP	OES00439182	RNA_rep2_CLDN6_pos	colorectal cancer	no
PROJ	OEP00006646	CLDN6 Defines a Migratory Subpopulation in Colorectal Cancer via SRC–FOXO1 Signaling and Epigenetic Reprogramming(RNA)		no
EXPR	OEX00032674	CHIP	ChIP-Seq	no
EXPR	OEX00032673	ATAC	ATAC-seq	no
SAMP	OES00439183	rep2_CLDN6_neg_FOXO1	colorectal cancer	no
SAMP	OES00439184	rep1_CLDN6_neg_FOXO1	colorectal cancer	no
SAMP	OES00439187	rep1_CLDN6_pos_FOXO1	colorectal cancer	no
SAMP	OES00439188	rep2_CLDN6_neg_IgG	colorectal cancer	no
SAMP	OES00439189	rep1_CLDN6_neg_input	colorectal cancer	no
SAMP	OES00439190	rep2_CLDN6_neg_H3K27me3	colorectal cancer	no
SAMP	OES00439192	rep1_CLDN6_neg_H3K27me3	colorectal cancer	no
SAMP	OES00439193	rep1_CLDN6_neg_IgG	colorectal cancer	no
SAMP	OES00439195	rep1_CLDN6_pos_IgG	colorectal cancer	no
SAMP	OES00439196	rep1_CLDN6_pos_input	colorectal cancer	no
SAMP	OES00439197	rep2_CLDN6_neg_input	colorectal cancer	no
SAMP	OES00439198	rep1_CLDN6_pos_H3K27me3	colorectal cancer	no
SAMP	OES00439199	rep2_CLDN6_pos_H3K27me3	colorectal cancer	no
SAMP	OES00439200	rep2_CLDN6_pos_input	colorectal cancer	no
SAMP	OES00439201	rep2_CLDN6_pos_IgG	colorectal cancer	no
SAMP	OES00439202	rep2_CLDN6_pos_FOXO1	colorectal cancer	no
SAMP	OES00439185	rep2_CLDN6_pos	colorectal cancer	no
SAMP	OES00439186	rep2_CLDN6_neg	colorectal cancer	no
SAMP	OES00439191	rep1_CLDN6_pos	colorectal cancer	no
SAMP	OES00439194	rep1_CLDN6_neg	colorectal cancer	no
PROJ	OEP00006647	CLDN6 Defines a Migratory Subpopulation in Colorectal Cancer via SRC–FOXO1 Signaling and Epigenetic Reprogramming(CHIP and ATAC)		no
