interaction_name	pathway_name	ligand	receptor	lr_class	split	score	k_units	n_q1	n_q4	n_compared	mean_delta	se	p_meta	i2	units
GDF15_TGFBR2	GDF	GDF15	TGFBR2	other	between_q4q1_given_pct	cellchat_hill	1	2	3	5	0.05222255010151088	0.011540566917190829	6.035877499094361e-06	0.0	GSE123902
SPP1_CD44	SPP1	SPP1	CD44	other	between_q4q1_given_pct	cellchat_hill	2	10	5	15	-0.30243805651491884	0.08669987242340801	0.0004860416988139035	0.0	GSE123902+GSE131907
IGFBP3_TMEM219	IGFBP	IGFBP3	TMEM219	other	between_q4q1_given_pct	cellchat_hill	1	3	4	7	-0.22517184944120017	0.07380982417410376	0.0022830631429082674	0.0	GSE131907
HLA-DPB1_CD4	MHC-II	HLA-DPB1	CD4	other	between_q4q1_given_pct	cellchat_hill	2	7	5	12	0.08192167858094128	0.031833759952165516	0.010069852141510568	0.0	GSE123902+GSE131907
HLA-DRB1_CD4	MHC-II	HLA-DRB1	CD4	other	between_q4q1_given_pct	cellchat_hill	2	7	5	12	0.09215233021687366	0.037649313242855836	0.01437913788887719	0.0	GSE123902+GSE131907
APP_CD74	APP	APP	CD74	other	between_q4q1_given_pct	cellchat_hill	2	10	8	18	0.144519896297002	0.05917122086877364	0.014589898329701458	0.0	GSE123902+GSE131907
C3_C3AR1	COMPLEMENT	C3	C3AR1	other	between_q4q1_given_pct	cellchat_hill	1	2	3	5	0.014968594811057005	0.0062121488641931856	0.01597142157937643	0.0	GSE123902
HLA-F_CD8B	MHC-I	HLA-F	CD8B	inhibitory	between_q4q1_given_pct	cellchat_hill	2	7	6	13	-0.1788569861564555	0.07707776413052994	0.02031522283313006	38.190305064440246	GSE123902+GSE131907
LAMB2_CD44	LAMININ	LAMB2	CD44	other	between_q4q1_given_pct	cellchat_hill	2	8	7	15	0.030718559570444202	0.013824460858851565	0.02628033578526321	0.0	GSE123902+GSE131907
CLEC2D_KLRB1	CLEC	CLEC2D	KLRB1	other	between_q4q1_given_pct	cellchat_hill	2	8	5	13	-0.028062049838473872	0.013083929803430238	0.03197105927865675	15.971347788913878	GSE123902+GSE131907
APP_SORL1	APP	APP	SORL1	other	between_q4q1_given_pct	cellchat_hill	2	6	4	10	0.09308804930273692	0.04399154018233022	0.03434103723955837	2.3429502913252707	GSE123902+GSE131907
HLA-F_CD8A	MHC-I	HLA-F	CD8A	inhibitory	between_q4q1_given_pct	cellchat_hill	2	7	7	14	-0.23843800232213594	0.11411358736725229	0.03666458075289335	53.862395541032996	GSE123902+GSE131907
HLA-G_CD8A	MHC-I	HLA-G	CD8A	inhibitory	between_q4q1_given_pct	cellchat_hill	1	3	2	5	-0.21330871651178324	0.10738109502556453	0.04698178816483713	0.0	GSE123902
HLA-DRA_CD4	MHC-II	HLA-DRA	CD4	other	between_q4q1_given_pct	cellchat_hill	2	7	5	12	0.13365352222884164	0.06912322337664112	0.053167921467731964	0.0	GSE123902+GSE131907
HLA-G_CD8B	MHC-I	HLA-G	CD8B	inhibitory	between_q4q1_given_pct	cellchat_hill	1	3	2	5	-0.1324836158927776	0.06939027667248561	0.05622942133535085	0.0	GSE123902
HLA-B_CD8B	MHC-I	HLA-B	CD8B	other	between_q4q1_given_pct	cellchat_hill	2	8	6	14	-0.2375532001979374	0.14173000464272992	0.09371924320225576	38.681525764585956	GSE123902+GSE131907
HLA-DMA_CD4	MHC-II	HLA-DMA	CD4	other	between_q4q1_given_pct	cellchat_hill	2	7	5	12	0.08034607013574242	0.04983842765766352	0.10693345400434381	15.878462628587053	GSE123902+GSE131907
HLA-DPA1_CD4	MHC-II	HLA-DPA1	CD4	other	between_q4q1_given_pct	cellchat_hill	2	7	5	12	0.07121628624518964	0.044809708942258594	0.11199159188507414	0.0	GSE123902+GSE131907
COL1A1_SDC4	COLLAGEN	COL1A1	SDC4	other	between_q4q1_given_pct	cellchat_hill	1	2	3	5	0.03369574853030747	0.021432989146042362	0.11591712412753537	0.0	GSE123902
