family	row	interaction_name	ligand	receptor	axis	thesis_expect	split	n_units	n_gse123902	n_gse131907	mean_delta	median_delta	se	wilcoxon_p	meta_p	I2	n_pos	n_neg	observed_direction	agrees_thesis
barrier_inhibitory	pair	JAM1_ITGAL_ITGB2	F11R	ITGAL_ITGB2	F11R	high>low	median	17	5	12	0.08708359198304448	0.06882141871628031	0.020632916165016807	1.52587890625e-05	2.4363691064279905e-05	2.2204460492503124e-14	17	0	high>low	yes
barrier_inhibitory	pair	NECTIN2_TIGIT	NECTIN2	TIGIT	NECTIN2-TIGIT	high>low	median	9	9	0	0.0833428897230877	0.06220677560925375	0.022966446976333793	0.00390625	0.000284633848753785	0.0	9	0	high>low	yes
barrier_inhibitory	pair	CDH1_ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	high>low	median	21	6	15	0.05048847021009013	0.04558348014786984	0.01012931229940446	9.5367431640625e-07	6.215672918410389e-07	0.0	21	0	high>low	yes
barrier_inhibitory	pair	CDH1_KLRG1	CDH1	KLRG1	CDH1	high>low	median	12	2	10	0.06198976257863083	0.03049885790225485	0.022880635652007767	0.00048828125	0.006743194787270265	0.0	12	0	high>low	yes
barrier_inhibitory	pair	LGALS9_HAVCR2	LGALS9	HAVCR2	LGALS9	high>low	median	15	6	9	0.0059552890642922286	0.002115238579573255	0.002986566136399679	0.01025390625	0.046149266728272714	5.075305255429285e-14	13	2	high>low	yes
barrier_inhibitory	pair	LGALS9_CD44	LGALS9	CD44	LGALS9	high>low	median	26	10	16	0.06737169151528928	0.060488004043825344	0.012800217891140109	5.756328369396694e-05	1.4147408848030486e-07	0.0	22	3	high>low	yes
barrier_inhibitory	pair	LGALS9_CD45	LGALS9	PTPRC	LGALS9	high>low	median	26	10	16	0.0843022100122231	0.059816616032856984	0.01799360736439707	5.756328369396694e-05	2.797959335259092e-06	1.4210854715202002e-14	22	3	high>low	yes
barrier_inhibitory	FAMILY_AGGREGATE	FAMILY:barrier_inhibitory	CDH1|F11R|LGALS9|NECTIN2	T/NK	family	high>low	median	29	11	18	0.06437449129590912	0.04660958488353163	0.010879655084653463	2.60770320892334e-08	3.279450615337104e-09	2.537652627714643e-14	27	2	high>low	yes
barrier_inhibitory	pair	JAM1_ITGAL_ITGB2	F11R	ITGAL_ITGB2	F11R	high>low	tertile	19	6	13	0.09133155948183592	0.06926830969550898	0.021471708964506214	3.814697265625e-06	2.1038289582429224e-05	1.9737298215558335e-14	19	0	high>low	yes
barrier_inhibitory	pair	NECTIN2_TIGIT	NECTIN2	TIGIT	NECTIN2-TIGIT	high>low	tertile	10	10	0	0.08236677503844393	0.04592405667262314	0.02854528449908361	0.001953125	0.003908204449842473	1.9737298215558335e-14	10	0	high>low	yes
barrier_inhibitory	pair	CDH1_ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	high>low	tertile	21	6	15	0.05356679278117482	0.04939509163123121	0.011135488628298829	9.5367431640625e-07	1.5058535693655801e-06	1.77635683940025e-14	21	0	high>low	yes
barrier_inhibitory	pair	CDH1_KLRG1	CDH1	KLRG1	CDH1	high>low	tertile	12	2	10	0.06810033536453325	0.03600597136679681	0.024472984024184533	0.00048828125	0.005391295426788347	3.2297397080004544e-14	12	0	high>low	yes
barrier_inhibitory	pair	LGALS9_HAVCR2	LGALS9	HAVCR2	LGALS9	high>low	tertile	17	8	9	0.004512375272378147	0.0018510548778030908	0.004460070235979011	0.120208740234375	0.31166840991414224	2.2204460492503124e-14	13	4	high>low	direction_only
barrier_inhibitory	pair	LGALS9_CD44	LGALS9	CD44	LGALS9	high>low	tertile	27	11	16	0.07725992208947999	0.09372255959463799	0.013762021150275222	1.5929341316223145e-05	1.9770758367080248e-08	1.3664283380001925e-14	23	4	high>low	yes
barrier_inhibitory	pair	LGALS9_CD45	LGALS9	PTPRC	LGALS9	high>low	tertile	27	11	16	0.09377481513486047	0.09324839120114303	0.019134356526168024	3.0234456062316895e-05	9.541771665527643e-07	0.0	23	4	high>low	yes
barrier_inhibitory	FAMILY_AGGREGATE	FAMILY:barrier_inhibitory	CDH1|F11R|LGALS9|NECTIN2	T/NK	family	high>low	tertile	32	12	20	0.0670863825673009	0.06452968432541129	0.0110847922496666	7.869675755500793e-08	1.4296074743157492e-09	2.292073341161613e-14	29	3	high>low	yes
barrier_inhibitory	pair	JAM1_ITGAL_ITGB2	F11R	ITGAL_ITGB2	F11R	high>low	q4q1	19	6	13	0.09596162355174859	0.07360809787951116	0.022418096871011286	3.814697265625e-06	1.864380111772639e-05	0.0	19	0	high>low	yes
barrier_inhibitory	pair	NECTIN2_TIGIT	NECTIN2	TIGIT	NECTIN2-TIGIT	high>low	q4q1	10	10	0	0.09595073729379754	0.05263621239232781	0.030253656153729203	0.001953125	0.0015163200629298508	1.9737298215558335e-14	10	0	high>low	yes
barrier_inhibitory	pair	CDH1_ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	high>low	q4q1	21	6	15	0.0595584441374363	0.048271011421037	0.011673909465235813	9.5367431640625e-07	3.363631313952069e-07	0.0	21	0	high>low	yes
barrier_inhibitory	pair	CDH1_KLRG1	CDH1	KLRG1	CDH1	high>low	q4q1	12	2	10	0.08297152798259771	0.05101090698524728	0.02667892910544268	0.00048828125	0.001870859558887471	0.0	12	0	high>low	yes
barrier_inhibitory	pair	LGALS9_HAVCR2	LGALS9	HAVCR2	LGALS9	high>low	q4q1	17	8	9	0.006717074097612184	0.0021828291546003332	0.005522941095276256	0.0714111328125	0.223903700428416	2.2204460492503124e-14	13	4	high>low	direction_only
barrier_inhibitory	pair	LGALS9_CD44	LGALS9	CD44	LGALS9	high>low	q4q1	27	11	16	0.09277872628557282	0.11687143617566857	0.01499398123222061	6.660819053649902e-06	6.103626894392317e-10	0.0	23	4	high>low	yes
barrier_inhibitory	pair	LGALS9_CD45	LGALS9	PTPRC	LGALS9	high>low	q4q1	27	11	16	0.11152605322058785	0.1287867224970593	0.02006187583468356	1.1354684829711914e-05	2.71163166704243e-08	2.7328566760003845e-14	23	4	high>low	yes
barrier_inhibitory	FAMILY_AGGREGATE	FAMILY:barrier_inhibitory	CDH1|F11R|LGALS9|NECTIN2	T/NK	family	high>low	q4q1	32	12	20	0.07741094969680144	0.07295921575893	0.0116491991786328	2.561137080192566e-08	3.028601032666279e-11	0.0	29	3	high>low	yes
ifn_recruit_mhci	pair	CXCL9_CXCR3	CXCL9	CXCR3	CXCL9/10-CXCR3	low>high	median	2	1	1	0.004339862244247056	0.004339862244247055	0.0020837889603923395	0.5	0.0372805481993298	0.0	2	0	high>low	thin
ifn_recruit_mhci	pair	CXCL10_CXCR3	CXCL10	CXCR3	CXCL9/10-CXCR3	low>high	median	7	3	4	0.005368137333198492	0.00010030120345100324	0.003964133329054366	0.5625	0.1756799830647553	2.9605947323337504e-14	4	2	high>low	no
ifn_recruit_mhci	pair	CCL5_CCR5	CCL5	CCR5	CCL5	low>high	median	2	0	2	0.008135587306998395	0.008135587306998395	0.0074906405897033	0.5	0.2774346010356177	0.0	2	0	high>low	thin
ifn_recruit_mhci	pair	CCL5_CCR1	CCL5	CCR1	CCL5	low>high	median	2	0	2	0.0070602943741054245	0.0070602943741054245	0.004077666706926901	0.5	0.08337073318057953	0.0	2	0	high>low	thin
ifn_recruit_mhci	pair	HLA-A_CD8A	HLA-A	CD8A	HLA-CD8	low>high	median	27	10	17	0.0263403585664439	0.018725837784882515	0.0065846790301643645	2.586841583251953e-05	6.327575322493412e-05	2.7328566760003845e-14	24	3	high>low	opposite
ifn_recruit_mhci	pair	HLA-B_CD8A	HLA-B	CD8A	HLA-CD8	low>high	median	27	10	17	0.02827507936293161	0.022312371664555464	0.008203650137158227	0.0001253187656402588	0.0005675914163404007	0.0	25	2	high>low	opposite
