family	split	cohort	n_q1	n_q4	n	n_genes	logFC	p	t	se	df	fdr
IFN	q4q1	GSE123902+GSE131907	10.0	8.0	18	216	-0.2554570678813831	0.30476223550969306	-1.0626227441769347	0.24040240930401882	15.0	0.4081674232842689
MHC-I/APM	q4q1	GSE123902+GSE131907	10.0	8.0	18	21	-0.38082271482118846	0.32653393862741514	-1.01427416368273	0.3754632903577653	15.0	0.4081674232842689
TJ	q4q1	GSE123902+GSE131907	10.0	8.0	18	186	0.17611264151729922	0.09342220962264379	1.791407267031898	0.0983096612134952	15.0	0.23355552405660948
keratin	q4q1	GSE123902+GSE131907	10.0	8.0	18	16	0.05040187755981951	0.9413629943364378	0.07479910165317168	0.6738299851985232	15.0	0.9413629943364377
chemokine	q4q1	GSE123902+GSE131907	10.0	8.0	18	24	-0.7825579694160604	0.024163968458700138	-2.5071146986280075	0.31213488949839713	15.0	0.12081984229350069
IFN	continuous	GSE123902+GSE131907			34	216	-0.027604669900635537	0.7860702424651204	-0.2737792527512275	0.10082820236827375	31.0	0.7860702424651204
MHC-I/APM	continuous	GSE123902+GSE131907			34	21	-0.12266915169966053	0.42066547988249986	-0.8161078903091745	0.15030996900812774	31.0	0.5258318498531248
TJ	continuous	GSE123902+GSE131907			34	186	0.09193997133801984	0.01721322211907086	2.5171878039561504	0.03652487557484664	31.0	0.08606611059535431
keratin	continuous	GSE123902+GSE131907			34	16	0.2543174188774607	0.24452409587353457	1.1862806342682786	0.2143821719169585	31.0	0.4075401597892243
chemokine	continuous	GSE123902+GSE131907			34	24	-0.2399956838135789	0.107855832907403	-1.6557823313992306	0.1449439816227347	31.0	0.2696395822685075
IFN	q4q1	GSE123902	4.0	3.0	7	216	-0.7369621877666078	0.08065443890600407	-2.1844953294128695	0.33736038610102337	5.0	0.18584734787903978
MHC-I/APM	q4q1	GSE123902	4.0	3.0	7	21	-0.8220354700216621	0.09470085200001224	-2.0577758893923486	0.39947764684151554	5.0	0.18584734787903978
TJ	q4q1	GSE123902	4.0	3.0	7	186	0.06485985391917304	0.7963219286650678	0.2722399921176788	0.2382451358988309	5.0	0.7963219286650678
keratin	q4q1	GSE123902	4.0	3.0	7	16	-0.788935686580572	0.3997445645275217	-0.9200815496663549	0.8574627834529018	5.0	0.49968070565940215
chemokine	q4q1	GSE123902	4.0	3.0	7	24	-1.3816125120499005	0.11150840872742387	-1.929873141381157	0.7159084617661027	5.0	0.18584734787903978
IFN	continuous	GSE123902			13	216	-0.24002238010727123	0.04442050161693107	-2.2685498455027617	0.10580432278492732	11.0	0.11105125404232767
MHC-I/APM	continuous	GSE123902			13	21	-0.2993836549690002	0.11375786991297497	-1.7181102363756604	0.17425171483789514	11.0	0.18959644985495827
TJ	continuous	GSE123902			13	186	0.05232104988777176	0.5235270768804406	0.6588773715862715	0.07940938958308268	11.0	0.5235270768804406
keratin	continuous	GSE123902			13	16	-0.24195128876321823	0.3588272684374943	-0.9576229890661224	0.2526581875390962	11.0	0.44853408554686786
chemokine	continuous	GSE123902			13	24	-0.6387326469828049	0.021417741423706976	-2.679750382783914	0.23835527782227398	11.0	0.10708870711853488
IFN	q4q1	GSE131907	6.0	5.0	11	216	0.04720329318932959	0.8789476860889235	0.1566901457988231	0.301252468358378	9.0	0.8789476860889234
MHC-I/APM	q4q1	GSE131907	6.0	5.0	11	21	-0.10348898298089004	0.8554585278975567	-0.1874594190292295	0.552060726085754	9.0	0.8789476860889234
TJ	q4q1	GSE131907	6.0	5.0	11	186	0.24604296515040758	0.006958414400838864	3.478186058695922	0.07073887394127978	9.0	0.03479207200419432
keratin	q4q1	GSE131907	6.0	5.0	11	16	0.5779854893052089	0.5564611626062019	0.6107681198752686	0.9463255702069804	9.0	0.8789476860889234
chemokine	q4q1	GSE131907	6.0	5.0	11	24	-0.40600939976050354	0.08686575875644835	-1.921369184860447	0.211312538454182	9.0	0.21716439689112088
IFN	continuous	GSE131907			21	216	0.08808725502816261	0.4950583759166957	0.6956684357205228	0.12662246913204886	19.0	0.8250972931944928
MHC-I/APM	continuous	GSE131907			21	21	-0.013348966098604276	0.9452300968643665	-0.06961178023090014	0.19176303284194376	19.0	0.9888613397562811
TJ	continuous	GSE131907			21	186	0.1007873570713832	0.0010473462546838682	3.8631493885002537	0.026089427805045542	19.0	0.005236731273419341
keratin	continuous	GSE131907			21	16	0.48280282225611915	0.07998450793907563	1.849633051064901	0.26102627328061206	19.0	0.19996126984768908
chemokine	continuous	GSE131907			21	24	0.0018487527046580899	0.988861339756281	0.014145552427832352	0.13069498091997744	19.0	0.9888613397562811
