contrast	n	rho	p	q	note
CLDN4 vs Slingshot PT	22	0.29192546583850937	0.18741678683613616	0.4468972593773641	
CLDN4 vs DPT (companion)	22	0.016374929418407683	0.9423421025261127	1.0	
CLDN4 vs AT2 score	22	0.5177865612648223	0.013577261476764104	0.05430904590705641	
CLDN4 vs barrier/keratin (no CLDN4)	22	0.6487859966120837	0.0010893930149235096	0.009173799780122775	
CLDN4 vs IFN (Hallmark IFNα)	22	0.044607566346696784	0.8437394727309631	1.0	
CLDN4 vs compact ISG (extra)	22	-0.233201581027668	0.2962759077686691	0.46639230778270196	
CLDN4 vs malignant-like score	22	-0.22642574816487862	0.310928205188468	0.46639230778270196	
CLDN4 vs TACSTD2 (comparator)	22	0.6341050254093734	0.0015289666300204625	0.009173799780122775	
barrier vs Slingshot PT	22	-0.07735742518351214	0.7322213135924378	0.9762950847899171	
IFN vs Slingshot PT	22	-0.2704686617730096	0.223448629688682	0.4468972593773641	
SFTPC vs Slingshot PT (control)	0				n<4
AT2 score vs Slingshot PT (control)	22	0.4940711462450593	0.01943206430832704	0.058296192924981116	
