sample	n_cells_high_nhood	n_cells_low_nhood	frac_tnk_high_nhood	frac_tnk_low_nhood	dataset	graph	n_cells	n_malignant	n_tnk	malignant_cldn4	frac_tnk	cldn4_arm	in_pair_n
P1	2000	1060	0.0085	0.01509433962264151	GSE148071	GSE148071	5317	3286	147	1.2062486410140991	0.02764716945646041	low	True
P2	134	45	0.0	0.0	GSE148071	GSE148071	306	120	1	1.9771252870559692	0.0032679738562091504	high	True
P3	2560	3926	0.0	0.0005094243504839531	GSE148071	GSE148071	7835	6808	17	0.9790173768997192	0.002169751116783663	low	True
P4	55	189	0.01818181818181818	0.015873015873015872	GSE148071	GSE148071	4558	99	304	0.37932005524635315	0.06669591926283458	low	True
P5	129	63	0.0	0.015873015873015872	GSE148071	GSE148071	2454	23	36	0.7294541001319885	0.014669926650366748	low	True
P6	1275	367	0.01019607843137255	0.05449591280653951	GSE148071	GSE148071	3119	1439	88	1.9742186069488525	0.028214171208720745	high	True
P7	102	184	0.45098039215686275	0.23369565217391305	GSE148071	GSE148071	3059	128	1060	0.5325690507888794	0.34651847008826414	low	True
P8	191	1	0.0	0.0	GSE148071	GSE148071	1342	129	66	2.2132463455200195	0.04918032786885246	high	True
P9	627	116	0.0	0.0	GSE148071	GSE148071	3520	358	62	1.6414695978164673	0.017613636363636363	high	True
P10	1249	1089	0.008006405124099279	0.0027548209366391185	GSE148071	GSE148071	3740	2459	70	1.10429048538208	0.01871657754010695	low	True
P11	7	162	0.0	0.0	GSE148071	GSE148071	574	104	46	0.03538918122649193	0.08013937282229965	low	True
P12	4	1	0.0	0.0	GSE148071	GSE148071	891	1	46		0.051627384960718295	unscored	True
P13	120	14	0.0	0.0	GSE148071	GSE148071	938	122	90	1.7487804889678955	0.09594882729211088	high	True
P14	165	541	0.006060606060606061	0.005545286506469501	GSE148071	GSE148071	1808	572	31	0.43161943554878235	0.017146017699115043	low	True
P15	1318	1090	0.002276176024279211	0.0027522935779816515	GSE148071	GSE148071	3606	2017	17	1.2946597337722778	0.004714364947310039	high	True
P16	523	134	0.0	0.0	GSE148071	GSE148071	1148	872	0	1.7255853414535522	0.0	high	True
P17	2723	5468	0.0	0.0	GSE148071	GSE148071	8700	5972	0	0.7044427394866943	0.0	low	True
P18	823	495	0.0	0.014141414141414142	GSE148071	GSE148071	3314	1559	88	1.2173537015914917	0.026554013277006638	low	True
P19	103	6	0.0	0.0	GSE148071	GSE148071	453	72	48	1.812164545059204	0.10596026490066225	high	True
P20	147	42	0.0	0.0	GSE148071	GSE148071	429	231	0	2.183753252029419	0.0	high	True
P21	595	395	0.0	0.002531645569620253	GSE148071	GSE148071	1968	1080	12	1.4101277589797974	0.006097560975609756	high	True
P22	109	26	0.009174311926605505	0.5384615384615384	GSE148071	GSE148071	644	46	231	1.781869649887085	0.358695652173913	high	True
P23	462	707	0.004329004329004329	0.002828854314002829	GSE148071	GSE148071	2387	1388	32	0.658175528049469	0.013405948889819858	low	True
P24	65	46	0.0	0.0	GSE148071	GSE148071	386	79	64	1.007836103439331	0.16580310880829016	low	True
P25	1385	1305	0.0	0.0	GSE148071	GSE148071	4029	3108	2	1.156801700592041	0.0004964010920824026	low	True
P26	54	45	0.018518518518518517	0.17777777777777778	GSE148071	GSE148071	570	63	82	1.6699109077453613	0.14385964912280702	high	True
P27	47	63	0.0	0.031746031746031744	GSE148071	GSE148071	707	33	87	1.4928152561187744	0.12305516265912306	high	True
P28	493	41	0.0	0.0	GSE148071	GSE148071	2373	356	64	1.6435954570770264	0.0269700800674252	high	True
P29	346	413	0.0	0.0	GSE148071	GSE148071	969	320	1	0.8770560026168823	0.0010319917440660474	low	True
P30	270	157	0.0	0.006369426751592357	GSE148071	GSE148071	742	541	4	0.9143273830413818	0.005390835579514825	low	True
P31	97	39	0.0	0.0	GSE148071	GSE148071	387	329	4	1.4403133392333984	0.0103359173126615	high	True
P32	198	27	0.0	0.0	GSE148071	GSE148071	595	132	79	2.774290084838867	0.13277310924369748	high	True
P33	91	31	0.0	0.0	GSE148071	GSE148071	350	86	0	2.2222509384155273	0.0	high	True
P34	254	82	0.0	0.0	GSE148071	GSE148071	972	403	14	1.0129364728927612	0.01440329218106996	low	True
P35	174	111	0.0	0.0	GSE148071	GSE148071	1079	1	15		0.013901760889712697	unscored	True
P36	35	124	0.0	0.0	GSE148071	GSE148071	500	153	3	0.8154506087303162	0.006	low	True
P37	111	166	0.0	0.0	GSE148071	GSE148071	2486	12	43	0.0855594202876091	0.01729686242960579	low	True
P38	97	104	0.0	0.04807692307692308	GSE148071	GSE148071	1358	46	150	1.232067584991455	0.11045655375552282	high	True
P39	134	17	0.022388059701492536	0.17647058823529413	GSE148071	GSE148071	1896	1	227		0.11972573839662447	unscored	True
P40	70	3	0.02857142857142857	0.0	GSE148071	GSE148071	1155	73	373	1.6507854461669922	0.3229437229437229	high	True
P41	3526	1674	0.0	0.0	GSE148071	GSE148071	6222	5157	3	1.3796054124832153	0.00048216007714561236	high	True
P42	50	235	0.6	0.09787234042553192	GSE148071	GSE148071	1001	146	454	0.10314798355102539	0.45354645354645357	low	True
