sample	n_cells_high_nhood	n_cells_low_nhood	frac_tnk_high_nhood	frac_tnk_low_nhood	dataset	graph	n_cells	n_malignant	n_tnk	malignant_cldn4	frac_tnk	cldn4_arm	in_pair_n
P1	2000	1060	0.0085	0.0150943396226415	GSE148071	GSE148071	5317	3286	147	1.2062486410140991	0.0276471694564604	low	True
P2	134	45	0.0	0.0	GSE148071	GSE148071	306	120	1	1.9771252870559688	0.0032679738562091	high	True
P3	2560	3926	0.0	0.0005094243504839	GSE148071	GSE148071	7835	6808	17	0.9790173768997192	0.0021697511167836	low	True
P4	55	189	0.0181818181818181	0.0158730158730158	GSE148071	GSE148071	4558	99	304	0.3793200552463531	0.0666959192628345	low	True
P5	129	63	0.0	0.0158730158730158	GSE148071	GSE148071	2454	23	36	0.7294541001319885	0.0146699266503667	low	True
P6	1275	367	0.0101960784313725	0.0544959128065395	GSE148071	GSE148071	3119	1439	88	1.9742186069488523	0.0282141712087207	high	True
P7	102	184	0.4509803921568627	0.233695652173913	GSE148071	GSE148071	3059	128	1060	0.5325690507888794	0.3465184700882641	low	True
P8	191	1	0.0	0.0	GSE148071	GSE148071	1342	129	66	2.2132463455200195	0.0491803278688524	high	True
P9	627	116	0.0	0.0	GSE148071	GSE148071	3520	358	62	1.6414695978164673	0.0176136363636363	high	True
P10	1249	1089	0.0080064051240992	0.0027548209366391	GSE148071	GSE148071	3740	2459	70	1.10429048538208	0.0187165775401069	low	True
P11	7	162	0.0	0.0	GSE148071	GSE148071	574	104	46	0.0353891812264919	0.0801393728222996	low	True
P12	4	1	0.0	0.0	GSE148071	GSE148071	891	1	46		0.0516273849607182	unscored	True
P13	120	14	0.0	0.0	GSE148071	GSE148071	938	122	90	1.7487804889678955	0.0959488272921108	high	True
P14	165	541	0.006060606060606	0.0055452865064695	GSE148071	GSE148071	1808	572	31	0.4316194355487823	0.017146017699115	low	True
P15	1318	1090	0.0022761760242792	0.0027522935779816	GSE148071	GSE148071	3606	2017	17	1.2946597337722778	0.00471436494731	high	True
P16	523	134	0.0	0.0	GSE148071	GSE148071	1148	872	0	1.7255853414535522	0.0	high	True
P17	2723	5468	0.0	0.0	GSE148071	GSE148071	8700	5972	0	0.7044427394866943	0.0	low	True
P18	823	495	0.0	0.0141414141414141	GSE148071	GSE148071	3314	1559	88	1.2173537015914917	0.0265540132770066	low	True
P19	103	6	0.0	0.0	GSE148071	GSE148071	453	72	48	1.812164545059204	0.1059602649006622	high	True
P20	147	42	0.0	0.0	GSE148071	GSE148071	429	231	0	2.183753252029419	0.0	high	True
P21	595	395	0.0	0.0025316455696202	GSE148071	GSE148071	1968	1080	12	1.4101277589797974	0.0060975609756097	high	True
P22	109	26	0.0091743119266055	0.5384615384615384	GSE148071	GSE148071	644	46	231	1.781869649887085	0.358695652173913	high	True
P23	462	707	0.0043290043290043	0.0028288543140028	GSE148071	GSE148071	2387	1388	32	0.658175528049469	0.0134059488898198	low	True
P24	65	46	0.0	0.0	GSE148071	GSE148071	386	79	64	1.007836103439331	0.1658031088082901	low	True
P25	1385	1305	0.0	0.0	GSE148071	GSE148071	4029	3108	2	1.156801700592041	0.0004964010920824	low	True
P26	54	45	0.0185185185185185	0.1777777777777777	GSE148071	GSE148071	570	63	82	1.669910907745361	0.143859649122807	high	True
P27	47	63	0.0	0.0317460317460317	GSE148071	GSE148071	707	33	87	1.4928152561187744	0.123055162659123	high	True
