split	direction	interaction_name	pathway_name	ligand	receptor	focus	ligand_class	n_paired	n_GSE189357	n_GSE205335	median_prob_high	median_prob_low	delta_median	median_paired_delta	p	thin	test	note
median	outgoing	CD274_PDCD1	PD-L1	CD274	PDCD1	CD274–PDCD1	inhibitory	2	0	2	0.032156191910412815	0.0004082626285241323	0.03174792928188868	0.03174792928188869	1.0	True	wilcoxon_signed_rank_paired_patient	n_paired=2 below gate 6
median	outgoing	HLA-E_CD94:NKG2C	MHC-I	HLA-E	CD94:NKG2C	MHC-I	inhibitory	12	1	11	0.2761914427140193	0.13143450351636118	0.1447569391976581	0.08075708079383381	0.00341796875	False	wilcoxon_signed_rank_paired_patient	
median	outgoing	HLA-E_KLRC2	MHC-I	HLA-E	KLRC2	MHC-I	inhibitory	12	1	11	0.17049032162552608	0.04531761594668651	0.12517270567883956	0.0623903406188866	0.00341796875	False	wilcoxon_signed_rank_paired_patient	
median	outgoing	HLA-F_CD8B	MHC-I	HLA-F	CD8B	MHC-I	other	22	7	15	0.07902169446926335	0.021676050840439436	0.05734564362882392	0.02036584508197432	0.009274482727050781	False	wilcoxon_signed_rank_paired_patient	
median	outgoing	HLA-E_CD8B	MHC-I	HLA-E	CD8B	MHC-I	inhibitory	25	7	18	0.22208326665641437	0.142479803199892	0.07960346345652236	0.05384459244649559	0.00963503122329712	False	wilcoxon_signed_rank_paired_patient	
median	outgoing	HLA-E_KLRK1	MHC-I	HLA-E	KLRK1	MHC-I	inhibitory	20	0	20	0.40312191889754817	0.29021423554587333	0.11290768335167484	0.09020022883615973	0.01068878173828125	False	wilcoxon_signed_rank_paired_patient	
median	outgoing	HLA-F_CD8A	MHC-I	HLA-F	CD8A	MHC-I	other	23	8	15	0.12004719991257536	0.0744081998952682	0.045639000017307155	0.024184933843335865	0.013528585433959961	False	wilcoxon_signed_rank_paired_patient	
median	outgoing	HLA-E_CD8A	MHC-I	HLA-E	CD8A	MHC-I	inhibitory	27	8	19	0.3419197898504865	0.29304901619440754	0.04887077365607895	0.044586690509075044	0.029904991388320923	False	wilcoxon_signed_rank_paired_patient	
median	outgoing	HLA-A_CD8B	MHC-I	HLA-A	CD8B	MHC-I	other	25	7	18	0.3245963330710509	0.2891622487519424	0.035434084319108494	0.011009267955936597	0.055070459842681885	False	wilcoxon_signed_rank_paired_patient	
median	outgoing	HLA-E_CD94:NKG2A	MHC-I	HLA-E	CD94:NKG2A	MHC-I	inhibitory	6	1	5	0.38128762780266356	0.28211968946976723	0.09916793833289633	0.102918414108294	0.0625	True	wilcoxon_signed_rank_paired_patient	
median	outgoing	HLA-E_KLRC1	MHC-I	HLA-E	KLRC1	MHC-I	inhibitory	6	1	5	0.21452988079951837	0.1688281408514828	0.045701739948035586	0.060574646687837526	0.0625	True	wilcoxon_signed_rank_paired_patient	
median	outgoing	HLA-A_CD8A	MHC-I	HLA-A	CD8A	MHC-I	other	27	8	19	0.47478746382506587	0.4129753818520162	0.06181208197304966	0.011214080955804118	0.09056484699249268	False	wilcoxon_signed_rank_paired_patient	
median	outgoing	HLA-B_CD8B	MHC-I	HLA-B	CD8B	MHC-I	other	25	7	18	0.35655513474711314	0.26252868659372763	0.09402644815338551	0.01020182840391537	0.09573346376419067	False	wilcoxon_signed_rank_paired_patient	
median	outgoing	HLA-C_CD8B	MHC-I	HLA-C	CD8B	MHC-I	other	25	7	18	0.3602231542379393	0.24993943496531365	0.11028371927262567	0.01154369737308314	0.1134914755821228	False	wilcoxon_signed_rank_paired_patient	
median	outgoing	HLA-B_CD8A	MHC-I	HLA-B	CD8A	MHC-I	other	27	8	19	0.5369336221268596	0.4774975684963995	0.05943605363046006	0.009113101356525766	0.15513363480567932	False	wilcoxon_signed_rank_paired_patient	
median	outgoing	HLA-C_CD8A	MHC-I	HLA-C	CD8A	MHC-I	other	27	8	19	0.5300799959089469	0.4389642123399191	0.09111578356902783	0.014891245267415587	0.27924175560474396	False	wilcoxon_signed_rank_paired_patient	
median	outgoing	HLA-B_KIR3DL2	MHC-I	HLA-B	KIR3DL2	MHC-I	other	2	0	2	0.048908693136028455	0.026103235552604267	0.02280545758342419	0.022805457583424185	1.0	True	wilcoxon_signed_rank_paired_patient	n_paired=2 below gate 6
median	outgoing	HLA-C_KIR2DL3	MHC-I	HLA-C	KIR2DL3	MHC-I	other	1	0	1	0.19973848936371982	0.10825504370716148	0.09148344565655835	0.09148344565655835	1.0	True	wilcoxon_signed_rank_paired_patient	n_paired=1 below gate 6
median	outgoing	HLA-F_KIR3DL2	MHC-I	HLA-F	KIR3DL2	MHC-I	other	1	0	1	0.0030479500285815974	0.0023355868488170698	0.0007123631797645276	0.0007123631797645276	1.0	True	wilcoxon_signed_rank_paired_patient	n_paired=1 below gate 6
median	outgoing	HLA-G_CD8A	MHC-I	HLA-G	CD8A	MHC-I	inhibitory	2	0	2	0.25249703258235967	0.06176727266354657	0.1907297599188131	0.19072975991881314	1.0	True	wilcoxon_signed_rank_paired_patient	n_paired=2 below gate 6
median	outgoing	HLA-G_CD8B	MHC-I	HLA-G	CD8B	MHC-I	inhibitory	2	0	2	0.1726229385595033	0.03514177817174567	0.13748116038775765	0.13748116038775765	1.0	True	wilcoxon_signed_rank_paired_patient	n_paired=2 below gate 6
median	outgoing	ULBP2_KLRK1	MHC-I	ULBP2	KLRK1	MHC-I	other	2	0	2	0.0425359759356268	0.024712066357401363	0.01782390957822544	0.01782390957822543	1.0	True	wilcoxon_signed_rank_paired_patient	n_paired=2 below gate 6
median	outgoing	HLA-A_CD8B2	MHC-I	HLA-A	CD8B2	MHC-I	other	0	0	0						True	wilcoxon_signed_rank_paired_patient	n_paired=0 below gate 6
median	outgoing	HLA-A_KIR3DL1	MHC-I	HLA-A	KIR3DL1	MHC-I	other	0	0	0						True	wilcoxon_signed_rank_paired_patient	n_paired=0 below gate 6
median	outgoing	HLA-B_CD8B2	MHC-I	HLA-B	CD8B2	MHC-I	other	0	0	0						True	wilcoxon_signed_rank_paired_patient	n_paired=0 below gate 6
median	outgoing	HLA-C_CD8B2	MHC-I	HLA-C	CD8B2	MHC-I	other	0	0	0						True	wilcoxon_signed_rank_paired_patient	n_paired=0 below gate 6
median	outgoing	HLA-C_KIR2DL1	MHC-I	HLA-C	KIR2DL1	MHC-I	other	0	0	0						True	wilcoxon_signed_rank_paired_patient	n_paired=0 below gate 6
median	outgoing	HLA-C_KIR3DL3	MHC-I	HLA-C	KIR3DL3	MHC-I	other	0	0	0						True	wilcoxon_signed_rank_paired_patient	n_paired=0 below gate 6
median	outgoing	HLA-E_CD8B2	MHC-I	HLA-E	CD8B2	MHC-I	inhibitory	0	0	0						True	wilcoxon_signed_rank_paired_patient	n_paired=0 below gate 6
median	outgoing	HLA-F_CD8B2	MHC-I	HLA-F	CD8B2	MHC-I	other	0	0	0						True	wilcoxon_signed_rank_paired_patient	n_paired=0 below gate 6
median	outgoing	HLA-F_KIR3DL1	MHC-I	HLA-F	KIR3DL1	MHC-I	other	0	0	0						True	wilcoxon_signed_rank_paired_patient	n_paired=0 below gate 6
median	outgoing	HLA-F_LILRB1	MHC-I	HLA-F	LILRB1	MHC-I	other	0	0	0						True	wilcoxon_signed_rank_paired_patient	n_paired=0 below gate 6
median	outgoing	HLA-G_CD8B2	MHC-I	HLA-G	CD8B2	MHC-I	inhibitory	0	0	0						True	wilcoxon_signed_rank_paired_patient	n_paired=0 below gate 6
