gene	mean_high	mean_low	delta_high_minus_low	welch_t	welch_p	n_high	n_low	fdr_bh	cohort
TACSTD2	1.1854069767441864	-1.2353837209302325	2.420790697674419	17.579979738198517	1.069936276883899e-27	43	43	1.9463210812795005e-23	OncoSG_LUAD
CLDN4	0.513646511627907	-0.7612604651162791	1.274906976744186	5.9170373642683005	8.825013889632407e-08	43	43	2.1263023531960676e-06	OncoSG_LUAD
CLDN7	0.48550232558139544	-0.7044488372093025	1.189951162790698	5.495972374602951	5.837292014493932e-07	43	43	9.3309471911827e-06	OncoSG_LUAD
CRB3	0.5946953488372091	-0.585613953488372	1.180309302325581	5.21838496329104	1.3587265314568369e-06	43	43	1.8160613029927493e-05	OncoSG_LUAD
CLDN1	0.421146511627907	-0.5557488372093023	0.9768953488372094	4.50416353818934	2.1502435598637136e-05	43	43	0.00016910973020960144	OncoSG_LUAD
CGN	0.17883488372093026	-0.5218302325581395	0.7006651162790698	2.9025855412727695	0.0047690231841281275	43	43	0.014812171316124252	OncoSG_LUAD
PARD3	0.14967441860465114	-0.194006976744186	0.3436813953488371	1.6053455487249617	0.11229403064073362	43	43	0.1982281136715755	OncoSG_LUAD
F11R	0.10899767441860468	-0.24227906976744185	0.35127674418604654	1.5099147772438457	0.13481779090705062	43	43	0.22841300497253963	OncoSG_LUAD
OCLN	0.14311162790697676	-0.19127441860465122	0.33438604651162795	1.4346028630238428	0.15536950580160833	43	43	0.25496857736013145	OncoSG_LUAD
TJP1	-0.2742720930232558	0.15462558139534893	-0.4288976744186047	-1.9899488044508367	0.05076621167715597	43	43	0.10491799098149787	OncoSG_LUAD
CD274	-0.5693348837209302	0.3102372093023257	-0.8795720930232559	-4.278222672916023	5.7201198772998315e-05	43	43	0.0003781057437789289	OncoSG_LUAD
CD8A	-0.5450953488372093	0.41258372093023254	-0.9576790697674419	-4.370624820506361	3.590987421078003e-05	43	43	0.0002584005228513843	OncoSG_LUAD
TACSTD2	23375.646228070178	10728.299070175442	12647.347157894736	22.942885220938702	9.22338866327764e-41	57	57	2.0065482036960507e-36	GSE31210_LUAD
CLDN4	1292.3186473684207	588.143536842105	704.1751105263156	8.255815167979936	4.0897078921169106e-13	57	57	1.7794319038600678e-09	GSE31210_LUAD
CGN	1619.3678263157888	794.9458508771929	824.4219754385958	6.543361619946182	4.287565452093245e-09	57	57	4.0554776700125455e-06	GSE31210_LUAD
F11R	15594.585298245613	12683.08887719298	2911.4964210526323	6.057889534049874	2.055931112051852e-08	57	57	1.040157705643908e-05	GSE31210_LUAD
OCLN	6451.339582456139	3704.6404947368433	2746.699087719296	5.57774395126857	2.601156118939281e-07	57	57	6.218478172255392e-05	GSE31210_LUAD
CLDN1	5005.172377192983	2728.0403105263167	2277.132066666666	5.258278105521011	7.052773876794448e-07	57	57	0.0001112219795028814	GSE31210_LUAD
CRB3	432.35520491228067	315.21641210526303	117.13879280701764	4.315839408463518	3.49610695501475e-05	57	57	0.0014084779038212201	GSE31210_LUAD
CLDN7	644.794098245614	448.04938596491223	196.74471228070178	3.1881170994369596	0.0019526623904191848	57	57	0.0201137169997961	GSE31210_LUAD
PARD3	1481.6602315789482	1273.9717210526317	207.68851052631658	2.4579460506718047	0.015572450703356345	57	57	0.08321755466753065	GSE31210_LUAD
TJP1	8237.260491228068	7830.194631578949	407.06585964911847	1.076827297216997	0.28390796483226916	57	57	0.5216569066660486	GSE31210_LUAD
CD274	1067.7587368421055	1296.7282421052632	-228.96950526315777	-1.356985380404276	0.17757070693785434	57	57	0.40131422495668206	GSE31210_LUAD
CD8A	449.01489263157885	694.3407614035085	-245.32586877192966	-2.7574753162715466	0.0068206938684767	57	57	0.047016538374116165	GSE31210_LUAD
